datetime	x	y	z	d	speed	speed_real
2013-12-28_12:44:32_979105	27.0	161.0	-221.0	19.36	0.1	220
2013-12-28_12:44:32_989420	27.0	160.0	-222.0	19.07	0.2	220
2013-12-28_12:44:32_999590	26.0	159.0	-221.0	19.52	0.3	221
2013-12-28_12:44:33_009729	-79.0	177.0	-225.0	19.48	0.4	221
2013-12-28_12:44:33_019852	38.0	122.0	-217.0	19.57	0.5	221
2013-12-28_12:44:33_030040	-25.0	181.0	-216.0	19.54	0.6	222
2013-12-28_12:44:33_040219	13.0	128.0	-226.0	19.99	0.7	222
2013-12-28_12:44:33_050354	49.0	168.0	-219.0	19.19	0.8	223
2013-12-28_12:44:33_060492	-19.0	155.0	-227.0	19.58	0.9	223
2013-12-28_12:44:33_070316	101.0	156.0	-209.0	13.43	1.0	223
2013-12-28_12:44:33_080431	-13.0	193.0	-236.0	19.75	1.1	224
2013-12-28_12:44:33_090583	-7.0	174.0	-225.0	19.79	1.2	224
2013-12-28_12:44:33_100727	102.0	163.0	-220.0	19.86	1.3	224
2013-12-28_12:44:33_110930	-61.0	178.0	-225.0	19.63	1.4	225
2013-12-28_12:44:33_121053	52.0	128.0	-217.0	19.41	1.5	225
2013-12-28_12:44:33_131163	-32.0	185.0	-215.0	19.28	1.6	226
2013-12-28_12:44:33_141314	9.0	129.0	-223.0	19.67	1.7	226
2013-12-28_12:44:33_151514	45.0	166.0	-221.0	19.57	1.8	226
2013-12-28_12:44:33_161633	-17.0	153.0	-225.0	19.62	1.9	227
2013-12-28_12:44:33_171800	100.0	159.0	-205.0	19.13	2.0	227
2013-12-28_12:44:33_182044	-12.0	196.0	-233.0	19.67	2.1	227
2013-12-28_12:44:33_192196	115.0	142.0	-212.0	19.67	2.2	228
2013-12-28_12:44:33_202398	102.0	161.0	-221.0	19.55	2.3	228
2013-12-28_12:44:33_212612	-63.0	181.0	-222.0	19.62	2.4	229
2013-12-28_12:44:33_222720	53.0	129.0	-217.0	19.18	2.5	229
2013-12-28_12:44:33_232833	-28.0	183.0	-215.0	19.13	2.6	229
2013-12-28_12:44:33_243005	3.0	126.0	-225.0	19.64	2.7	230
2013-12-28_12:44:33_253156	43.0	167.0	-217.0	19.69	2.8	230
2013-12-28_12:44:33_263408	-13.0	150.0	-226.0	19.6	2.9	231
2013-12-28_12:44:33_273555	104.0	158.0	-210.0	19.53	3.0	231
2013-12-28_12:44:33_283697	-12.0	196.0	-233.0	18.89	3.1	231
2013-12-28_12:44:33_293848	106.0	144.0	-211.0	19.62	3.2	232
2013-12-28_12:44:33_303995	8.0	202.0	-227.0	19.31	3.3	232
2013-12-28_12:44:33_314340	6.0	140.0	-211.0	19.75	3.4	232
2013-12-28_12:44:33_325066	47.0	128.0	-217.0	19.82	3.5	233
2013-12-28_12:44:33_335952	-16.0	182.0	-217.0	19.55	3.6	233
2013-12-28_12:44:33_346058	3.0	125.0	-228.0	19.28	3.7	234
2013-12-28_12:44:33_356142	51.0	164.0	-217.0	19.82	3.8	234
2013-12-28_12:44:33_366285	-12.0	158.0	-225.0	19.64	3.9	234
2013-12-28_12:44:33_376434	108.0	157.0	-209.0	19.62	4.0	235
2013-12-28_12:44:33_386603	-4.0	197.0	-232.0	19.45	4.1	235
2013-12-28_12:44:33_396721	102.0	144.0	-214.0	19.11	4.2	235
2013-12-28_12:44:33_406932	9.0	198.0	-228.0	19.58	4.3	236
2013-12-28_12:44:33_417133	-61.0	178.0	-224.0	19.72	4.4	236
2013-12-28_12:44:33_427286	71.0	126.0	-219.0	19.52	4.5	237
2013-12-28_12:44:33_437465	-31.0	183.0	-218.0	19.86	4.6	237
2013-12-28_12:44:33_447622	5.0	123.0	-225.0	19.52	4.7	237
2013-12-28_12:44:33_457785	46.0	165.0	-219.0	19.84	4.8	238
2013-12-28_12:44:33_467930	-13.0	152.0	-227.0	19.52	4.9	238
2013-12-28_12:44:33_478098	105.0	157.0	-207.0	19.16	5.0	239
2013-12-28_12:44:33_488235	-9.0	200.0	-231.0	19.65	5.1	239
2013-12-28_12:44:33_498367	121.0	143.0	-214.0	19.5	5.2	239
2013-12-28_12:44:33_508523	9.0	198.0	-233.0	19.6	5.3	240
2013-12-28_12:44:33_518669	-236.0	97.0	-212.0	19.53	5.4	240
2013-12-28_12:44:33_528802	27.0	159.0	-223.0	19.09	5.5	240
2013-12-28_12:44:33_538902	25.0	160.0	-222.0	19.24	5.6	241
2013-12-28_12:44:33_549053	26.0	161.0	-224.0	19.48	5.7	241
2013-12-28_12:44:33_559234	26.0	160.0	-222.0	19.57	5.8	242
2013-12-28_12:44:33_569430	21.0	163.0	-219.0	19.65	5.9	242
2013-12-28_12:44:33_579777	26.0	162.0	-225.0	19.55	6.0	242
2013-12-28_12:44:33_589969	26.0	161.0	-221.0	19.6	6.1	243
2013-12-28_12:44:33_600155	24.0	161.0	-219.0	19.12	6.2	243
2013-12-28_12:44:33_610281	26.0	159.0	-222.0	19.73	6.3	243
2013-12-28_12:44:33_620365	25.0	161.0	-224.0	19.01	6.4	244
2013-12-28_12:44:33_630545	24.0	162.0	-219.0	19.45	6.5	244
2013-12-28_12:44:33_640618	25.0	161.0	-219.0	19.36	6.6	245
2013-12-28_12:44:33_650741	27.0	160.0	-221.0	18.99	6.7	245
2013-12-28_12:44:33_660867	26.0	160.0	-223.0	19.11	6.8	245
2013-12-28_12:44:33_671098	25.0	160.0	-222.0	19.24	6.9	246
2013-12-28_12:44:33_681302	26.0	163.0	-221.0	19.45	7.0	246
2013-12-28_12:44:33_691480	28.0	160.0	-222.0	19.79	7.1	246
2013-12-28_12:44:33_701607	25.0	161.0	-224.0	19.5	7.2	247
2013-12-28_12:44:33_711762	26.0	164.0	-223.0	19.5	7.3	247
2013-12-28_12:44:33_721995	27.0	160.0	-221.0	19.74	7.4	248
2013-12-28_12:44:33_732123	25.0	160.0	-226.0	19.41	7.5	248
2013-12-28_12:44:33_742343	26.0	161.0	-221.0	19.5	7.6	248
2013-12-28_12:44:33_752577	24.0	163.0	-221.0	19.56	7.7	249
2013-12-28_12:44:33_762758	26.0	163.0	-221.0	19.8	7.8	249
2013-12-28_12:44:33_772956	25.0	162.0	-221.0	19.58	7.9	250
2013-12-28_12:44:33_783223	26.0	161.0	-224.0	19.75	8.0	250
2013-12-28_12:44:33_793380	25.0	163.0	-220.0	19.6	8.1	250
2013-12-28_12:44:33_803544	27.0	163.0	-223.0	19.53	8.2	251
2013-12-28_12:44:33_813770	26.0	161.0	-221.0	19.69	8.3	251
2013-12-28_12:44:33_823909	26.0	160.0	-222.0	19.6	8.4	251
2013-12-28_12:44:33_834183	26.0	163.0	-221.0	19.7	8.5	252
2013-12-28_12:44:33_844366	25.0	160.0	-222.0	19.16	8.6	252
2013-12-28_12:44:33_854540	23.0	160.0	-222.0	19.06	8.7	253
2013-12-28_12:44:33_864695	24.0	161.0	-218.0	19.16	8.8	253
2013-12-28_12:44:33_874841	23.0	161.0	-219.0	19.26	8.9	253
2013-12-28_12:44:33_885007	25.0	164.0	-221.0	19.55	9.0	254
2013-12-28_12:44:33_895233	25.0	163.0	-222.0	19.45	9.1	254
2013-12-28_12:44:33_905474	23.0	161.0	-223.0	19.23	9.2	254
2013-12-28_12:44:33_915630	23.0	159.0	-222.0	19.63	9.3	255
2013-12-28_12:44:33_925775	24.0	162.0	-223.0	19.43	9.4	255
2013-12-28_12:44:33_935889	27.0	160.0	-223.0	19.11	9.5	256
2013-12-28_12:44:33_946032	25.0	159.0	-224.0	19.33	9.6	256
2013-12-28_12:44:33_956114	26.0	161.0	-219.0	19.84	9.7	256
2013-12-28_12:44:33_965968	26.0	161.0	-223.0	14.94	9.8	257
2013-12-28_12:44:33_976140	25.0	160.0	-221.0	19.4	9.9	257
2013-12-28_12:44:33_986268	26.0	160.0	-221.0	19.63	10.0	257
2013-12-28_12:44:33_996379	27.0	160.0	-223.0	19.58	10.1	258
2013-12-28_12:44:34_006580	25.0	161.0	-222.0	19.87	10.2	258
2013-12-28_12:44:34_016715	25.0	161.0	-221.0	19.46	10.3	259
2013-12-28_12:44:34_026850	22.0	161.0	-222.0	19.53	10.4	259
