datetime	x	y	z	d	speed	speed_real
2013-12-28_12:42:39_704197	24.0	162.0	-223.0	24.06	0.1	220
2013-12-28_12:42:39_714849	24.0	162.0	-221.0	24.07	0.2	220
2013-12-28_12:42:39_725367	25.0	161.0	-223.0	24.26	0.3	221
2013-12-28_12:42:39_735758	24.0	160.0	-222.0	23.78	0.4	221
2013-12-28_12:42:39_746169	24.0	162.0	-218.0	24.07	0.5	221
2013-12-28_12:42:39_756590	22.0	164.0	-218.0	23.68	0.6	222
2013-12-28_12:42:39_767006	47.0	166.0	-220.0	24.27	0.7	222
2013-12-28_12:42:39_777588	28.0	164.0	-222.0	24.0	0.8	223
2013-12-28_12:42:39_788097	24.0	156.0	-220.0	24.07	0.9	223
2013-12-28_12:42:39_798521	6.0	160.0	-223.0	23.85	1.0	223
2013-12-28_12:42:39_809177	16.0	158.0	-226.0	23.58	1.1	224
2013-12-28_12:42:39_819688	36.0	155.0	-230.0	24.12	1.2	224
2013-12-28_12:42:39_830073	19.0	172.0	-227.0	24.14	1.3	224
2013-12-28_12:42:39_840430	33.0	159.0	-224.0	24.11	1.4	225
2013-12-28_12:42:39_850842	-21.0	147.0	-218.0	24.55	1.5	225
2013-12-28_12:42:39_864464	9.0	185.0	-209.0	24.5	1.6	226
2013-12-28_12:42:39_874941	58.0	152.0	-232.0	23.73	1.7	226
2013-12-28_12:42:39_885384	5.0	155.0	-216.0	24.14	1.8	226
2013-12-28_12:42:39_895774	75.0	169.0	-224.0	23.68	1.9	227
2013-12-28_12:42:39_906215	28.0	163.0	-221.0	24.16	2.0	227
2013-12-28_12:42:39_916758	56.0	168.0	-216.0	24.72	2.1	227
2013-12-28_12:42:39_927156	39.0	162.0	-220.0	23.77	2.2	228
2013-12-28_12:42:39_937568	38.0	159.0	-223.0	23.65	2.3	228
2013-12-28_12:42:39_948019	5.0	159.0	-221.0	23.8	2.4	229
2013-12-28_12:42:39_958368	-29.0	155.0	-219.0	23.7	2.5	229
2013-12-28_12:42:39_968795	18.0	164.0	-221.0	23.83	2.6	229
2013-12-28_12:42:39_979489	-26.0	171.0	-228.0	24.18	2.7	230
2013-12-28_12:42:39_989941	40.0	152.0	-215.0	24.21	2.8	230
2013-12-28_12:42:40_000370	34.0	155.0	-216.0	24.67	2.9	231
2013-12-28_12:42:40_010814	18.0	159.0	-212.0	24.21	3.0	231
2013-12-28_12:42:40_021284	30.0	180.0	-223.0	24.11	3.1	231
2013-12-28_12:42:40_031679	-42.0	160.0	-214.0	23.76	3.2	232
2013-12-28_12:42:40_041962	140.0	179.0	-222.0	22.08	3.3	232
2013-12-28_12:42:40_052418	93.0	178.0	-199.0	24.36	3.4	232
2013-12-28_12:42:40_062838	53.0	170.0	-180.0	22.07	3.5	233
2013-12-28_12:42:40_073314	45.0	169.0	-236.0	24.19	3.6	233
2013-12-28_12:42:40_083765	87.0	147.0	-267.0	23.77	3.7	234
2013-12-28_12:42:40_094331	-39.0	127.0	-210.0	25.48	3.8	234
2013-12-28_12:42:40_104810	91.0	191.0	-194.0	25.04	3.9	234
2013-12-28_12:42:40_114715	94.0	146.0	-251.0	15.25	4.0	235
2013-12-28_12:42:40_125097	5.0	142.0	-247.0	23.41	4.1	235
2013-12-28_12:42:40_135391	174.0	198.0	-230.0	22.05	4.2	235
2013-12-28_12:42:40_145855	176.0	200.0	-184.0	25.06	4.3	236
2013-12-28_12:42:40_156279	234.0	177.0	-254.0	24.21	4.4	236
2013-12-28_12:42:40_166566	59.0	163.0	-238.0	21.59	4.5	237
2013-12-28_12:42:40_176425	-103.0	163.0	-215.0	14.76	4.6	237
2013-12-28_12:42:40_186302	-18.0	160.0	-200.0	14.94	4.7	237
2013-12-28_12:42:40_196789	38.0	160.0	-210.0	23.73	4.8	238
2013-12-28_12:42:40_207259	-43.0	131.0	-270.0	23.82	4.9	238
2013-12-28_12:42:40_217504	27.0	159.0	-191.0	21.2	5.0	239
2013-12-28_12:42:40_227421	114.0	232.0	-251.0	15.18	5.1	239
2013-12-28_12:42:40_237345	70.0	160.0	-192.0	14.96	5.2	239
2013-12-28_12:42:40_247612	-29.0	163.0	-252.0	21.3	5.3	240
2013-12-28_12:42:40_257965	-9.0	128.0	-196.0	23.0	5.4	240
2013-12-28_12:42:40_268330	72.0	184.0	-243.0	22.27	5.5	240
2013-12-28_12:42:40_278172	-76.0	169.0	-228.0	14.3	5.6	241
2013-12-28_12:42:40_288089	169.0	192.0	-201.0	15.62	5.7	241
2013-12-28_12:42:40_297989	-58.0	127.0	-215.0	15.01	5.8	242
