datetime	x	y	z	d	speed	speed_real
2014-01-04_13:56:48_302360	160.0	152.0	-188.0	15.23	0.1	220
2014-01-04_13:56:48_312671	-92.0	178.0	-130.0	15.54	0.2	220
2014-01-04_13:56:48_322580	6.0	66.0	-292.0	13.98	0.3	221
2014-01-04_13:56:48_332404	268.0	136.0	-308.0	13.46	0.4	221
2014-01-04_13:56:48_342353	-92.0	160.0	-150.0	13.94	0.5	221
2014-01-04_13:56:48_352578	4.0	64.0	-178.0	14.76	0.6	222
2014-01-04_13:56:48_362419	84.0	216.0	-146.0	15.06	0.7	222
2014-01-04_13:56:48_372265	-84.0	252.0	-208.0	13.96	0.8	223
2014-01-04_13:56:48_382503	0.0	148.0	-188.0	20.84	0.9	223
2014-01-04_13:56:48_392343	-124.0	230.0	-226.0	14.69	1.0	223
2014-01-04_13:56:48_402158	252.0	106.0	-250.0	13.67	1.1	224
2014-01-04_13:56:48_412093	132.0	40.0	-146.0	15.26	1.2	224
2014-01-04_13:56:48_421932	74.0	52.0	-306.0	15.28	1.3	224
2014-01-04_13:56:48_431679	92.0	56.0	-122.0	13.84	1.4	225
2014-01-04_13:56:48_441604	240.0	88.0	-320.0	16.61	1.5	225
2014-01-04_13:56:48_451479	-50.0	364.0	-166.0	13.87	1.6	226
2014-01-04_13:56:48_461314	106.0	62.0	-146.0	13.87	1.7	226
2014-01-04_13:56:48_471123	-174.0	158.0	-190.0	13.86	1.8	226
2014-01-04_13:56:48_480928	-146.0	98.0	-192.0	13.91	1.9	227
2014-01-04_13:56:48_490712	72.0	146.0	-268.0	13.53	2.0	227
2014-01-04_13:56:48_500505	286.0	80.0	-136.0	13.72	2.1	227
2014-01-04_13:56:48_510318	-266.0	272.0	-272.0	13.75	2.2	228
2014-01-04_13:56:48_520143	198.0	164.0	-206.0	13.43	2.3	228
2014-01-04_13:56:48_529995	-160.0	338.0	-240.0	14.36	2.4	229
2014-01-04_13:56:48_540200	-202.0	278.0	-280.0	14.16	2.5	229
2014-01-04_13:56:48_550023	210.0	286.0	-188.0	13.76	2.6	229
2014-01-04_13:56:48_559821	172.0	158.0	-284.0	13.82	2.7	230
2014-01-04_13:56:48_569532	252.0	-58.0	-128.0	13.86	2.8	230
2014-01-04_13:56:48_579484	136.0	112.0	-138.0	13.8	2.9	231
2014-01-04_13:56:48_589330	238.0	48.0	-200.0	13.82	3.0	231
2014-01-04_13:56:48_599232	274.0	80.0	-316.0	15.23	3.1	231
2014-01-04_13:56:48_608908	-48.0	358.0	-222.0	13.43	3.2	232
2014-01-04_13:56:48_618725	248.0	270.0	-192.0	14.23	3.3	232
2014-01-04_13:56:48_628531	64.0	122.0	-162.0	13.82	3.4	232
2014-01-04_13:56:48_638304	58.0	256.0	-340.0	14.67	3.5	233
2014-01-04_13:56:48_648093	36.0	278.0	-188.0	14.38	3.6	233
2014-01-04_13:56:48_657915	-56.0	234.0	-192.0	13.99	3.7	234
2014-01-04_13:56:48_667846	102.0	286.0	-194.0	13.46	3.8	234
2014-01-04_13:56:48_677607	132.0	14.0	-216.0	13.52	3.9	234
2014-01-04_13:56:48_687347	-64.0	126.0	-144.0	13.45	4.0	235
2014-01-04_13:56:48_697054	-96.0	96.0	-218.0	13.91	4.1	235
2014-01-04_13:56:48_706844	-144.0	194.0	-154.0	13.72	4.2	235
2014-01-04_13:56:48_716629	-162.0	314.0	-260.0	13.28	4.3	236
2014-01-04_13:56:48_726461	-26.0	116.0	-232.0	13.85	4.4	236
