datetime	x	y	z	d	speed	speed_real
2014-01-04_16:45:32_367235	150.0	82.0	-256.0	0.0	0.1	220
2014-01-04_16:45:32_376135	-114.0	164.0	-192.0	0.0	0.2	220
2014-01-04_16:45:32_384606	184.0	112.0	-262.0	0.0	0.3	221
2014-01-04_16:45:32_392882	10.0	204.0	-198.0	0.0	0.4	221
2014-01-04_16:45:32_401165	168.0	68.0	-228.0	0.0	0.5	221
2014-01-04_16:45:32_409591	-110.0	238.0	-124.0	0.0	0.6	222
2014-01-04_16:45:32_417909	0.0	146.0	-164.0	0.0	0.7	222
2014-01-04_16:45:32_426206	54.0	186.0	-192.0	0.0	0.8	223
2014-01-04_16:45:32_434465	-76.0	82.0	-256.0	0.0	0.9	223
2014-01-04_16:45:32_442753	110.0	128.0	-158.0	0.0	1.0	223
2014-01-04_16:45:32_451027	-18.0	194.0	-278.0	0.0	1.1	224
2014-01-04_16:45:32_459337	-72.0	218.0	-232.0	0.0	1.2	224
2014-01-04_16:45:32_467789	116.0	84.0	-192.0	0.0	1.3	224
2014-01-04_16:45:32_476159	246.0	96.0	-230.0	0.0	1.4	225
2014-01-04_16:45:32_484436	206.0	126.0	-210.0	0.0	1.5	225
2014-01-04_16:45:32_492693	222.0	80.0	-142.0	0.0	1.6	226
2014-01-04_16:45:32_501689	158.0	134.0	-296.0	0.0	1.7	226
2014-01-04_16:45:32_511692	56.0	160.0	-232.0	0.0	1.8	226
2014-01-04_16:45:32_520455	-116.0	142.0	-224.0	0.0	1.9	227
2014-01-04_16:45:32_528782	72.0	236.0	-132.0	0.0	2.0	227
2014-01-04_16:45:32_536980	200.0	42.0	-332.0	0.0	2.1	227
2014-01-04_16:45:32_545258	32.0	44.0	-212.0	0.0	2.2	228
2014-01-04_16:45:32_553642	338.0	70.0	-290.0	0.0	2.3	228
2014-01-04_16:45:32_561903	168.0	184.0	-232.0	0.0	2.4	229
2014-01-04_16:45:32_570102	90.0	192.0	-318.0	0.0	2.5	229
2014-01-04_16:45:32_578375	48.0	136.0	-240.0	0.0	2.6	229
