datetime	speed	x	y	y2	z	d		speed_real
2014-01-04_17:07:14_256694	10	-15	140		-99	0		257
2014-01-04_17:07:14_264945	10.1	90	193		-417	0		258
2014-01-04_17:07:14_273212	10.2	90	193	175.3333333333	-417	0		258
2014-01-04_17:07:14_281496	10.3	-4	109	165	-105	0		259
2014-01-04_17:07:14_289771	10.4	-4	109	137	-105	0		259
2014-01-04_17:07:14_298307	10.5	-4	109	109	-105	0		259
2014-01-04_17:07:14_306589	10.6	10	203	140.3333333333	-373	0		260
2014-01-04_17:07:14_314852	10.7	10	203	171.6666666667	-373	0		260
2014-01-04_17:07:14_323133	10.8	70	104	170	-83	0		261
2014-01-04_17:07:14_331343	10.9	70	104	137	-83	0		261
2014-01-04_17:07:14_339817	11	115	167	125	-376	0		261
2014-01-04_17:07:14_348149	11.1	115	167	146	-376	0		262
2014-01-04_17:07:14_356455	11.2	115	167	167	-376	0		262
2014-01-04_17:07:14_364738	11.3	-155	180	171.3333333333	-82	0		262
2014-01-04_17:07:14_373034	11.4	-155	180	175.6666666667	-82	0		263
2014-01-04_17:07:14_381379	11.5	-106	247	202.3333333333	-376	0		263
2014-01-04_17:07:14_389716	11.6	-106	247	224.6666666667	-376	0		264
2014-01-04_17:07:14_399144	11.7	-17	140	211.3333333333	-56	0		264
2014-01-04_17:07:14_407455	11.8	-17	140	175.6666666667	-56	0		264
2014-01-04_17:07:14_415725	11.9	-17	140	140	-56	0		265
2014-01-04_17:07:14_423981	12	23	134	138	-350	0		265
2014-01-04_17:07:14_432261	12.1	23	134	136	-350	0		265
2014-01-04_17:07:14_440522	12.2	-13	171	146.3333333333	-125	0		266
2014-01-04_17:07:14_448801	12.3	-13	171	158.6666666667	-125	0		266
2014-01-04_17:07:14_457053	12.4	39	171	171	-235	0		267
2014-01-04_17:07:14_465317	12.5	39	171	171	-235	0		267
2014-01-04_17:07:14_473593	12.6	39	171	171	-235	0		267
2014-01-04_17:07:14_481875	12.7	-53	191	177.6666666667	-241	0		268
2014-01-04_17:07:14_490163	12.8	-53	191	184.3333333333	-241	0		268
2014-01-04_17:07:14_498471	12.9	35	82	154.6666666667	-131	0		269
2014-01-04_17:07:14_507477	13	35	82	118.3333333333	-131	0		269
2014-01-04_17:07:14_515903	13.1	47	193	119	-353	0		269
2014-01-04_17:07:14_524223	13.2	47	193	156	-353	0		270
2014-01-04_17:07:14_532491	13.3	47	193	193	-353	0		270
2014-01-04_17:07:14_540827	13.4	31	137	174.3333333333	-130	0		270
2014-01-04_17:07:14_549127	13.5	31	137	155.6666666667	-130	0		271
2014-01-04_17:07:14_557486	13.6	53	132	135.3333333333	-202	0		271
2014-01-04_17:07:14_565829	13.7	53	132	133.6666666667	-202	0		272
2014-01-04_17:07:14_574114	13.8	16	166	143.3333333333	-314	0		272
2014-01-04_17:07:14_582443	13.9	16	166	154.6666666667	-314	0		272
2014-01-04_17:07:14_590737	14	16	166	166	-314	0		273
2014-01-04_17:07:14_599054	14.1	10	164	165.3333333333	-108	0		273
2014-01-04_17:07:14_607326	14.2	10	164	164.6666666667	-108	0		273
2014-01-04_17:07:14_615608	14.3	10	168	165.3333333333	-222	0		274
2014-01-04_17:07:14_623863	14.4	10	168	166.6666666667	-222	0		274
2014-01-04_17:07:14_632122	14.5	20	217	184.3333333333	-383	0		275
2014-01-04_17:07:14_640382	14.6	20	217	200.6666666667	-383	0		275
2014-01-04_17:07:14_648681	14.7	20	217	217	-383	0		275
2014-01-04_17:07:14_656935	14.8	62	146	193.3333333333	-148	0		276
2014-01-04_17:07:14_665183	14.9	62	146	169.6666666667	-148	0		276
2014-01-04_17:07:14_673475	15	-22	109	133.6666666667	-154	0		276
2014-01-04_17:07:14_681741	15.1	-22	109	121.3333333333	-154	0		277
2014-01-04_17:07:14_689995	15.2	56	131	116.3333333333	-368	0		277
2014-01-04_17:07:14_698299	15.3	56	131	123.6666666667	-368	0		278
2014-01-04_17:07:14_706929	15.4	56	131	131	-368	0		278
2014-01-04_17:07:14_715215	15.5	6	184	148.6666666667	-245	0		278
2014-01-04_17:07:14_723491	15.6	6	184	166.3333333333	-245	0		279
2014-01-04_17:07:14_731872	15.7	-20	141	169.6666666667	-61	0		279
2014-01-04_17:07:14_740207	15.8	-20	141	155.3333333333	-61	0		280
2014-01-04_17:07:14_748521	15.9	-34	138	140	-213	0		280
2014-01-04_17:07:14_756734	16	-34	138	139	-213	0		280
2014-01-04_17:07:14_765018	16.1	-34	138	138	-213	0		281
2014-01-04_17:07:14_773383	16.2	25	179	151.6666666667	-410	0		281
2014-01-04_17:07:14_781694	16.3	25	179	165.3333333333	-410	0		281
