datetime	speed	x	y	z	d	speed_real
2014-01-05_19:53:33_339633	0.2	6.0	135.0	-209.0	0.0	220
2014-01-05_19:53:33_444925	0.4	6.0	135.0	-209.0	0.0	221
2014-01-05_19:53:33_550199	0.6	16.0	118.0	-215.0	0.0	222
2014-01-05_19:53:33_655362	0.8	32.0	149.0	-238.0	0.0	223
2014-01-05_19:53:33_797384	1.0	32.0	138.0	-233.0	0.0	223
2014-01-05_19:53:33_902316	1.2	32.0	138.0	-233.0	0.0	224
2014-01-05_19:53:34_006977	1.4	26.0	122.0	-232.0	0.0	225
2014-01-05_19:53:34_111983	1.6	28.0	146.0	-227.0	0.0	226
2014-01-05_19:53:34_216971	1.8	28.0	146.0	-227.0	0.0	226
2014-01-05_19:53:34_321943	2.0	24.0	120.0	-220.0	0.0	227
2014-01-05_19:53:34_427529	2.2	19.0	162.0	-219.0	0.0	228
2014-01-05_19:53:34_533468	2.4	19.0	162.0	-219.0	0.0	229
2014-01-05_19:53:34_638767	2.6	40.0	144.0	-241.0	0.0	229
2014-01-05_19:53:34_743729	2.8	53.0	137.0	-246.0	0.0	230
2014-01-05_19:53:34_849002	3.0	53.0	137.0	-246.0	0.0	231
2014-01-05_19:53:34_954396	3.2	31.0	162.0	-220.0	0.0	232
2014-01-05_19:53:35_059719	3.4	20.0	136.0	-210.0	0.0	232
2014-01-05_19:53:35_164692	3.6	20.0	136.0	-210.0	0.0	233
2014-01-05_19:53:35_270339	3.8	23.0	164.0	-240.0	0.0	234
2014-01-05_19:53:35_375531	4.0	14.0	156.0	-169.0	0.0	235
2014-01-05_19:53:35_480765	4.2	14.0	156.0	-169.0	0.0	235
2014-01-05_19:53:35_586017	4.4	-3.0	130.0	-72.0	0.0	236
2014-01-05_19:53:35_691193	4.6	31.0	166.0	-238.0	0.0	237
2014-01-05_19:53:35_796544	4.8	31.0	166.0	-238.0	0.0	238
2014-01-05_19:53:35_902070	5.0	53.0	139.0	-239.0	0.0	239
2014-01-05_19:53:36_007165	5.2	-14.0	178.0	-143.0	0.0	239
2014-01-05_19:53:36_112685	5.4	-14.0	178.0	-143.0	0.0	240
2014-01-05_19:53:36_218039	5.6	45.0	189.0	-200.0	0.0	241
2014-01-05_19:53:36_323042	5.8	-6.0	144.0	-200.0	0.0	242
2014-01-05_19:53:36_428135	6.0	-6.0	144.0	-200.0	0.0	242
2014-01-05_19:53:36_533432	6.2	14.0	175.0	-221.0	0.0	243
2014-01-05_19:53:36_639009	6.4	45.0	154.0	-283.0	0.0	244
2014-01-05_19:53:36_744166	6.6	45.0	154.0	-283.0	0.0	245
2014-01-05_19:53:36_849978	6.8	-19.0	139.0	-198.0	0.0	245
2014-01-05_19:53:36_955172	7.0	-60.0	115.0	-158.0	0.0	246
2014-01-05_19:53:37_060573	7.2	-60.0	115.0	-158.0	0.0	247
2014-01-05_19:53:37_165462	7.4	40.0	159.0	-198.0	0.0	248
2014-01-05_19:53:37_270505	7.6	82.0	152.0	-257.0	0.0	248
2014-01-05_19:53:37_375494	7.8	-40.0	118.0	-155.0	0.0	249
2014-01-05_19:53:37_480145	8.0	-40.0	118.0	-155.0	0.0	250
