datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_13:35:45_020522	-679.40625	0.2	28.0	78.0	42.0	0.0	220
2014-01-12_13:35:45_124685	-11093.21875	0.4	-22.0	60.0	-103.0	0.0	221
2014-01-12_13:35:45_229403	-21563.796875	0.6	84.0	137.0	-199.0	0.0	222
2014-01-12_13:35:45_334067	-32031.015625	0.8	9.0	127.0	-132.0	0.0	223
2014-01-12_13:35:45_437766	-42400.0	1.0	48.0	141.0	-63.0	0.0	223
2014-01-12_13:35:45_541859	-52820.015625	1.2	18.0	134.0	-254.0	0.0	224
2014-01-12_13:35:45_646357	-63258.609375	1.4	8.0	137.0	-205.0	0.0	225
2014-01-12_13:35:45_750372	-73661.71875	1.6	12.0	162.0	-233.0	0.0	226
2014-01-12_13:35:45_854179	-84041.40625	1.8	10.0	151.0	-225.0	0.0	226
2014-01-12_13:35:45_958266	-94451.40625	2.0	15.0	155.0	-229.0	0.0	227
2014-01-12_13:35:46_062448	-104869.609375	2.2	12.0	152.0	-233.0	0.0	228
2014-01-12_13:35:46_166778	-115301.015625	2.4	10.0	154.0	-228.0	0.0	229
2014-01-12_13:35:46_271354	-125765.390625	2.6	12.0	150.0	-225.0	0.0	229
2014-01-12_13:35:46_375513	-136175.703125	2.8	13.0	151.0	-223.0	0.0	230
2014-01-12_13:35:46_479774	-146602.109375	3.0	10.0	150.0	-232.0	0.0	231
2014-01-12_13:35:46_583873	-157020.8125	3.2	12.0	153.0	-221.0	0.0	232
2014-01-12_13:35:46_688332	-167456.421875	3.4	12.0	150.0	-230.0	0.0	232
2014-01-12_13:35:46_793025	-177931.90625	3.6	11.0	149.0	-226.0	0.0	233
2014-01-12_13:35:46_897283	-188352.703125	3.8	11.0	152.0	-226.0	0.0	234
2014-01-12_13:35:47_001829	-198807.0	4.0	12.0	152.0	-224.0	0.0	235
2014-01-12_13:35:47_106626	-209286.8125	4.2	13.0	151.0	-226.0	0.0	235
2014-01-12_13:35:47_210818	-219706.515625	4.4	12.0	151.0	-227.0	0.0	236
2014-01-12_13:35:47_315780	-230201.703125	4.6	12.0	151.0	-228.0	0.0	237
2014-01-12_13:35:47_420080	-240632.015625	4.8	12.0	151.0	-226.0	0.0	238
2014-01-12_13:35:47_524807	-251116.203125	5.0	11.0	153.0	-226.0	0.0	239
2014-01-12_13:35:47_629910	-261614.890625	5.2	13.0	150.0	-227.0	0.0	239
2014-01-12_13:35:47_734273	-272050.40625	5.4	11.0	150.0	-224.0	0.0	240
2014-01-12_13:35:47_838968	-282532.0	5.6	13.0	152.0	-225.0	0.0	241
2014-01-12_13:35:47_944009	-293025.40625	5.8	13.0	152.0	-225.0	0.0	242
2014-01-12_13:35:48_048519	-303475.8125	6.0	11.0	151.0	-226.0	0.0	242
2014-01-12_13:35:48_153268	-313962.203125	6.2	12.0	150.0	-226.0	0.0	243
2014-01-12_13:35:48_257612	-324385.5	6.4	11.0	151.0	-227.0	0.0	244
