datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	d	speed_real
2014-01-25_17:54:59_036758	2198.0	0.2	0.0	0.0	0.0	-0.52392578125	0.09228515625	0.7880859375	0.0	9.358778625954198	-23.908396946564885	49.23	220
2014-01-25_17:54:59_149772	13481.1875	0.4	39.0	160.0	-219.0	-0.528564453125	0.074462890625	0.775146484375	-3.282442748091603	3.8625954198473282	0.35877862595419846	20.71	221
2014-01-25_17:54:59_263959	24900.484375	0.6	39.0	160.0	-220.0	-0.52978515625	0.078125	0.79248046875	-3.1603053435114505	1.9083969465648856	0.29770992366412213	20.3	222
2014-01-25_17:54:59_376815	36185.28125	0.8	39.0	160.0	-218.0	-0.517333984375	0.092529296875	0.791748046875	-3.145038167938931	1.8625954198473282	0.37404580152671757	20.74	223
2014-01-25_17:54:59_490844	47587.890625	1.0	42.0	158.0	-219.0	-0.53564453125	0.06494140625	0.78173828125	-3.2977099236641223	1.6870229007633588	0.3969465648854962	20.93	223
2014-01-25_17:54:59_604180	58922.0	1.2	40.0	159.0	-220.0	-0.52587890625	0.072998046875	0.78125	-3.1526717557251906	1.9541984732824427	0.2900763358778626	20.65	224
2014-01-25_17:54:59_718026	70307.171875	1.4	41.0	161.0	-219.0	-0.533935546875	0.07568359375	0.784912109375	-3.33587786259542	0.04580152671755725	0.29770992366412213	20.62	225
2014-01-25_17:54:59_831000	81603.28125	1.6	175.0	205.0	-215.0	-0.532958984375	0.07861328125	0.783935546875	-3.2061068702290076	0.2900763358778626	0.3969465648854962	21.21	226
2014-01-25_17:54:59_945222	93058.671875	1.8	-60.0	87.0	-221.0	-0.5302734375	0.07568359375	0.787353515625	-3.053435114503817	3.595419847328244	0.3053435114503817	20.49	226
2014-01-25_17:55:00_058445	104347.796875	2.0	151.0	253.0	-215.0	-0.533203125	0.072021484375	0.796630859375	-3.183206106870229	0.030534351145038167	0.33587786259541985	20.76	227
2014-01-25_17:55:00_172066	115767.375	2.0	33.0	96.0	-229.0	-0.5322265625	0.072998046875	0.788330078125	-3.0610687022900764	3.450381679389313	0.12213740458015267	19.77	227
2014-01-25_17:55:00_285562	127059.6875	2.0	41.0	202.0	-213.0	-0.53564453125	0.06640625	0.7939453125	-3.2213740458015265	1.8625954198473282	0.32061068702290074	20.11	227
2014-01-25_17:55:00_399256	138436.890625	2.0	-4.0	208.0	-210.0	-0.5419921875	0.0771484375	0.791259765625	-3.2748091603053435	1.9389312977099236	0.3282442748091603	21.52	227
2014-01-25_17:55:00_517414	150271.390625	2.0	164.0	187.0	-217.0	-0.536865234375	0.078369140625	0.79443359375	-3.0763358778625953	3.4198473282442747	0.4122137404580153	21.17	227
2014-01-25_17:55:00_632121	161716.6875	2.0	-79.0	160.0	-214.0	-0.5361328125	0.072509765625	0.787841796875	-3.1526717557251906	3.6259541984732824	0.35877862595419846	21.01	227
2014-01-25_17:55:00_747053	173234.390625	2.0	125.0	159.0	-223.0	-0.53173828125	0.07763671875	0.79150390625	-3.0916030534351147	1.9465648854961832	0.5877862595419847	20.76	227
2014-01-25_17:55:00_861511	184662.6875	2.0	15.0	175.0	-215.0	-0.5302734375	0.078125	0.78955078125	-3.2290076335877864	3.6946564885496183	0.40458015267175573	20.78	227
2014-01-25_17:55:00_976073	196162.796875	2.0	40.0	158.0	-217.0	-0.546630859375	0.064453125	0.795166015625	-3.16793893129771	1.8015267175572518	0.3511450381679389	20.59	227
2014-01-25_17:55:01_090829	207587.5	2.0	38.0	160.0	-217.0	-0.532958984375	0.076416015625	0.79541015625	-3.1068702290076335	1.8702290076335877	0.4351145038167939	20.45	227
2014-01-25_17:55:01_204205	218924.390625	2.0	39.0	160.0	-219.0	-0.533203125	0.062744140625	0.78271484375	-3.1526717557251906	1.6870229007633588	0.3893129770992366	20.57	227
2014-01-25_17:55:01_317962	230333.796875	2.0	43.0	160.0	-217.0	-0.53515625	0.072021484375	0.77685546875	-3.1068702290076335	1.8244274809160306	0.2900763358778626	20.76	227
2014-01-25_17:55:01_431167	241620.296875	2.0	38.0	160.0	-217.0	-0.53564453125	0.0712890625	0.783203125	-2.984732824427481	1.8244274809160306	0.5038167938931297	20.81	227
2014-01-25_17:55:01_545650	253068.984375	2.0	37.0	152.0	-217.0	-0.534423828125	0.09375	0.77490234375	-3.198473282442748	2.2290076335877864	0.48091603053435117	21.06	227
2014-01-25_17:55:01_658819	264384.984375	2.0	37.0	165.0	-211.0	-0.571044921875	0.086669921875	0.755859375	-5.809160305343512	2.183206106870229	0.6641221374045801	20.62	227
2014-01-25_17:55:01_772994	275803.296875	2.0	42.0	160.0	-218.0	-0.523193359375	0.091552734375	0.920654296875	-2.282442748091603	2.0076335877862594	0.15267175572519084	20.26	227
2014-01-25_17:55:01_886605	287164.28125	2.0	55.0	153.0	-225.0	-0.534423828125	0.055419921875	0.798583984375	-3.3282442748091605	2.50381679389313	0.42748091603053434	20.61	227
2014-01-25_17:55:02_000870	298591.890625	2.0	42.0	139.0	-224.0	-0.5205078125	0.080810546875	0.78076171875	-5.099236641221374	3.854961832061069	0.26717557251908397	20.7	227
2014-01-25_17:55:02_115490	310077.59375	2.0	-59.0	126.0	-229.0	-0.515869140625	0.0966796875	0.681884765625	-2.931297709923664	1.6717557251908397	0.4961832061068702	21.96	227
2014-01-25_17:55:02_230160	321520.171875	2.0	-8.0	132.0	-235.0	-0.530517578125	0.1259765625	0.83447265625	-1.9618320610687023	0.17557251908396945	0.2366412213740458	21.4	227
2014-01-25_17:55:02_343470	332894.578125	2.0	11.0	157.0	-207.0	-0.5400390625	0.08642578125	0.80908203125	-3.7557251908396947	2.427480916030534	0.3435114503816794	20.54	227
2014-01-25_17:55:02_457990	344303.703125	2.0	82.0	191.0	-176.0	-0.561279296875	-0.016357421875	0.802978515625	-1.6641221374045803	3.7022900763358777	1.8854961832061068	19.26	227
2014-01-25_17:55:02_570954	355598.890625	2.0	72.0	155.0	-229.0	-0.45556640625	0.079345703125	0.87060546875	-0.6412213740458015	2.5801526717557253	0.19083969465648856	21.2	227
2014-01-25_17:55:02_685216	367025.984375	2.0	29.0	188.0	-235.0	-0.5439453125	-0.054931640625	0.722900390625	-4.824427480916031	2.404580152671756	-1.9312977099236641	21.59	227
2014-01-25_17:55:02_798164	378320.28125	2.0	83.0	162.0	-151.0	-0.57470703125	0.0625	0.738525390625	-2.4885496183206106	2.427480916030534	0.3282442748091603	21.05	227
2014-01-25_17:55:02_911935	389697.59375	2.0	30.0	165.0	-240.0	-0.494873046875	0.178466796875	0.784423828125	-1.2213740458015268	0.5038167938931297	0.26717557251908397	21.13	227
2014-01-25_17:55:03_025532	401057.28125	2.0	1.0	151.0	-209.0	-0.4853515625	0.042724609375	0.824462890625	-0.2748091603053435	1.717557251908397	-0.2366412213740458	22.1	227
2014-01-25_17:55:03_140371	412542.09375	2.0	-17.0	132.0	-203.0	-0.52685546875	0.095703125	0.6396484375	-5.977099236641221	2.099236641221374	0.09923664122137404	19.22	227
2014-01-25_17:55:03_256415	424196.78125	2.0	53.0	173.0	-225.0	-0.53515625	0.12841796875	0.64794921875	-4.549618320610687	1.702290076335878	0.6717557251908397	43.52	227
2014-01-25_17:55:03_371273	435631.796875	2.0	36.0	168.0	-160.0	-0.55029296875	-0.028564453125	1.0078125	-3.9160305343511452	3.66412213740458	0.3282442748091603	19.57	227
2014-01-25_17:55:03_485700	447132.296875	2.0	65.0	165.0	-227.0	-0.50439453125	0.179931640625	0.866455078125	-2.1374045801526718	0.061068702290076333	0.9541984732824428	21.1	227
2014-01-25_17:55:03_600191	458522.984375	2.0	42.0	170.0	-203.0	-0.521240234375	0.05029296875	0.699462890625	-5.4961832061068705	1.3511450381679388	-0.15267175572519084	27.51	227
2014-01-25_17:55:03_715134	470017.875	2.0	44.0	132.0	-227.0	-0.552490234375	0.02783203125	0.606689453125	-0.015267175572519083	3.66412213740458	0.9770992366412213	27.05	227
2014-01-25_17:55:03_828033	481306.875	2.0	48.0	163.0	-221.0	-0.593017578125	0.048828125	0.464111328125	-3.854961832061069	1.2900763358778626	0.5419847328244275	20.13	227
2014-01-25_17:55:03_944196	492956.171875	2.0	69.0	192.0	-204.0	-0.5341796875	0.0419921875	0.79833984375	-2.3053435114503817	2.312977099236641	0.0916030534351145	43.49	227
2014-01-25_17:55:04_057919	504295.578125	2.0	72.0	169.0	-209.0	-0.494384765625	0.14697265625	0.8486328125	-2.50381679389313	0.8396946564885496	0.8320610687022901	21.49	227
2014-01-25_17:55:04_171565	515667.1875	2.0	82.0	161.0	-206.0	-0.43994140625	0.117919921875	0.78271484375	-2.4198473282442747	-1.702290076335878	1.8625954198473282	20.25	227
2014-01-25_17:55:04_287367	527270.375	2.0	38.0	158.0	-206.0	-0.540771484375	0.09912109375	0.7529296875	-0.9770992366412213	0.4961832061068702	0.32061068702290074	44.15	227
2014-01-25_17:55:04_401040	538608.0	2.0	-26.0	147.0	-224.0	-0.54248046875	-0.055908203125	0.672119140625	-2.8473282442748094	3.8473282442748094	0.5190839694656488	21.05	227
2014-01-25_17:55:04_514020	549905.671875	2.0	66.0	152.0	-176.0	-0.57080078125	0.10791015625	0.702880859375	-5.778625954198473	3.404580152671756	0.2366412213740458	20.21	227
2014-01-25_17:55:04_627229	561294.09375	2.0	14.0	152.0	-250.0	-0.55029296875	0.005859375	0.828369140625	-6.091603053435114	1.1374045801526718	0.549618320610687	19.62	227
2014-01-25_17:55:04_741326	572636.59375	2.0	20.0	136.0	-218.0	-0.500732421875	0.159912109375	0.807373046875	-1.5190839694656488	0.7404580152671756	1.6870229007633588	20.11	227
2014-01-25_17:55:04_855398	584078.1875	2.0	48.0	191.0	-209.0	-0.525634765625	0.0859375	0.74365234375	-7.6106870229007635	1.816793893129771	-0.1450381679389313	21.22	227
2014-01-25_17:55:04_970337	595537.484375	2.0	39.0	162.0	-204.0	-0.558837890625	0.0576171875	0.951416015625	-2.053435114503817	1.6412213740458015	1.0076335877862594	43.98	227
2014-01-25_17:55:05_085506	607055.09375	2.0	60.0	181.0	-226.0	-0.569091796875	0.135009765625	0.6875	-1.3893129770992367	2.8473282442748094	0.5267175572519084	43.79	227
