datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	d	speed_real
2014-01-25_17:56:38_370716	2122.28125	0.2	35.0	151.0	-207.0	-0.537353515625	0.076904296875	0.78173828125	-3.404580152671756	0.015267175572519083	0.3893129770992366	28.07	220
2014-01-25_17:56:38_484206	13453.984375	0.4	49.0	152.0	-217.0	-0.51953125	0.08349609375	0.764404296875	-2.6793893129770994	1.9465648854961832	0.6870229007633588	20.5	221
2014-01-25_17:56:38_598034	24866.375	0.6	52.0	169.0	-232.0	-0.533203125	0.068115234375	0.770751953125	-3.33587786259542	1.7557251908396947	0.3816793893129771	21.15	222
2014-01-25_17:56:38_712148	36293.28125	0.8	14.0	160.0	-206.0	-0.517333984375	0.016845703125	0.88525390625	-2.9923664122137406	3.732824427480916	0.5419847328244275	20.74	223
2014-01-25_17:56:38_826893	47723.78125	1.0	54.0	152.0	-228.0	-0.544677734375	0.041748046875	0.759033203125	-3.4656488549618323	3.854961832061069	0.5267175572519084	21.4	223
2014-01-25_17:56:38_939798	59017.171875	1.2	62.0	153.0	-218.0	-0.50634765625	0.066162109375	0.8623046875	-3.2213740458015265	2.213740458015267	0.2595419847328244	21.37	224
2014-01-25_17:56:39_053903	70424.78125	1.4	30.0	164.0	-222.0	-0.55029296875	0.07470703125	0.748779296875	-3.900763358778626	0.8549618320610687	0.5954198473282443	22.79	225
2014-01-25_17:56:39_167893	81822.578125	1.6	65.0	189.0	-210.0	-0.54345703125	0.097900390625	0.783203125	-3.4122137404580153	3.6946564885496183	0.549618320610687	38.05	226
2014-01-25_17:56:39_282148	93249.390625	1.8	50.0	169.0	-209.0	-0.50537109375	0.06689453125	0.76416015625	-3.687022900763359	1.0763358778625953	0.183206106870229	20.77	226
2014-01-25_17:56:39_395546	104588.78125	2.0	45.0	121.0	-218.0	-0.5751953125	0.074951171875	0.71142578125	-0.8320610687022901	3.236641221374046	0.6335877862595419	20.98	227
2014-01-25_17:56:39_509161	115982.984375	2.2	144.0	181.0	-228.0	-0.5703125	0.101806640625	0.73876953125	-4.969465648854962	0.7633587786259542	1.2442748091603053	20.4	228
2014-01-25_17:56:39_624850	127570.578125	2.4	76.0	198.0	-227.0	-0.550048828125	0.146484375	0.502197265625	-4.236641221374046	0.25190839694656486	1.3740458015267176	41.75	229
2014-01-25_17:56:39_739461	138980.1875	2.6	54.0	176.0	-224.0	-0.565185546875	0.03759765625	0.6435546875	-1.5725190839694656	3.595419847328244	0.0916030534351145	20.98	229
2014-01-25_17:56:39_852467	150280.875	2.8	8.0	161.0	-202.0	-0.5859375	0.05517578125	0.677734375	-5.587786259541985	2.122137404580153	0.33587786259541985	19.06	230
2014-01-25_17:56:39_966367	161671.671875	3.0	45.0	167.0	-248.0	-0.4833984375	0.0634765625	0.7666015625	-3.4885496183206106	1.0687022900763359	0.19083969465648856	23.12	231
2014-01-25_17:56:40_079321	172966.0	3.2	15.0	147.0	-218.0	-0.50537109375	-0.03759765625	0.550537109375	-2.66412213740458	0.6030534351145038	0.6106870229007634	21.98	232
2014-01-25_17:56:40_193031	184337.890625	3.4	68.0	149.0	-236.0	-0.52197265625	0.112548828125	0.729248046875	-0.8625954198473282	3.877862595419847	1.916030534351145	22.37	232
2014-01-25_17:56:40_306883	195722.28125	3.6	2.0	157.0	-209.0	-0.572021484375	0.108642578125	0.73193359375	-3.6030534351145036	0.5801526717557252	0.19083969465648856	27.32	233
2014-01-25_17:56:40_421940	207228.796875	3.8	7.0	152.0	-243.0	-0.507568359375	0.0087890625	0.840576171875	-2.0	0.7022900763358778	0.8931297709923665	42.84	234
2014-01-25_17:56:40_535343	218568.078125	4.0	91.0	152.0	-226.0	-0.530517578125	0.094970703125	0.775146484375	-3.900763358778626	1.8854961832061068	0.7633587786259542	29.05	235
2014-01-25_17:56:40_649464	229981.296875	4.2	28.0	150.0	-213.0	-0.5859375	0.075927734375	0.972900390625	-1.9923664122137406	0.21374045801526717	1.1068702290076335	21.47	235
2014-01-25_17:56:40_763497	241383.96875	4.4	29.0	156.0	-223.0	-0.59326171875	0.098876953125	0.96533203125	-4.442748091603053	3.1374045801526718	0.7709923664122137	19.75	236
2014-01-25_17:56:40_876884	252722.09375	4.6	85.0	180.0	-242.0	-0.503662109375	0.0751953125	0.859130859375	-0.8015267175572519	1.2748091603053435	0.7175572519083969	29.17	237
2014-01-25_17:56:40_990673	264101.875	4.8	23.0	168.0	-217.0	-0.53564453125	0.02392578125	0.7734375	-1.4809160305343512	1.8625954198473282	0.33587786259541985	21.59	238
2014-01-25_17:56:41_104635	275530.96875	5.0	50.0	155.0	-184.0	-0.576416015625	0.18505859375	0.72900390625	-0.0916030534351145	3.6946564885496183	-0.44274809160305345	21.37	239
2014-01-25_17:56:41_219094	286943.09375	5.2	63.0	151.0	-206.0	-0.46484375	0.070556640625	0.794189453125	-5.038167938931298	0.8702290076335878	0.46564885496183206	22.73	239
2014-01-25_17:56:41_332492	298283.28125	5.4	57.0	169.0	-259.0	-0.482421875	0.157958984375	0.70458984375	-4.732824427480916	1.4732824427480915	-1.9236641221374047	19.96	240
2014-01-25_17:56:41_446558	309690.484375	5.6	50.0	165.0	-212.0	-0.601318359375	0.02294921875	0.48291015625	-6.152671755725191	0.6641221374045801	-0.32061068702290074	18.22	241
2014-01-25_17:56:41_559310	320964.59375	5.8	40.0	157.0	-250.0	-0.586669921875	0.0751953125	0.985595703125	-1.4961832061068703	4.366412213740458	0.6793893129770993	19.35	242
2014-01-25_17:56:41_673385	332374.0	6.0	34.0	164.0	-252.0	-0.543212890625	0.186279296875	0.607421875	-3.9770992366412212	0.3511450381679389	0.08396946564885496	23.14	242
2014-01-25_17:56:41_786662	343699.5	6.2	1.0	168.0	-197.0	-0.58544921875	0.038818359375	0.511962890625	2.854961832061069	4.030534351145038	-0.2748091603053435	21.08	243
2014-01-25_17:56:41_900628	355097.78125	6.4	63.0	191.0	-329.0	-0.564208984375	0.263916015625	0.919921875	-4.435114503816794	4.679389312977099	0.08396946564885496	18.99	244
2014-01-25_17:56:42_014796	366552.484375	6.6	84.0	206.0	-217.0	-0.505126953125	0.22900390625	0.722412109375	-0.6183206106870229	2.564885496183206	0.05343511450381679	21.88	245
2014-01-25_17:56:42_129472	377981.671875	6.8	43.0	135.0	-107.0	-0.55615234375	0.064453125	0.744140625	3.2442748091603053	2.213740458015267	-0.2366412213740458	22.3	245
2014-01-25_17:56:42_242616	389324.890625	7.0	26.0	165.0	-283.0	-0.621826171875	-0.11181640625	0.41748046875	-7.99236641221374	1.5190839694656488	0.8396946564885496	19.86	246
2014-01-25_17:56:42_356958	400762.78125	7.2	4.0	155.0	-270.0	-0.65234375	0.02099609375	0.392578125	-7.6106870229007635	2.0229007633587788	0.5419847328244275	20.08	247
2014-01-25_17:56:42_470103	412044.09375	7.4	42.0	169.0	-256.0	-0.479248046875	0.270751953125	0.30712890625	-2.0916030534351147	1.717557251908397	-0.40458015267175573	19.81	248
2014-01-25_17:56:42_583765	423440.375	7.6	26.0	114.0	-164.0	-0.6259765625	0.0810546875	0.441162109375	-3.2900763358778624	2.816793893129771	-0.8854961832061069	19.48	248
2014-01-25_17:56:42_696759	434714.09375	7.8	-11.0	172.0	-221.0	-0.552490234375	0.097412109375	0.579345703125	-11.091603053435115	3.0839694656488548	0.2748091603053435	18.48	249
2014-01-25_17:56:42_810760	446110.6875	8.0	55.0	146.0	-255.0	-0.556884765625	-0.13720703125	0.947021484375	-4.175572519083969	0.3969465648854962	0.33587786259541985	18.89	250
2014-01-25_17:56:42_923869	457420.796875	8.2	38.0	154.0	-242.0	-0.46435546875	-0.050537109375	1.4521484375	-4.648854961832061	0.9694656488549618	0.7022900763358778	21.44	251
2014-01-25_17:56:43_037805	468814.890625	8.4	14.0	163.0	-258.0	-0.4599609375	0.2734375	0.92724609375	-8.877862595419847	2.5801526717557253	-0.7480916030534351	19.09	251
2014-01-25_17:56:43_150683	480106.078125	8.6	62.0	165.0	-269.0	-0.513916015625	0.158203125	0.74267578125	2.0381679389312977	3.8473282442748094	1.534351145038168	21.93	252
