datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real
2014-02-01_15:03:51_217379	176752.1875	0.05	42.0	157.0	-222.0	0	0	0	0	0	0	0	0	0	0.0	220
2014-02-01_15:03:51_298459	184788.984375	0.1	42.0	158.0	-217.0	0	0	0	0	0	0	1.696940325585843	-34.427847020562254	4.348105128333533	0.0	220
2014-02-01_15:03:51_378623	192805.5	0.15	30.0	145.0	-210.0	0	0	0	0	0	0	1.6509133227405342	-34.509369884824046	4.257789078431743	0.0	220
2014-02-01_15:03:51_458374	200780.796875	0.2	31.0	145.0	-223.0	0	0	0	0	0	0	1.536603678250272	-34.67789153169991	4.09010717686187	0.0	220
2014-02-01_15:03:51_538083	208752.390625	0.25	53.0	155.0	-244.0	0	0	0	0	0	0	1.48136644322073	-34.75239579444989	4.00220372626603	0.0	220
2014-02-01_15:03:51_618477	216791.203125	0.3	4.0	200.0	-222.0	0	0	0	0	0	0	1.4287147194269196	-34.83338213250776	3.9208808466242075	0.0	221
2014-02-01_15:03:51_698619	224805.1875	0.35	20.0	153.0	-238.0	0	0	0	0	0	0	1.3155288860669812	-34.9661162538282	3.7675179321864367	0.0	221
2014-02-01_15:03:51_778795	232856.484375	0.4	39.0	165.0	-214.0	0	0	0	0	0	0	1.2621658024876388	-35.047093700865894	3.686367388555352	0.0	221
2014-02-01_15:03:51_858742	240849.3125	0.45	71.0	147.0	-237.0	0	0	0	0	0	0	1.2082728039740036	-35.12140308800403	3.6054019853699923	0.0	221
2014-02-01_15:03:51_938826	248826.296875	0.5	39.0	172.0	-209.0	0	0	0	0	0	0	1.0877658526744336	-35.2536892421133	3.4612483578358932	0.0	221
2014-02-01_15:03:52_021001	257044.09375	0.55	59.0	165.0	-168.0	0	0	0	0	0	0	1.0296395288866953	-35.31861543779078	3.3958233916677925	0.0	222
2014-02-01_15:03:52_101357	265079.40625	0.6	45.0	161.0	-205.0	0	0	0	0	0	0	0.971194285477675	-35.370995848510866	3.308563771116481	0.0	222
2014-02-01_15:03:52_181134	273056.890625	0.65	22.0	152.0	-207.0	0	0	0	0	0	0	0.853070406934446	-35.474235283982395	3.1783799135203377	0.0	222
2014-02-01_15:03:52_260960	281039.28125	0.7	30.0	149.0	-228.0	0	0	0	0	0	0	0.7932871012717647	-35.51708169876298	3.1132765161251523	0.0	222
2014-02-01_15:03:52_341723	289116.890625	0.75	43.0	137.0	-181.0	0	0	0	0	0	0	0.7340900825199222	-35.5753730134086	3.048195093235627	0.0	222
2014-02-01_15:03:52_421514	297094.984375	0.8	33.0	126.0	-201.0	0	0	0	0	0	0	0.6098477801952435	-35.69371182858264	2.9271423092516686	0.0	223
2014-02-01_15:03:52_501513	305159.28125	0.85	30.0	169.0	-166.0	0	0	0	0	0	0	0.5558399779271118	-35.760502426741276	2.875594272565551	0.0	223
2014-02-01_15:03:52_581906	313133.890625	0.9	-4.0	154.0	-267.0	0	0	0	0	0	0	0.49326964807278745	-35.82492566705332	2.8260923386930683	0.0	223
2014-02-01_15:03:52_661766	321156.28125	0.95	-23.0	173.0	-146.0	0	0	0	0	0	0	0.37488590075059885	-35.91484730794698	2.7034103780295937	0.0	223
2014-02-01_15:03:52_742458	329189.1875	1.0	29.0	146.0	-202.0	0	0	0	0	0	0	0.31413735604765786	-35.965851620607815	2.660842503629441	0.0	223
2014-02-01_15:03:52_822410	337184.1875	1.05	-9.0	170.0	-287.0	0	0	0	0	0	0	0.2534554184785915	-36.02351832431033	2.6182565966891818	0.0	223
2014-02-01_15:03:52_902493	345192.5	1.1	96.0	193.0	-242.0	0	0	0	0	0	0	0.13112520786719906	-36.11300238927079	2.5113409437599175	0.0	224
2014-02-01_15:03:52_982344	353177.1875	1.15	-23.0	147.0	-191.0	0	0	0	0	0	0	0.058755750056278325	-36.157370155850565	2.464518904858231	0.0	224
2014-02-01_15:03:53_062164	361159.5	1.2	-33.0	135.0	-234.0	0	0	0	0	0	0	0.0002350646885652333	-36.21493637533077	2.428765050876221	0.0	224
2014-02-01_15:03:53_142522	369195.796875	1.25	87.0	131.0	-210.0	0	0	0	0	0	0	-0.1233231275399068	-36.295723115791034	2.3220608533360183	0.0	224
2014-02-01_15:03:53_222669	377211.0	1.3	6.0	113.0	-227.0	0	0	0	0	0	0	-0.1821895045653814	-36.35550588115546	2.286576102586613	0.0	224
2014-02-01_15:03:53_302465	385190.296875	1.35	31.0	234.0	-189.0	0	0	0	0	0	0	-0.2445488261725693	-36.384541883168154	2.2443534421749844	0.0	225
2014-02-01_15:03:53_382441	393187.78125	1.4	57.0	181.0	-190.0	0	0	0	0	0	0	-0.37421967992732924	-36.48869503404292	2.169064540534424	0.0	225
2014-02-01_15:03:53_462339	401177.390625	1.45	69.0	211.0	-212.0	0	0	0	0	0	0	-0.43412321257844255	-36.51761530011763	2.1335774996694843	0.0	225
2014-02-01_15:03:53_542200	409163.59375	1.5	47.0	169.0	-187.0	0	0	0	0	0	0	-0.5022164288676108	-36.55299797376905	2.100291969009287	0.0	225
2014-02-01_15:03:53_623291	417271.59375	1.55	27.0	124.0	-165.0	0	0	0	0	0	0	-0.6277557396565344	-36.62889810609984	2.01640704941676	0.0	225
2014-02-01_15:03:53_703244	425269.109375	1.6	9.0	92.0	-171.0	0	0	0	0	0	0	-0.6934518220131061	-36.658205129248664	1.9677524951771108	0.0	226
2014-02-01_15:03:53_783266	433270.78125	1.65	16.0	143.0	-228.0	0	0	0	0	0	0	-0.7508415045276141	-36.70250184905536	1.939156985073094	0.0	226
2014-02-01_15:03:53_863052	441248.203125	1.7	76.0	193.0	-257.0	0	0	0	0	0	0	-0.8854070623992181	-36.76000681251401	1.879584821713218	0.0	226
2014-02-01_15:03:53_943358	449279.1875	1.75	56.0	178.0	-148.0	0	0	0	0	0	0	-0.9460486168966258	-36.791245700817704	1.8444360803350879	0.0	226
2014-02-01_15:03:54_023196	457270.296875	1.8	72.0	193.0	-270.0	0	0	0	0	0	0	-1.0147711660723846	-36.82675574396373	1.8114109373790628	0.0	226
2014-02-01_15:03:54_102944	465237.5	1.85	41.0	155.0	-184.0	0	0	0	0	0	0	-1.1361618633024422	-36.893738123800695	1.74114054777685	0.0	227
2014-02-01_15:03:54_182819	473224.40625	1.9	0.0	154.0	-226.0	0	0	0	0	0	0	-1.2026652970957012	-36.92470229068057	1.7149423822544771	0.0	227
2014-02-01_15:03:54_262703	481213.40625	1.95	99.0	162.0	-223.0	0	0	0	0	0	0	-1.2690617276667189	-36.968945476936604	1.6888221504450047	0.0	227
2014-02-01_15:03:54_343552	489298.390625	2.0	50.0	195.0	-180.0	0	0	0	0	0	0	-1.393644228151363	-37.0266889995565	1.6341165194572724	0.0	227
2014-02-01_15:03:54_423361	497279.78125	2.05	-21.0	126.0	-214.0	0	0	0	0	0	0	-1.4602597224555223	-37.04887023497977	1.6078768228293614	0.0	227
2014-02-01_15:03:54_503041	505247.78125	2.1	79.0	170.0	-236.0	0	0	0	0	0	0	-1.5300351168321378	-37.07346492178806	1.5751415883359259	0.0	227
2014-02-01_15:03:54_582847	513228.078125	2.15	15.0	142.0	-239.0	0	0	0	0	0	0	-1.6606692970886634	-37.12435534558635	1.529439238091835	0.0	228
2014-02-01_15:03:54_663107	521254.1875	2.2	50.0	207.0	-193.0	0	0	0	0	0	0	-1.7191059080073465	-37.15338262823466	1.5011057650603734	0.0	228
2014-02-01_15:03:54_743267	529269.984375	2.25	59.0	184.0	-258.0	0	0	0	0	0	0	-1.7943759778646597	-37.16885588010424	1.4771470623892025	0.0	228
2014-02-01_15:03:54_823073	537250.5	2.3	-12.0	159.0	-194.0	0	0	0	0	0	0	-1.9170767370102784	-37.220010471593504	1.429393118795524	0.0	228
2014-02-01_15:03:54_902691	545245.890625	2.35	38.0	136.0	-222.0	0	0	0	0	0	0	-1.9841590842028014	-37.23568560736384	1.4032559062147585	0.0	228
2014-02-01_15:03:54_982959	553239.078125	2.4	51.0	190.0	-204.0	0	0	0	0	0	0	-2.0512217955819705	-37.258001065346626	1.3771994950781445	0.0	229
2014-02-01_15:03:55_063381	561282.1875	2.45	39.0	199.0	-269.0	0	0	0	0	0	0	-2.1798521149902537	-37.302293489823484	1.3383997029622978	0.0	229
2014-02-01_15:03:55_143163	569259.6875	2.5	52.0	149.0	-230.0	0	0	0	0	0	0	-2.244230071199955	-37.32445760775114	1.319029064298162	0.0	229
2014-02-01_15:03:55_222988	577279.59375	2.55	48.0	126.0	-189.0	0	0	0	0	0	0	-2.309106574697102	-37.355492557524336	1.2998696511751686	0.0	229
2014-02-01_15:03:55_303038	585247.296875	2.6	76.0	187.0	-231.0	0	0	0	0	0	0	-2.449353283857794	-37.38668856557299	1.2566742566459876	0.0	229
2014-02-01_15:03:55_383523	593295.390625	2.65	30.0	172.0	-204.0	0	0	0	0	0	0	-2.513397103665332	-37.40004323987461	1.2371785256957588	0.0	230
2014-02-01_15:03:55_463575	601301.1875	2.7	44.0	189.0	-235.0	0	0	0	0	0	0	-2.57851192402072	-37.43113177510447	1.218105971649712	0.0	230
2014-02-01_15:03:55_543133	609256.796875	2.75	25.0	150.0	-209.0	0	0	0	0	0	0	-2.7127983036731953	-37.45978686077679	1.1881713222474408	0.0	230
2014-02-01_15:03:55_623452	617344.40625	2.8	27.0	145.0	-212.0	0	0	0	0	0	0	-2.7720237754384818	-37.47578173093528	1.1599780623960423	0.0	230
2014-02-01_15:03:55_704350	625385.59375	2.85	57.0	150.0	-187.0	0	0	0	0	0	0	-2.842869787840073	-37.50656707577949	1.1498598632813266	0.0	230
2014-02-01_15:03:55_784940	633437.484375	2.9	35.0	117.0	-194.0	0	0	0	0	0	0	-2.9718730515432488	-37.53566706197311	1.1111775990834414	0.0	231
