datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real
2014-02-01_17:36:21_176871	1956.921875	0.1	55.0	147.0	-206.0	-0.553955078125	0.00927734375	0.809326171875	0.0	0.0	-14.664122137404581	0	0	0	26.77	220
2014-02-01_17:36:21_290637	13310.203125	0.2	60.0	156.0	-221.0	-0.542724609375	-0.0009765625	0.82861328125	-3.618320610687023	2.4732824427480917	-0.648854961832061	0	0	0	26.76	220
2014-02-01_17:36:21_404134	24658.890625	0.3	58.0	156.0	-219.0	-0.5458984375	0.01220703125	0.83447265625	-3.7938931297709924	2.519083969465649	-0.5190839694656488	0	0	0	26.77	221
2014-02-01_17:36:21_517419	35988.90625	0.4	59.0	158.0	-217.0	-0.551025390625	0.00634765625	0.825439453125	-3.900763358778626	2.50381679389313	-0.5267175572519084	0	0	0	26.71	221
2014-02-01_17:36:21_630869	47333.40625	0.5	61.0	156.0	-219.0	-0.545166015625	0.00244140625	0.826171875	-3.7786259541984735	2.5801526717557253	-0.6030534351145038	0	0	0	26.81	221
2014-02-01_17:36:21_744166	58663.015625	0.6	59.0	156.0	-219.0	-0.55517578125	0.031005859375	0.8408203125	-3.4885496183206106	2.4122137404580153	-0.5954198473282443	0	0	0	26.79	222
2014-02-01_17:36:21_857551	70001.90625	0.7	58.0	156.0	-219.0	-0.5517578125	0.010986328125	0.826904296875	-3.8091603053435112	2.633587786259542	-0.5114503816793893	0	0	0	27.12	222
2014-02-01_17:36:21_970945	81341.3125	0.8	41.0	145.0	-219.0	-0.547607421875	0.01171875	0.8203125	-3.572519083969466	2.3740458015267176	-0.4961832061068702	0	0	0	26.77	223
2014-02-01_17:36:22_084524	92699.09375	0.9	-6.0	105.0	-220.0	-0.5380859375	0.01123046875	0.83984375	-3.687022900763359	2.50381679389313	-0.42748091603053434	0	0	0	28.07	223
2014-02-01_17:36:22_197921	104038.40625	1.0	16.0	114.0	-215.0	-0.55517578125	0.006103515625	0.8203125	-3.83206106870229	2.6793893129770994	-0.5038167938931297	0	0	0	27.93	223
2014-02-01_17:36:22_311284	115374.8125	1.1	55.0	152.0	-223.0	-0.55078125	0.00439453125	0.83740234375	-3.687022900763359	2.717557251908397	-0.5190839694656488	0	0	0	27.35	224
2014-02-01_17:36:22_424895	126743.796875	1.2	111.0	199.0	-229.0	-0.5478515625	0.0029296875	0.823486328125	-4.145038167938932	2.351145038167939	-0.6030534351145038	0	0	0	28.9	224
2014-02-01_17:36:22_538453	138092.0	1.3	-14.0	103.0	-218.0	-0.55810546875	0.008544921875	0.79443359375	-3.7557251908396947	2.480916030534351	-0.4351145038167939	0	0	0	28.58	224
2014-02-01_17:36:22_651924	149439.09375	1.4	17.0	114.0	-218.0	-0.5458984375	0.0087890625	0.81689453125	-3.6259541984732824	2.8702290076335877	-0.5343511450381679	0	0	0	27.9	225
2014-02-01_17:36:22_765385	160784.796875	1.5	53.0	165.0	-221.0	-0.55615234375	0.001708984375	0.81982421875	-3.572519083969466	2.717557251908397	-0.3282442748091603	0	0	0	28.1	225
2014-02-01_17:36:22_878688	172115.40625	1.6	22.0	127.0	-222.0	-0.5458984375	0.005615234375	0.82275390625	-4.198473282442748	2.519083969465649	-0.42748091603053434	0	0	0	27.61	226
2014-02-01_17:36:22_992122	183458.609375	1.7	22.0	109.0	-223.0	-0.55224609375	0.005859375	0.824951171875	-3.6259541984732824	2.351145038167939	-0.5725190839694656	0	0	0	28.08	226
2014-02-01_17:36:23_105551	194802.3125	1.8	60.0	158.0	-219.0	-0.551513671875	0.0078125	0.824951171875	-3.900763358778626	2.648854961832061	-0.366412213740458	0	0	0	26.91	226
2014-02-01_17:36:23_218932	206139.5	1.9	60.0	157.0	-217.0	-0.543212890625	-0.004638671875	0.817138671875	-3.7099236641221376	2.49618320610687	-0.4351145038167939	0	0	0	26.93	227
2014-02-01_17:36:23_332391	217485.5	2.0	58.0	158.0	-220.0	-0.547607421875	0.009765625	0.822021484375	-3.8091603053435112	2.5801526717557253	-0.5267175572519084	0	0	0	27.23	227
2014-02-01_17:36:23_445842	228830.90625	2.1	58.0	157.0	-217.0	-0.551025390625	0.00830078125	0.82861328125	-3.5114503816793894	2.5114503816793894	-0.4580152671755725	0	0	0	27.18	227
2014-02-01_17:36:23_559182	240165.0	2.2	61.0	158.0	-219.0	-0.544677734375	0.007080078125	0.833251953125	-3.480916030534351	2.66412213740458	-0.6259541984732825	0	0	0	27.35	228
2014-02-01_17:36:23_672802	251527.0	2.3	59.0	143.0	-213.0	-0.549560546875	-0.02392578125	0.822265625	-4.893129770992366	1.083969465648855	-0.29770992366412213	0	0	0	28.17	228
2014-02-01_17:36:23_787174	262963.703125	2.4	50.0	162.0	-216.0	-0.552001953125	0.032958984375	0.92919921875	-5.175572519083969	2.717557251908397	-0.5343511450381679	0	0	0	27.17	229
2014-02-01_17:36:23_900568	274303.203125	2.5	65.0	152.0	-219.0	-0.53076171875	-0.03369140625	0.814697265625	-1.1374045801526718	1.3893129770992367	-0.7404580152671756	0	0	0	27.68	229
