datetime	x	y	z	d	speed	speed_real
2014-01-04_13:57:28_196352	30.0	156.0	-222.0	14.03	0.1	220
2014-01-04_13:57:28_206407	30.0	154.0	-232.0	13.87	0.2	220
2014-01-04_13:57:28_216189	18.0	160.0	-226.0	13.75	0.3	221
2014-01-04_13:57:28_225999	10.0	156.0	-234.0	13.87	0.4	221
2014-01-04_13:57:28_235755	20.0	162.0	-196.0	13.92	0.5	221
2014-01-04_13:57:28_245497	82.0	150.0	-198.0	13.72	0.6	222
2014-01-04_13:57:28_255305	-64.0	158.0	-268.0	13.91	0.7	222
2014-01-04_13:57:28_265051	32.0	134.0	-222.0	13.7	0.8	223
2014-01-04_13:57:28_274904	30.0	148.0	-202.0	13.89	0.9	223
2014-01-04_13:57:28_284749	-14.0	148.0	-224.0	13.85	1.0	223
2014-01-04_13:57:28_294532	68.0	158.0	-194.0	13.65	1.1	224
2014-01-04_13:57:28_304279	10.0	174.0	-224.0	13.41	1.2	224
2014-01-04_13:57:28_314030	2.0	152.0	-192.0	14.06	1.3	224
2014-01-04_13:57:28_323820	-192.0	384.0	-216.0	13.76	1.4	225
2014-01-04_13:57:28_333587	26.0	128.0	-210.0	13.98	1.5	225
2014-01-04_13:57:28_343462	62.0	166.0	-218.0	13.7	1.6	226
2014-01-04_13:57:28_353249	364.0	164.0	-192.0	13.94	1.7	226
2014-01-04_13:57:28_362956	-12.0	196.0	-232.0	13.89	1.8	226
2014-01-04_13:57:28_373011	56.0	154.0	-232.0	13.87	1.9	227
2014-01-04_13:57:28_382835	36.0	174.0	-202.0	13.87	2.0	227
2014-01-04_13:57:28_392677	0.0	134.0	-252.0	13.72	2.1	227
2014-01-04_13:57:28_402504	78.0	162.0	-188.0	13.89	2.2	228
2014-01-04_13:57:28_412287	54.0	128.0	-246.0	14.01	2.3	228
2014-01-04_13:57:28_422085	-4.0	138.0	-214.0	13.94	2.4	229
2014-01-04_13:57:28_431989	-44.0	144.0	-184.0	13.79	2.5	229
2014-01-04_13:57:28_442667	-8.0	142.0	-248.0	13.82	2.6	229
2014-01-04_13:57:28_452491	128.0	188.0	-200.0	13.8	2.7	230
2014-01-04_13:57:28_462271	-116.0	190.0	-232.0	13.98	2.8	230
2014-01-04_13:57:28_472041	-16.0	190.0	-260.0	13.94	2.9	231
2014-01-04_13:57:28_481837	0.0	144.0	-226.0	13.89	3.0	231
2014-01-04_13:57:28_491624	108.0	70.0	-160.0	13.91	3.1	231
2014-01-04_13:57:28_501452	-48.0	158.0	-234.0	13.84	3.2	232
2014-01-04_13:57:28_511289	256.0	186.0	-220.0	13.8	3.3	232
2014-01-04_13:57:28_521063	156.0	100.0	-130.0	13.76	3.4	232
2014-01-04_13:57:28_530861	56.0	210.0	-182.0	13.84	3.5	233
2014-01-04_13:57:28_540632	28.0	112.0	-172.0	13.7	3.6	233
2014-01-04_13:57:28_550443	-18.0	128.0	-100.0	13.92	3.7	234
2014-01-04_13:57:28_560194	12.0	94.0	-118.0	13.4	3.8	234
2014-01-04_13:57:28_569909	-52.0	84.0	-322.0	13.75	3.9	234
2014-01-04_13:57:28_579746	-206.0	78.0	-38.0	11.47	4.0	235
2014-01-04_13:57:28_589524	192.0	84.0	-336.0	14.04	4.1	235
2014-01-04_13:57:28_599457	-114.0	238.0	-178.0	13.99	4.2	235
2014-01-04_13:57:28_609304	94.0	214.0	-148.0	14.06	4.3	236
2014-01-04_13:57:28_619171	-86.0	224.0	-344.0	14.43	4.4	236
2014-01-04_13:57:28_628944	262.0	254.0	-96.0	13.68	4.5	237
2014-01-04_13:57:28_638733	-28.0	76.0	-192.0	13.84	4.6	237
2014-01-04_13:57:28_648456	-208.0	176.0	-222.0	13.84	4.7	237
