datetime	x	y	z	d	speed	speed_real
2014-01-04_16:48:24_481137	-82.0	184.0	-82.0	0.0	0.1	220
2014-01-04_16:48:24_490125	124.0	128.0	-282.0	0.0	0.2	220
2014-01-04_16:48:24_498543	-20.0	186.0	-212.0	0.0	0.3	221
2014-01-04_16:48:24_506827	12.0	294.0	-156.0	0.0	0.4	221
2014-01-04_16:48:24_515074	54.0	112.0	-180.0	0.0	0.5	221
2014-01-04_16:48:24_523452	30.0	222.0	-212.0	0.0	0.6	222
2014-01-04_16:48:24_531703	80.0	18.0	-320.0	0.0	0.7	222
2014-01-04_16:48:24_539999	-96.0	254.0	-142.0	0.0	0.8	223
2014-01-04_16:48:24_548318	32.0	142.0	-152.0	0.0	0.9	223
2014-01-04_16:48:24_556585	-90.0	190.0	-220.0	0.0	1.0	223
2014-01-04_16:48:24_564828	-128.0	196.0	-230.0	0.0	1.1	224
2014-01-04_16:48:24_573073	22.0	174.0	-266.0	0.0	1.2	224
2014-01-04_16:48:24_581279	152.0	80.0	-304.0	0.0	1.3	224
2014-01-04_16:48:24_589966	96.0	188.0	-238.0	0.0	1.4	225
2014-01-04_16:48:24_598294	6.0	156.0	-254.0	0.0	1.5	225
2014-01-04_16:48:24_606523	-192.0	188.0	-266.0	0.0	1.6	226
2014-01-04_16:48:24_615579	80.0	128.0	-264.0	0.0	1.7	226
2014-01-04_16:48:24_624344	-96.0	210.0	-144.0	0.0	1.8	226
2014-01-04_16:48:24_632633	144.0	156.0	-324.0	0.0	1.9	227
2014-01-04_16:48:24_641532	102.0	60.0	-168.0	0.0	2.0	227
2014-01-04_16:48:24_650455	150.0	-2.0	-182.0	0.0	2.1	227
2014-01-04_16:48:24_658745	108.0	72.0	-150.0	0.0	2.2	228
2014-01-04_16:48:24_666941	38.0	150.0	-246.0	0.0	2.3	228
2014-01-04_16:48:24_675208	-210.0	236.0	-200.0	0.0	2.4	229
2014-01-04_16:48:24_683499	220.0	48.0	-166.0	0.0	2.5	229
2014-01-04_16:48:24_691772	282.0	110.0	-158.0	0.0	2.6	229
2014-01-04_16:48:24_700076	94.0	80.0	-328.0	0.0	2.7	230
2014-01-04_16:48:24_708403	302.0	-28.0	-272.0	0.0	2.8	230
2014-01-04_16:48:24_716657	-304.0	278.0	-86.0	0.0	2.9	231
2014-01-04_16:48:24_724910	206.0	174.0	-208.0	0.0	3.0	231
2014-01-04_16:48:24_733137	238.0	120.0	-98.0	0.0	3.1	231
2014-01-04_16:48:24_742246	148.0	208.0	-194.0	0.0	3.2	232
2014-01-04_16:48:24_750510	150.0	28.0	-380.0	0.0	3.3	232
2014-01-04_16:48:24_758772	140.0	54.0	-140.0	0.0	3.4	232
2014-01-04_16:48:24_767034	2.0	222.0	-298.0	0.0	3.5	233
2014-01-04_16:48:24_775286	-32.0	0.0	-168.0	0.0	3.6	233
2014-01-04_16:48:24_783561	-10.0	250.0	-282.0	0.0	3.7	234
2014-01-04_16:48:24_791839	78.0	102.0	-304.0	0.0	3.8	234
2014-01-04_16:48:24_800123	-112.0	232.0	-140.0	0.0	3.9	234
2014-01-04_16:48:24_808404	40.0	150.0	-290.0	0.0	4.0	235
2014-01-04_16:48:24_816628	-74.0	320.0	-56.0	0.0	4.1	235
2014-01-04_16:48:24_824896	0.0	186.0	-256.0	0.0	4.2	235
2014-01-04_16:48:24_833181	256.0	48.0	-398.0	0.0	4.3	236
2014-01-04_16:48:24_841501	-152.0	64.0	-246.0	0.0	4.4	236
2014-01-04_16:48:24_849896	-58.0	228.0	-316.0	0.0	4.5	237
2014-01-04_16:48:24_858206	-18.0	320.0	44.0	0.0	4.6	237
2014-01-04_16:48:24_866507	-40.0	96.0	-258.0	0.0	4.7	237
2014-01-04_16:48:24_874835	32.0	282.0	-120.0	0.0	4.8	238
2014-01-04_16:48:24_883096	82.0	212.0	-142.0	0.0	4.9	238
2014-01-04_16:48:24_891434	0.0	120.0	-256.0	0.0	5.0	239
2014-01-04_16:48:24_899727	-8.0	302.0	-328.0	0.0	5.1	239
2014-01-04_16:48:24_908013	-64.0	108.0	-284.0	0.0	5.2	239
2014-01-04_16:48:24_916302	-168.0	268.0	-194.0	0.0	5.3	240
2014-01-04_16:48:24_924595	142.0	208.0	-186.0	0.0	5.4	240
2014-01-04_16:48:24_932806	-76.0	168.0	-138.0	0.0	5.5	240
2014-01-04_16:48:24_941165	144.0	76.0	-210.0	0.0	5.6	241
2014-01-04_16:48:24_949837	158.0	-92.0	-142.0	0.0	5.7	241
2014-01-04_16:48:24_958115	0.0	-52.0	-498.0	0.0	5.8	242
2014-01-04_16:48:24_966370	6.0	68.0	-218.0	0.0	5.9	242
2014-01-04_16:48:24_974624	200.0	256.0	-424.0	0.0	6.0	242
2014-01-04_16:48:24_982886	-96.0	14.0	56.0	0.0	6.1	243
2014-01-04_16:48:24_991157	184.0	-60.0	-454.0	0.0	6.2	243
2014-01-04_16:48:24_999434	46.0	128.0	-200.0	0.0	6.3	243
2014-01-04_16:48:25_007641	194.0	200.0	-618.0	0.0	6.4	244
2014-01-04_16:48:25_016358	-128.0	70.0	-278.0	0.0	6.5	244
2014-01-04_16:48:25_024643	-4.0	300.0	-498.0	0.0	6.6	245
2014-01-04_16:48:25_032907	0.0	-112.0	-152.0	0.0	6.7	245
2014-01-04_16:48:25_042623	-80.0	108.0	-254.0	0.0	6.8	245
2014-01-04_16:48:25_050978	158.0	128.0	-212.0	0.0	6.9	246
2014-01-04_16:48:25_059310	-86.0	320.0	134.0	0.0	7.0	246
2014-01-04_16:48:25_068489	-84.0	64.0	-192.0	0.0	7.1	246
2014-01-04_16:48:25_076781	-76.0	276.0	-74.0	0.0	7.2	247
2014-01-04_16:48:25_085050	104.0	206.0	-304.0	0.0	7.3	247
2014-01-04_16:48:25_093325	126.0	264.0	-312.0	0.0	7.4	248
2014-01-04_16:48:25_101601	100.0	116.0	-230.0	0.0	7.5	248
2014-01-04_16:48:25_109865	208.0	2.0	8.0	0.0	7.6	248
2014-01-04_16:48:25_118129	6.0	64.0	-410.0	0.0	7.7	249
2014-01-04_16:48:25_126415	-124.0	-60.0	114.0	0.0	7.8	249
2014-01-04_16:48:25_134608	28.0	276.0	-390.0	0.0	7.9	250
2014-01-04_16:48:25_143212	302.0	-208.0	-42.0	0.0	8.0	250
