datetime	speed	x	y	z	d
2014-01-04_21:12:10_050012	1388869930051.0	30.0	64.0	-256.0	0.0
2014-01-04_21:12:10_057717	1388869930057.0	30.0	64.0	-256.0	0.0
2014-01-04_21:12:10_064419	1388869930064.0	30.0	64.0	-256.0	0.0
2014-01-04_21:12:10_071109	1388869930071.0	27.0	57.0	-241.0	0.0
2014-01-04_21:12:10_077803	1388869930078.0	27.0	57.0	-241.0	0.0
2014-01-04_21:12:10_084535	1388869930084.0	27.0	57.0	-241.0	0.0
2014-01-04_21:12:10_091291	1388869930091.0	26.0	63.0	-252.0	0.0
2014-01-04_21:12:10_097978	1388869930098.0	26.0	63.0	-252.0	0.0
2014-01-04_21:12:10_104668	1388869930104.0	26.0	63.0	-252.0	0.0
2014-01-04_21:12:10_111351	1388869930111.0	20.0	66.0	-261.0	0.0
2014-01-04_21:12:10_118039	1388869930118.0	20.0	66.0	-261.0	0.0
2014-01-04_21:12:10_124701	1388869930124.0	20.0	66.0	-261.0	0.0
2014-01-04_21:12:10_131468	1388869930131.0	19.0	70.0	-257.0	0.0
2014-01-04_21:12:10_138162	1388869930138.0	19.0	70.0	-257.0	0.0
2014-01-04_21:12:10_144813	1388869930145.0	25.0	77.0	-254.0	0.0
2014-01-04_21:12:10_151489	1388869930151.0	25.0	77.0	-254.0	0.0
2014-01-04_21:12:10_158245	1388869930158.0	25.0	77.0	-254.0	0.0
2014-01-04_21:12:10_164911	1388869930165.0	25.0	83.0	-254.0	0.0
2014-01-04_21:12:10_171675	1388869930171.0	25.0	83.0	-254.0	0.0
2014-01-04_21:12:10_178360	1388869930178.0	25.0	83.0	-254.0	0.0
2014-01-04_21:12:10_185063	1388869930185.0	25.0	85.0	-256.0	0.0
2014-01-04_21:12:10_191783	1388869930192.0	25.0	85.0	-256.0	0.0
2014-01-04_21:12:10_198480	1388869930198.0	25.0	85.0	-256.0	0.0
2014-01-04_21:12:10_205229	1388869930205.0	24.0	88.0	-259.0	0.0
2014-01-04_21:12:10_211913	1388869930212.0	24.0	88.0	-259.0	0.0
2014-01-04_21:12:10_218605	1388869930218.0	24.0	88.0	-259.0	0.0
2014-01-04_21:12:10_225281	1388869930225.0	28.0	94.0	-257.0	0.0
2014-01-04_21:12:10_232027	1388869930232.0	28.0	94.0	-257.0	0.0
2014-01-04_21:12:10_238697	1388869930238.0	28.0	94.0	-257.0	0.0
2014-01-04_21:12:10_245360	1388869930245.0	29.0	97.0	-257.0	0.0
2014-01-04_21:12:10_252176	1388869930252.0	29.0	97.0	-257.0	0.0
2014-01-04_21:12:10_258870	1388869930259.0	29.0	97.0	-257.0	0.0
2014-01-04_21:12:10_265543	1388869930265.0	21.0	104.0	-258.0	0.0
2014-01-04_21:12:10_272282	1388869930272.0	21.0	104.0	-258.0	0.0
2014-01-04_21:12:10_278944	1388869930279.0	21.0	104.0	-258.0	0.0
2014-01-04_21:12:10_285623	1388869930286.0	21.0	103.0	-261.0	0.0
2014-01-04_21:12:10_292895	1388869930293.0	21.0	103.0	-261.0	0.0
2014-01-04_21:12:10_299701	1388869930299.0	21.0	103.0	-261.0	0.0
2014-01-04_21:12:10_306407	1388869930306.0	25.0	107.0	-262.0	0.0
2014-01-04_21:12:10_313088	1388869930313.0	25.0	107.0	-262.0	0.0
2014-01-04_21:12:10_319772	1388869930320.0	28.0	114.0	-259.0	0.0
2014-01-04_21:12:10_326458	1388869930326.0	28.0	114.0	-259.0	0.0
2014-01-04_21:12:10_333223	1388869930333.0	28.0	114.0	-259.0	0.0
2014-01-04_21:12:10_339907	1388869930340.0	26.0	114.0	-250.0	0.0
2014-01-04_21:12:10_346596	1388869930346.0	26.0	114.0	-250.0	0.0
2014-01-04_21:12:10_353295	1388869930353.0	26.0	114.0	-250.0	0.0
2014-01-04_21:12:10_359994	1388869930360.0	20.0	114.0	-245.0	0.0
2014-01-04_21:12:10_366689	1388869930366.0	20.0	114.0	-245.0	0.0
2014-01-04_21:12:10_373363	1388869930373.0	20.0	114.0	-245.0	0.0
2014-01-04_21:12:10_380054	1388869930380.0	18.0	117.0	-244.0	0.0
2014-01-04_21:12:10_386723	1388869930386.0	18.0	117.0	-244.0	0.0
2014-01-04_21:12:10_393460	1388869930393.0	18.0	117.0	-244.0	0.0
2014-01-04_21:12:10_400174	1388869930400.0	20.0	127.0	-248.0	0.0
2014-01-04_21:12:10_406864	1388869930407.0	20.0	127.0	-248.0	0.0
2014-01-04_21:12:10_413543	1388869930413.0	20.0	127.0	-248.0	0.0
2014-01-04_21:12:10_420234	1388869930420.0	25.0	125.0	-249.0	0.0
2014-01-04_21:12:10_426923	1388869930427.0	25.0	125.0	-249.0	0.0
2014-01-04_21:12:10_433597	1388869930433.0	25.0	125.0	-249.0	0.0
2014-01-04_21:12:10_440300	1388869930440.0	27.0	128.0	-249.0	0.0
2014-01-04_21:12:10_446989	1388869930447.0	27.0	128.0	-249.0	0.0
2014-01-04_21:12:10_453666	1388869930453.0	27.0	128.0	-249.0	0.0
2014-01-04_21:12:10_460352	1388869930460.0	25.0	129.0	-247.0	0.0
2014-01-04_21:12:10_467033	1388869930467.0	25.0	129.0	-247.0	0.0
2014-01-04_21:12:10_473702	1388869930473.0	25.0	129.0	-247.0	0.0
2014-01-04_21:12:10_480374	1388869930480.0	24.0	133.0	-244.0	0.0
2014-01-04_21:12:10_487040	1388869930487.0	24.0	133.0	-244.0	0.0
2014-01-04_21:12:10_493744	1388869930493.0	24.0	133.0	-244.0	0.0
2014-01-04_21:12:10_500477	1388869930500.0	24.0	133.0	-240.0	0.0
2014-01-04_21:12:10_507199	1388869930507.0	24.0	133.0	-240.0	0.0
2014-01-04_21:12:10_513890	1388869930514.0	24.0	133.0	-240.0	0.0
2014-01-04_21:12:10_520578	1388869930520.0	19.0	134.0	-238.0	0.0
2014-01-04_21:12:10_527267	1388869930527.0	19.0	134.0	-238.0	0.0
2014-01-04_21:12:10_533940	1388869930534.0	22.0	137.0	-236.0	0.0
2014-01-04_21:12:10_540653	1388869930540.0	22.0	137.0	-236.0	0.0
2014-01-04_21:12:10_547458	1388869930547.0	22.0	137.0	-236.0	0.0
2014-01-04_21:12:10_554147	1388869930554.0	24.0	138.0	-235.0	0.0
2014-01-04_21:12:10_560828	1388869930561.0	24.0	138.0	-235.0	0.0
2014-01-04_21:12:10_567513	1388869930567.0	24.0	138.0	-235.0	0.0
2014-01-04_21:12:10_574222	1388869930574.0	24.0	141.0	-240.0	0.0
2014-01-04_21:12:10_580904	1388869930581.0	24.0	141.0	-240.0	0.0
