datetime	speed	x	y	z	d	speed_real
2014-01-12_13:23:09_116703	0.2	-1.0	137.0	-215.0	0.0	220
2014-01-12_13:23:09_221690	0.4	-4.0	142.0	-236.0	0.0	221
2014-01-12_13:23:09_326674	0.6	-2.0	136.0	-237.0	0.0	222
2014-01-12_13:23:09_432387	0.8	12.0	139.0	-232.0	0.0	223
2014-01-12_13:23:09_537866	1.0	12.0	177.0	-230.0	0.0	223
2014-01-12_13:23:09_643444	1.2	-6.0	231.0	-222.0	0.0	224
2014-01-12_13:23:09_748511	1.4	-12.0	154.0	-235.0	0.0	225
2014-01-12_13:23:09_852688	1.6	17.0	149.0	-228.0	0.0	226
2014-01-12_13:23:09_956916	1.8	11.0	124.0	-228.0	0.0	226
2014-01-12_13:23:10_061126	2.0	-6.0	149.0	-223.0	0.0	227
2014-01-12_13:23:10_165302	2.2	18.0	156.0	-216.0	0.0	228
2014-01-12_13:23:10_269553	2.4	34.0	176.0	-221.0	0.0	229
2014-01-12_13:23:10_373716	2.6	-3.0	168.0	-232.0	0.0	229
2014-01-12_13:23:10_479208	2.8	0.0	158.0	-241.0	0.0	230
2014-01-12_13:23:10_584539	3.0	18.0	141.0	-222.0	0.0	231
2014-01-12_13:23:10_689891	3.2	14.0	183.0	-236.0	0.0	232
2014-01-12_13:23:10_794920	3.4	23.0	146.0	-211.0	0.0	232
2014-01-12_13:23:10_900047	3.6	21.0	163.0	-216.0	0.0	233
2014-01-12_13:23:11_005029	3.8	36.0	155.0	-204.0	0.0	234
2014-01-12_13:23:11_110352	4.0	23.0	137.0	-222.0	0.0	235
2014-01-12_13:23:11_215399	4.2	26.0	123.0	-223.0	0.0	235
2014-01-12_13:23:11_320868	4.4	-21.0	137.0	-225.0	0.0	236
2014-01-12_13:23:11_425871	4.6	10.0	160.0	-209.0	0.0	237
2014-01-12_13:23:11_531093	4.8	10.0	141.0	-211.0	0.0	238
2014-01-12_13:23:11_636427	5.0	11.0	157.0	-235.0	0.0	239
2014-01-12_13:23:11_741404	5.2	31.0	154.0	-213.0	0.0	239
2014-01-12_13:23:11_846358	5.4	13.0	154.0	-198.0	0.0	240
2014-01-12_13:23:11_954636	5.6	-7.0	167.0	-240.0	0.0	241
2014-01-12_13:23:12_059676	5.8	9.0	160.0	-224.0	0.0	242
2014-01-12_13:23:12_164933	6.0	11.0	160.0	-223.0	0.0	242
2014-01-12_13:23:12_270031	6.2	36.0	150.0	-219.0	0.0	243
2014-01-12_13:23:12_374667	6.4	33.0	130.0	-215.0	0.0	244
2014-01-12_13:23:12_478886	6.6	22.0	155.0	-246.0	0.0	245
2014-01-12_13:23:12_583876	6.8	37.0	170.0	-232.0	0.0	245
2014-01-12_13:23:12_689267	7.0	9.0	154.0	-217.0	0.0	246
2014-01-12_13:23:12_794231	7.2	17.0	119.0	-212.0	0.0	247
2014-01-12_13:23:12_899631	7.4	24.0	178.0	-246.0	0.0	248
2014-01-12_13:23:13_004961	7.6	20.0	163.0	-241.0	0.0	248
2014-01-12_13:23:13_110265	7.8	1.0	156.0	-233.0	0.0	249
2014-01-12_13:23:13_216108	8.0	-10.0	137.0	-230.0	0.0	250
2014-01-12_13:23:13_321349	8.2	19.0	142.0	-228.0	0.0	251
2014-01-12_13:23:13_426550	8.4	-19.0	141.0	-211.0	0.0	251
2014-01-12_13:23:13_531539	8.6	28.0	112.0	-195.0	0.0	252
