datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_13:57:36_829674	1038.09375	0.2	11.0	152.0	-226.0	18.26	220
2014-01-12_13:57:36_937616	11762.3125	0.4	11.0	150.0	-232.0	18.09	221
2014-01-12_13:57:37_043832	22383.5	0.6	18.0	158.0	-228.0	15.5	222
2014-01-12_13:57:37_150550	33055.5	0.8	17.0	151.0	-224.0	17.49	223
2014-01-12_13:57:37_256760	43675.796875	1.0	14.0	157.0	-226.0	17.74	223
2014-01-12_13:57:37_363820	54382.390625	1.2	19.0	150.0	-237.0	18.12	224
2014-01-12_13:57:37_469906	64990.203125	1.4	11.0	144.0	-220.0	18.11	225
2014-01-12_13:57:37_577095	75710.296875	1.6	24.0	149.0	-224.0	18.0	226
2014-01-12_13:57:37_683928	86393.109375	1.8	3.0	126.0	-222.0	17.8	226
2014-01-12_13:57:37_790092	97009.109375	2.0	46.0	117.0	-220.0	18.55	227
2014-01-12_13:57:37_897180	107719.109375	2.2	20.0	152.0	-209.0	17.53	228
2014-01-12_13:57:38_003489	118349.09375	2.4	19.0	157.0	-224.0	18.04	229
2014-01-12_13:57:38_110573	129058.8125	2.6	22.0	172.0	-219.0	17.75	229
2014-01-12_13:57:38_216728	139672.609375	2.8	-7.0	129.0	-228.0	18.4	230
2014-01-12_13:57:38_323761	150377.296875	3.0	12.0	153.0	-235.0	18.46	231
2014-01-12_13:57:38_431429	161143.890625	3.2	32.0	149.0	-211.0	18.46	232
2014-01-12_13:57:38_538563	171857.0	3.4	22.0	155.0	-224.0	17.29	232
2014-01-12_13:57:38_644683	182468.203125	3.6	34.0	140.0	-231.0	17.9	233
2014-01-12_13:57:38_751623	193163.703125	3.8	8.0	151.0	-238.0	16.97	234
2014-01-12_13:57:38_857772	203780.40625	4.0	11.0	143.0	-224.0	17.46	235
2014-01-12_13:57:38_964924	214493.609375	4.2	6.0	166.0	-243.0	17.8	235
2014-01-12_13:57:39_071070	225107.5	4.4	12.0	151.0	-226.0	16.93	236
2014-01-12_13:57:39_178428	235844.015625	4.6	-2.0	118.0	-218.0	17.44	237
2014-01-12_13:57:39_284607	246460.703125	4.8	20.0	135.0	-224.0	17.94	238
2014-01-12_13:57:39_391332	257133.90625	5.0	17.0	160.0	-240.0	17.66	239
2014-01-12_13:57:39_498496	267850.390625	5.2	7.0	148.0	-226.0	18.0	239
2014-01-12_13:57:39_604643	278464.09375	5.4	5.0	148.0	-219.0	16.93	240
2014-01-12_13:57:39_711302	289130.90625	5.6	30.0	147.0	-228.0	17.02	241
2014-01-12_13:57:39_818646	299955.796875	5.8	25.0	159.0	-246.0	17.37	242
2014-01-12_13:57:39_925838	310583.890625	6.0	32.0	141.0	-205.0	17.99	242
2014-01-12_13:57:40_032576	321274.390625	6.2	16.0	153.0	-226.0	18.04	243
2014-01-12_13:57:40_138844	331884.5	6.4	7.0	141.0	-224.0	17.9	244
2014-01-12_13:57:40_245533	342553.890625	6.6	11.0	149.0	-219.0	17.41	245
2014-01-12_13:57:40_351595	353159.703125	6.8	10.0	157.0	-214.0	17.14	245
2014-01-12_13:57:40_458847	363886.0	7.0	-10.0	136.0	-222.0	17.07	246
2014-01-12_13:57:40_564922	374492.3125	7.2	1.0	171.0	-220.0	17.17	247
2014-01-12_13:57:40_671691	385178.703125	7.4	-8.0	162.0	-244.0	17.75	248
2014-01-12_13:57:40_777889	395796.515625	7.6	29.0	160.0	-216.0	17.66	248
2014-01-12_13:57:40_884720	406472.390625	7.8	21.0	159.0	-229.0	17.53	249
2014-01-12_13:57:40_991078	417107.5	8.0	25.0	140.0	-211.0	17.17	250
2014-01-12_13:57:41_097857	427794.0	8.2	-10.0	154.0	-215.0	17.46	251
2014-01-12_13:57:41_204319	438432.71875	8.4	3.0	135.0	-219.0	17.14	251
2014-01-12_13:57:41_310408	449040.5	8.6	21.0	122.0	-244.0	18.31	252
2014-01-12_13:57:41_417292	459730.1875	8.8	39.0	182.0	-240.0	17.66	253
2014-01-12_13:57:41_523420	470342.515625	9.0	8.0	192.0	-240.0	17.97	254
2014-01-12_13:57:41_630154	481016.109375	9.2	22.0	136.0	-203.0	18.16	254
2014-01-12_13:57:41_736210	491621.109375	9.4	39.0	138.0	-219.0	16.68	255
2014-01-12_13:57:41_842972	502297.390625	9.6	9.0	154.0	-215.0	17.53	256
2014-01-12_13:57:41_949093	512909.3125	9.8	20.0	120.0	-215.0	17.61	257
2014-01-12_13:57:42_055761	523577.5	10.0	-1.0	139.0	-249.0	15.94	258
2014-01-12_13:57:42_162151	534219.5	10.2	-2.0	149.0	-221.0	17.07	258
2014-01-12_13:57:42_269349	544936.203125	10.4	17.0	128.0	-217.0	17.53	259
2014-01-12_13:57:42_375505	555551.09375	10.6	6.0	174.0	-221.0	17.12	260
2014-01-12_13:57:42_482295	566230.40625	10.8	26.0	140.0	-220.0	18.0	261
2014-01-12_13:57:42_590226	577056.0	11.0	7.0	158.0	-217.0	18.24	261
2014-01-12_13:57:42_697564	587758.109375	11.2	-5.0	182.0	-219.0	16.66	262
2014-01-12_13:57:42_803743	598375.109375	11.4	20.0	148.0	-221.0	17.47	263
2014-01-12_13:57:42_910908	609091.796875	11.6	22.0	166.0	-242.0	17.81	264
2014-01-12_13:57:43_017027	619703.40625	11.8	3.0	134.0	-238.0	16.69	264
2014-01-12_13:57:43_124141	630415.40625	12.0	-21.0	178.0	-268.0	18.11	265
2014-01-12_13:57:43_230220	641021.796875	12.2	5.0	176.0	-242.0	17.97	266
2014-01-12_13:57:43_336927	651693.5	12.4	-14.0	115.0	-227.0	16.34	267
2014-01-12_13:57:43_443127	662313.203125	12.6	13.0	155.0	-248.0	18.48	267
2014-01-12_13:57:43_550166	673018.3125	12.8	2.0	126.0	-234.0	16.56	268
2014-01-12_13:57:43_658070	683861.390625	13.0	4.0	132.0	-242.0	17.89	269
2014-01-12_13:57:43_765998	694601.109375	13.2	56.0	227.0	-190.0	17.92	270
2014-01-12_13:57:43_872086	705209.015625	13.4	-2.0	247.0	-193.0	18.11	270
2014-01-12_13:57:43_978860	715886.796875	13.6	47.0	-50.0	-249.0	17.44	271
2014-01-12_13:57:44_084836	726484.109375	13.8	1.0	271.0	-185.0	14.09	272
2014-01-12_13:57:44_191895	737216.703125	14.0	34.0	34.0	-251.0	18.5	273
2014-01-12_13:57:44_298124	747820.109375	14.2	46.0	93.0	-237.0	15.94	273
2014-01-12_13:57:44_404986	758499.09375	14.4	7.0	159.0	-263.0	17.66	274
2014-01-12_13:57:44_511233	769123.1875	14.6	-18.0	202.0	-220.0	17.22	275
2014-01-12_13:57:44_617921	779793.71875	14.8	29.0	160.0	-256.0	16.27	276
2014-01-12_13:57:44_724948	790495.515625	15.0	36.0	180.0	-178.0	17.19	276
2014-01-12_13:57:44_832148	801241.015625	15.2	12.0	190.0	-184.0	16.47	277
2014-01-12_13:57:44_938553	811855.5	15.4	19.0	157.0	-206.0	17.68	278
2014-01-12_13:57:45_045589	822560.40625	15.6	4.0	179.0	-225.0	18.7	279
2014-01-12_13:57:45_151675	833167.8125	15.8	51.0	172.0	-264.0	16.56	280
2014-01-12_13:57:45_258727	843874.0	16.0	24.0	165.0	-297.0	15.3	280
2014-01-12_13:57:45_364880	854487.703125	16.2	11.0	141.0	-234.0	17.44	281
2014-01-12_13:57:45_471632	865164.890625	16.4	58.0	140.0	-274.0	15.13	282
2014-01-12_13:57:45_577762	875776.40625	16.6	0.0	198.0	-217.0	17.53	283
2014-01-12_13:57:45_684857	886559.796875	16.8	47.0	109.0	-271.0	18.7	283
2014-01-12_13:57:45_792080	897208.203125	17.0	2.0	143.0	-317.0	24.07	284
2014-01-12_13:57:45_898036	907803.515625	17.2	22.0	133.0	-221.0	17.27	285
2014-01-12_13:57:46_004325	918433.203125	17.4	-28.0	142.0	-230.0	16.51	286
2014-01-12_13:57:46_111821	929211.5	17.6	3.0	132.0	-194.0	28.94	286
2014-01-12_13:57:46_218322	939840.5	17.8	-9.0	171.0	-259.0	19.69	287
2014-01-12_13:57:46_325765	950579.09375	18.0	0.0	118.0	-204.0	16.23	288
2014-01-12_13:57:46_432724	961272.3125	18.2	7.0	98.0	-179.0	26.37	289
2014-01-12_13:57:46_539898	971991.296875	18.4	57.0	143.0	-271.0	17.99	289
2014-01-12_13:57:46_646018	982602.21875	18.6	38.0	128.0	-200.0	17.21	290
2014-01-12_13:57:46_753269	993328.5	18.8	47.0	95.0	-266.0	18.38	291
2014-01-12_13:57:46_859376	1003937.5	19.0	46.0	62.0	-284.0	17.41	292
2014-01-12_13:57:46_966538	1014654.296875	19.2	-10.0	109.0	-263.0	17.63	292
2014-01-12_13:57:47_072625	1025262.8125	19.4	-2.0	143.0	-330.0	17.21	293
2014-01-12_13:57:47_179688	1035969.890625	19.6	15.0	95.0	-222.0	17.82	294
2014-01-12_13:57:47_286922	1046694.609375	19.8	-5.0	146.0	-343.0	17.75	295
2014-01-12_13:57:47_393412	1057341.3125	20.0	1.0	135.0	-241.0	18.96	295
