datetime	reltime	speed	x	y	z	d	speed_real
2014-01-12_13:58:33_070114	1003.09375	0.2	12.0	162.0	-219.0	18.39	220
2014-01-12_13:58:33_178075	11729.09375	0.4	1.0	159.0	-223.0	17.39	221
2014-01-12_13:58:33_284176	22338.796875	0.6	6.0	162.0	-227.0	17.65	222
2014-01-12_13:58:33_391291	33051.484375	0.8	8.0	144.0	-225.0	17.64	223
2014-01-12_13:58:33_497503	43671.390625	1.0	5.0	143.0	-216.0	17.63	223
2014-01-12_13:58:33_604608	54382.484375	1.2	15.0	156.0	-231.0	17.72	224
2014-01-12_13:58:33_710722	64992.8125	1.4	10.0	149.0	-228.0	18.09	225
2014-01-12_13:58:33_817834	75705.09375	1.6	3.0	144.0	-236.0	17.56	226
2014-01-12_13:58:33_923881	86309.40625	1.8	4.0	90.0	-227.0	17.65	226
2014-01-12_13:58:34_030552	96976.796875	2.0	38.0	132.0	-228.0	17.51	227
2014-01-12_13:58:34_136698	107591.203125	2.2	19.0	160.0	-232.0	17.59	228
2014-01-12_13:58:34_243728	118294.59375	2.4	-6.0	140.0	-230.0	17.95	229
2014-01-12_13:58:34_349771	128898.1875	2.6	9.0	135.0	-225.0	17.49	229
2014-01-12_13:58:34_456951	139616.703125	2.8	21.0	143.0	-211.0	17.44	230
2014-01-12_13:58:34_563058	150226.5	3.0	31.0	147.0	-232.0	17.9	231
2014-01-12_13:58:34_670089	160931.078125	3.2	-1.0	150.0	-226.0	18.41	232
2014-01-12_13:58:34_776213	171542.90625	3.4	3.0	162.0	-230.0	17.53	232
2014-01-12_13:58:34_883014	182223.0	3.6	22.0	153.0	-224.0	17.97	233
2014-01-12_13:58:34_991700	193096.578125	3.8	16.0	144.0	-216.0	17.92	234
2014-01-12_13:58:35_098037	203728.0	4.0	-2.0	177.0	-238.0	18.21	235
2014-01-12_13:58:35_205234	214451.40625	4.2	36.0	121.0	-196.0	17.53	235
2014-01-12_13:58:35_311488	225069.90625	4.4	-1.0	187.0	-212.0	18.62	236
2014-01-12_13:58:35_418269	235757.796875	4.6	23.0	154.0	-212.0	18.0	237
2014-01-12_13:58:35_524608	246382.1875	4.8	13.0	180.0	-229.0	18.77	238
2014-01-12_13:58:35_631342	257089.6875	5.0	-6.0	145.0	-238.0	17.54	239
2014-01-12_13:58:35_738229	267744.578125	5.2	21.0	161.0	-212.0	17.8	239
2014-01-12_13:58:35_845181	278445.5	5.4	2.0	142.0	-221.0	17.83	240
2014-01-12_13:58:35_951309	289052.203125	5.6	17.0	152.0	-228.0	17.95	241
2014-01-12_13:58:36_058189	299740.6875	5.8	-9.0	135.0	-245.0	18.09	242
2014-01-12_13:58:36_164313	310352.078125	6.0	-16.0	154.0	-248.0	18.0	242
2014-01-12_13:58:36_271190	321070.09375	6.2	54.0	109.0	-204.0	18.55	243
2014-01-12_13:58:36_377702	331691.78125	6.4	-22.0	160.0	-242.0	17.73	244
2014-01-12_13:58:36_484553	342377.6875	6.6	48.0	125.0	-205.0	18.29	245
2014-01-12_13:58:36_591039	353025.390625	6.8	13.0	162.0	-220.0	18.04	245
2014-01-12_13:58:36_698228	363770.796875	7.0	10.0	160.0	-222.0	18.04	246
2014-01-12_13:58:36_804569	374378.203125	7.2	12.0	136.0	-214.0	17.14	247
2014-01-12_13:58:36_911428	385065.28125	7.4	41.0	163.0	-216.0	16.73	248
2014-01-12_13:58:37_017579	395679.59375	7.6	2.0	151.0	-226.0	17.65	248
2014-01-12_13:58:37_124579	406380.59375	7.8	14.0	151.0	-243.0	17.61	249
2014-01-12_13:58:37_230605	416981.28125	8.0	14.0	148.0	-231.0	17.32	250
2014-01-12_13:58:37_337520	427674.6875	8.2	3.0	149.0	-239.0	17.12	251
2014-01-12_13:58:37_443637	438284.703125	8.4	1.0	182.0	-223.0	17.25	251
2014-01-12_13:58:37_550443	448965.78125	8.6	8.0	168.0	-240.0	17.8	252
2014-01-12_13:58:37_657292	459650.984375	8.8	-3.0	171.0	-229.0	18.04	253
2014-01-12_13:58:37_763611	470282.5	9.0	7.0	145.0	-214.0	16.93	254
2014-01-12_13:58:37_870323	480953.90625	9.2	35.0	134.0	-219.0	16.83	254
2014-01-12_13:58:37_976513	491573.0	9.4	16.0	144.0	-232.0	17.58	255
2014-01-12_13:58:38_083343	502289.5	9.6	-4.0	134.0	-207.0	18.34	256
2014-01-12_13:58:38_189727	512894.09375	9.8	5.0	132.0	-230.0	17.12	257
2014-01-12_13:58:38_296591	523582.0	10.0	37.0	143.0	-212.0	16.56	258
2014-01-12_13:58:38_404339	534387.078125	10.2	-18.0	162.0	-218.0	17.7	258
2014-01-12_13:58:38_511702	545093.203125	10.4	5.0	133.0	-196.0	16.81	259
2014-01-12_13:58:38_617834	555704.40625	10.6	-12.0	189.0	-251.0	17.59	260
2014-01-12_13:58:38_724840	566406.703125	10.8	-3.0	164.0	-252.0	16.54	261
2014-01-12_13:58:38_830963	577017.296875	11.0	-15.0	130.0	-222.0	17.58	261
2014-01-12_13:58:38_937742	587696.0	11.2	15.0	152.0	-207.0	17.14	262
2014-01-12_13:58:39_043878	598309.796875	11.4	17.0	120.0	-226.0	17.88	263
2014-01-12_13:58:39_150583	609012.890625	11.6	19.0	204.0	-239.0	16.42	264
2014-01-12_13:58:39_257215	619642.6875	11.8	-1.0	107.0	-230.0	16.93	264
2014-01-12_13:58:39_363989	630377.5	12.0	5.0	168.0	-244.0	17.12	265
