datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_14:49:49_789431	1280.59375	10.0	12.0	161.0	-220.0	0.0	0	0	0	0	0
2014-01-12_14:49:49_809609	3227.109375	0.05	12.0	161.0	-217.0	0.0	161.0	-2.214784920688218e+16	-1.1703619506288384e-12	-137564280788088.08	0
2014-01-12_14:49:49_827271	4993.796875	0.05	15.0	159.0	-218.0	0.0	159.0	-4.402056985255836e+16	1.453865777154076e-14	-137564280790416.23	0
2014-01-12_14:49:49_845658	6836.203125	0.05	14.0	162.0	-219.0	0.0	162.0	-6.630598334091309e+16	-2.180798665701042e-14	-137564280792313.16	0
2014-01-12_14:49:49_863510	8621.3125	0.05	17.0	151.0	-214.0	0.0	151.0	-8.707818974081642e+16	7.996261774135513e-14	-137564280794061.73	0
2014-01-12_14:49:49_881361	10402.890625	0.05	11.0	160.0	-225.0	0.0	160.0	-1.0908847466815987e+17	-6.542395996932701e-14	-137564280795896.61	0
2014-01-12_14:49:49_899033	12170.09375	0.05	14.0	156.0	-218.0	0.0	156.0	-1.305485024725967e+17	2.907731554154785e-14	-137564280797671.98	0
2014-01-12_14:49:49_916897	13955.8125	0.05	5.0	159.0	-209.0	0.0	159.0	-1.5242122311970384e+17	-2.180798665588441e-14	-137564280799416.0	0
2014-01-12_14:49:49_934488	15715.3125	0.05	14.0	164.0	-221.0	0.0	164.0	-1.7498176517109523e+17	-3.634664442601135e-14	-137564280801167.08	0
2014-01-12_14:49:49_952091	17476.015625	0.05	25.0	180.0	-207.0	0.0	180.0	-1.9974333571562307e+17	-1.1630926216174373e-13	-137564280802932.45	0
2014-01-12_14:49:49_969806	19246.90625	0.05	8.0	166.0	-224.0	0.0	166.0	-2.2257900632919933e+17	1.0177060439023569e-13	-137564280804676.25	0
2014-01-12_14:49:49_987606	21027.703125	0.05	-6.0	173.0	-223.0	0.0	173.0	-2.4637762690871014e+17	-5.088530219447248e-14	-137564280806420.94	0
2014-01-12_14:49:50_005227	22797.515625	0.05	7.0	163.0	-230.0	0.0	163.0	-2.688006046804421e+17	7.269328884832135e-14	-137564280808171.52	0
2014-01-12_14:49:50_023048	24571.390625	0.05	6.0	167.0	-214.0	0.0	167.0	-2.9177383957570157e+17	-2.907731553895539e-14	-137564280809936.84	0
2014-01-12_14:49:50_040749	26341.796875	0.05	16.0	154.0	-228.0	0.0	154.0	-3.129587388207014e+17	9.450127550040274e-14	-137564280811687.02	0
2014-01-12_14:49:50_058770	28143.90625	0.05	6.0	171.0	-222.0	0.0	171.0	-3.3648223083979994e+17	-1.2357859103741172e-13	-137564280813441.89	0
