datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real
2014-02-01_13:45:29_725088	174810.78125	0.05	42.0	156.0	-219.0	0	0	0	0	0	0	0	0	0	15.45	220
2014-02-01_13:45:29_806472	182888.796875	0.1	44.0	155.0	-220.0	0	0	0	0	0	0	1.5750894616885827	-34.46596795391328	4.181937953807977	15.01	220
2014-02-01_13:45:29_886968	190942.59375	0.15	23.0	132.0	-217.0	0	0	0	0	0	0	1.5206170570764808	-34.547149161961585	4.093780402681167	15.98	220
2014-02-01_13:45:29_967781	199020.6875	0.2	23.0	160.0	-193.0	0	0	0	0	0	0	1.46870270905286	-34.63481267442216	4.012211005353331	15.77	220
2014-02-01_13:45:30_048115	207053.296875	0.25	43.0	157.0	-231.0	0	0	0	0	0	0	1.4218099409472578	-34.71628532103697	3.9220861567169796	15.93	220
2014-02-01_13:45:30_128909	215133.28125	0.3	83.0	171.0	-235.0	0	0	0	0	0	0	1.3634896973559845	-34.796784781099724	3.849545637099538	15.54	221
2014-02-01_13:45:30_209706	223274.296875	0.35	48.0	168.0	-221.0	0	0	0	0	0	0	1.3076731672676243	-34.87127162236621	3.7617676400844107	15.45	221
2014-02-01_13:45:30_290768	231347.390625	0.4	38.0	137.0	-252.0	0	0	0	0	0	0	1.265124953628787	-34.95236163712458	3.685142367482092	15.94	221
2014-02-01_13:45:30_373752	239616.890625	0.45	49.0	155.0	-221.0	0	0	0	0	0	0	1.1979346759008331	-35.03258331878761	3.6148982303752977	15.76	221
2014-02-01_13:45:30_454364	247678.5	0.5	49.0	170.0	-200.0	0	0	0	0	0	0	1.152085245445494	-35.10716991937692	3.5318423981830964	15.21	221
2014-02-01_13:45:30_535261	255768.203125	0.55	21.0	152.0	-206.0	0	0	0	0	0	0	1.0951269231299157	-35.187517492498664	3.466278257114802	16.01	222
2014-02-01_13:45:30_616084	263882.390625	0.6	17.0	145.0	-236.0	0	0	0	0	0	0	1.0347799070849675	-35.25926711750905	3.394049197660308	15.47	222
2014-02-01_13:45:30_697069	271948.890625	0.65	29.0	151.0	-215.0	0	0	0	0	0	0	0.98477554513335	-35.31991624236276	3.3268152434597607	15.02	222
2014-02-01_13:45:30_777908	280032.796875	0.7	24.0	147.0	-200.0	0	0	0	0	0	0	0.9237805090870934	-35.3850105984367	3.254807850409596	20.18	222
2014-02-01_13:45:30_858823	288124.390625	0.75	72.0	161.0	-194.0	0	0	0	0	0	0	0.8654721789181768	-35.45206796243053	3.189689746311802	15.56	222
2014-02-01_13:45:30_963866	298628.40625	0.8	56.0	163.0	-244.0	0	0	0	0	0	0	-0.7446567275169435	-36.755677883745484	1.8642010932874185	15.64	223
2014-02-01_13:45:31_044654	306739.5	0.85	69.0	172.0	-201.0	0	0	0	0	0	0	-0.8049899959913405	-36.8001511917271	1.8290230385194273	15.56	223
2014-02-01_13:45:31_125678	314842.703125	0.9	50.0	167.0	-235.0	0	0	0	0	0	0	-0.8736769419697338	-36.835629857501246	1.795968670037278	15.45	223
2014-02-01_13:45:31_206506	322892.5	0.95	-16.0	152.0	-237.0	0	0	0	0	0	0	-0.9316525585943803	-36.8667052517926	1.7674795532076668	15.77	223
2014-02-01_13:45:31_286941	330943.484375	1.0	110.0	183.0	-216.0	0	0	0	0	0	0	-0.9922729884583013	-36.911222894556865	1.732403323332775	14.69	223
2014-02-01_13:45:31_368112	339052.484375	1.05	-18.0	134.0	-231.0	0	0	0	0	0	0	-1.0531025737328437	-36.93364846365774	1.6972015250468269	15.9	223
2014-02-01_13:45:31_449186	347160.390625	1.1	-4.0	152.0	-264.0	0	0	0	0	0	0	-1.1194072225854168	-36.96239190260675	1.670887048078163	16.25	224
2014-02-01_13:45:31_530186	355261.078125	1.15	-15.0	143.0	-215.0	0	0	0	0	0	0	-1.1802480115561604	-36.991476536678945	1.635748848513427	15.05	224
2014-02-01_13:45:31_610734	363314.609375	1.2	12.0	160.0	-220.0	0	0	0	0	0	0	-1.2469174802213883	-37.022466036460855	1.609599881107143	15.56	224
2014-02-01_13:45:31_691146	371356.109375	1.25	67.0	118.0	-222.0	0	0	0	0	0	0	-1.3023970247963792	-37.0446149417058	1.587744515284224	15.9	224
2014-02-01_13:45:31_772388	379481.5	1.3	78.0	152.0	-208.0	0	0	0	0	0	0	-1.36893665832812	-37.073414867001134	1.5615309726603204	15.52	224
2014-02-01_13:45:31_853227	387565.203125	1.35	-33.0	171.0	-194.0	0	0	0	0	0	0	-1.4358282788383911	-37.10445116179802	1.5354556274267157	15.94	225
2014-02-01_13:45:31_933711	395613.375	1.4	43.0	223.0	-209.0	0	0	0	0	0	0	-1.4941782391987928	-37.13343561441097	1.507069167685968	16.05	225
2014-02-01_13:45:32_014144	403656.6875	1.45	46.0	184.0	-232.0	0	0	0	0	0	0	-1.555460026636064	-37.15597689250497	1.472034945541064	15.45	225
2014-02-01_13:45:32_094952	411746.0	1.5	101.0	154.0	-233.0	0	0	0	0	0	0	-1.6195022728910262	-37.17803416234657	1.4525057174647342	15.45	225
2014-02-01_13:45:32_196239	421915.890625	1.55	19.0	95.0	-226.0	0	0	0	0	0	0	-3.3551282300288094	-37.68918170942879	0.9505945178252897	15.45	225
2014-02-01_13:45:32_277198	429962.390625	1.6	69.0	105.0	-243.0	0	0	0	0	0	0	-3.4194760116369527	-37.696083210932976	0.9311890339027156	15.86	226
2014-02-01_13:45:32_359196	438197.296875	1.65	88.0	145.0	-210.0	0	0	0	0	0	0	-3.481757676691208	-37.69841524344884	0.918374085950817	27.5	226
2014-02-01_13:45:32_440326	446274.59375	1.7	55.0	133.0	-253.0	0	0	0	0	0	0	-3.5487550656846403	-37.71136868107363	0.9146160179082712	15.45	226
2014-02-01_13:45:32_520807	454335.40625	1.75	61.0	153.0	-196.0	0	0	0	0	0	0	-3.6147622209634918	-37.73604694119258	0.8957417108568568	15.4	226
2014-02-01_13:45:32_601556	462397.59375	1.8	38.0	116.0	-232.0	0	0	0	0	0	0	-3.6716470265293517	-37.75861403413191	0.8745178584436181	15.94	226
2014-02-01_13:45:32_682491	470516.203125	1.85	80.0	147.0	-230.0	0	0	0	0	0	0	-3.738667410242689	-37.75835961654975	0.8704994052744252	15.02	227
2014-02-01_13:45:32_764051	478680.390625	1.9	73.0	148.0	-235.0	0	0	0	0	0	0	-3.8056886249109745	-37.764722255510584	0.8666373718916375	15.83	227
2014-02-01_13:45:32_845003	486742.0	1.95	37.0	170.0	-200.0	0	0	0	0	0	0	-3.8681094663783595	-37.780334375704044	0.8541735584376936	16.06	227
2014-02-01_13:45:32_925418	494783.6875	2.0	91.0	197.0	-214.0	0	0	0	0	0	0	-3.9343344316976196	-37.80506822484077	0.8353802571244681	15.45	227
2014-02-01_13:45:33_006168	502865.59375	2.05	90.0	175.0	-203.0	0	0	0	0	0	0	-3.9930167172511783	-37.804972075463326	0.8291190861252805	15.86	227
2014-02-01_13:45:33_087199	510968.1875	2.1	35.0	136.0	-208.0	0	0	0	0	0	0	-4.060078408489274	-37.81796883712151	0.8254595366036056	15.88	227
2014-02-01_13:45:33_167706	519012.6875	2.15	-19.0	128.0	-222.0	0	0	0	0	0	0	-4.131889707464402	-37.83574084909052	0.8154219336881193	15.69	228
2014-02-01_13:45:33_248700	527138.90625	2.2	2.0	146.0	-210.0	0	0	0	0	0	0	-4.187945488536627	-37.83628944664912	0.793679194783286	25.47	228
2014-02-01_13:45:33_329313	535173.796875	2.25	-17.0	134.0	-225.0	0	0	0	0	0	0	-3.6785482145348634	-37.85131389059195	0.6334786515711642	15.05	228
2014-02-01_13:45:33_427166	544958.296875	2.3	73.0	191.0	-263.0	0	0	0	0	0	0	-6.005259824052178	-38.067048744380074	0.5963714513719096	25.14	228
2014-02-01_13:45:33_507984	553070.6875	2.35	24.0	123.0	-219.0	0	0	0	0	0	0	-6.068262790270884	-38.082915183134524	0.5842685175810142	16.8	228
2014-02-01_13:45:33_589315	561173.984375	2.4	7.0	174.0	-215.0	0	0	0	0	0	0	-6.135174131849243	-38.08283811585686	0.580400258427404	15.03	229
2014-02-01_13:45:33_669504	569191.78125	2.45	16.0	143.0	-208.0	0	0	0	0	0	0	-6.195176085191213	-38.08519023592509	0.574383840340952	14.79	229
2014-02-01_13:45:33_749941	577275.484375	2.5	5.0	133.0	-244.0	0	0	0	0	0	0	-6.258299703155349	-38.10768157707405	0.5625817886155962	16.32	229
2014-02-01_13:45:33_831032	585387.703125	2.55	-6.0	137.0	-217.0	0	0	0	0	0	0	-6.327717652309465	-38.10021078975071	0.5739394026996769	15.4	229
2014-02-01_13:45:33_913171	593560.0	2.6	1.0	127.0	-189.0	0	0	0	0	0	0	-6.390692068249255	-38.10950665466996	0.5616062432272756	21.76	229
2014-02-01_13:45:33_993979	601639.890625	2.65	69.0	176.0	-227.0	0	0	0	0	0	0	-6.449322942767314	-38.11620005303796	0.555752320769233	15.88	230
2014-02-01_13:45:34_074471	609689.09375	2.7	21.0	117.0	-232.0	0	0	0	0	0	0	-6.516088295237486	-38.10954170955571	0.5516147989603499	15.9	230
2014-02-01_13:45:34_155764	617818.59375	2.75	-23.0	131.0	-217.0	0	0	0	0	0	0	-6.577927922018869	-38.13400631548411	0.5466120905889172	15.61	230
2014-02-01_13:45:34_236231	625864.6875	2.8	88.0	171.0	-194.0	0	0	0	0	0	0	-6.64468594216593	-38.127355028594586	0.5424768361241876	15.52	230
2014-02-01_13:45:34_317129	633955.0	2.85	5.0	131.0	-243.0	0	0	0	0	0	0	-6.711513799076874	-38.12730930334136	0.5386294376948553	16.03	230
2014-02-01_13:45:34_398393	642081.5	2.9	-4.0	152.0	-172.0	0	0	0	0	0	0	-6.771766991230577	-38.14290358506482	0.5332321244912932	23.73	231
2014-02-01_13:45:34_478902	650131.796875	2.95	50.0	207.0	-203.0	0	0	0	0	0	0	-6.840165242932199	-38.14514515488425	0.5295299827474087	15.84	231
2014-02-01_13:45:34_559685	658210.390625	3.0	62.0	144.0	-221.0	0	0	0	0	0	0	-6.904112122604149	-38.14475860680212	0.5322943753225282	15.02	231
2014-02-01_13:45:34_658163	668087.296875	3.05	22.0	145.0	-196.0	0	0	0	0	0	0	-8.639979940007095	-38.24086004212105	0.46931979277623825	15.9	231
2014-02-01_13:45:34_739196	676161.1875	3.1	42.0	173.0	-213.0	0	0	0	0	0	0	-8.708889741871312	-38.25782584969109	0.4443849319791461	15.37	231
2014-02-01_13:45:34_820029	684251.59375	3.15	46.0	176.0	-204.0	0	0	0	0	0	0	-8.761206193307185	-38.25059599962823	0.4511179154042593	14.85	231
2014-02-01_13:45:34_900590	692300.703125	3.2	37.0	128.0	-223.0	0	0	0	0	0	0	-8.829762284155438	-38.259518685185064	0.44788551013873484	16.14	232
2014-02-01_13:45:34_981298	700372.390625	3.25	38.0	155.0	-164.0	0	0	0	0	0	0	-8.898181958306923	-38.261850705790515	0.4442666637251727	16.05	232
2014-02-01_13:45:35_062099	708453.390625	3.3	67.0	148.0	-239.0	0	0	0	0	0	0	-8.964133059084084	-38.27183378856444	0.42556852503484593	15.23	232
2014-02-01_13:45:35_142749	716517.90625	3.35	-1.0	122.0	-206.0	0	0	0	0	0	0	-9.027634393750724	-38.271453163524534	0.4283859197966688	15.91	232
2014-02-01_13:45:35_223821	724624.390625	3.4	79.0	149.0	-250.0	0	0	0	0	0	0	-9.090963229002188	-38.264477036789366	0.43079912252352043	15.23	232
2014-02-01_13:45:35_304454	732716.984375	3.45	17.0	161.0	-239.0	0	0	0	0	0	0	-9.154225824132261	-38.28063537759743	0.4191176498933806	15.52	233
2014-02-01_13:45:35_385251	740770.890625	3.5	-7.0	136.0	-225.0	0	0	0	0	0	0	-9.219965907773174	-38.289132493978926	0.42251750718723596	16.4	233
2014-02-01_13:45:35_465935	748836.6875	3.55	57.0	141.0	-209.0	0	0	0	0	0	0	-9.283094711523647	-38.29871105869951	0.4104479624214746	14.94	233
2014-02-01_13:45:35_546853	756959.796875	3.6	17.0	145.0	-204.0	0	0	0	0	0	0	-9.343392077021937	-38.28469383951577	0.41904028751816114	15.43	233
2014-02-01_13:45:35_628094	765051.484375	3.65	21.0	123.0	-197.0	0	0	0	0	0	0	-9.411950295763146	-38.2936431937534	0.41585881689949206	14.94	233
2014-02-01_13:45:35_709621	773204.296875	3.7	26.0	102.0	-162.0	0	0	0	0	0	0	-9.472871896893203	-38.30095240180997	0.4036308878589673	24.72	234
2014-02-01_13:45:35_790330	781304.90625	3.75	48.0	173.0	-243.0	0	0	0	0	0	0	-9.546620640095693	-38.31925042547445	0.3944694263451402	15.81	234
2014-02-01_13:45:35_889744	791216.484375	3.8	22.0	148.0	-225.0	0	0	0	0	0	0	-11.244725611936278	-38.148882764628134	0.5586807177683835	14.7	234
2014-02-01_13:45:35_970333	799275.890625	3.85	57.0	165.0	-260.0	0	0	0	0	0	0	-11.321310329560914	-38.16417303537157	0.5583364058138195	15.11	234
2014-02-01_13:45:36_051773	807420.484375	3.9	67.0	182.0	-257.0	0	0	0	0	0	0	-11.386890757851496	-38.17444618030058	0.5397651013899067	14.49	234
2014-02-01_13:45:36_132785	815519.1875	3.95	46.0	155.0	-185.0	0	0	0	0	0	0	-11.444207618500844	-38.18305736434106	0.5409721766363372	24.99	235
2014-02-01_13:45:36_213252	823567.296875	4.0	47.0	127.0	-195.0	0	0	0	0	0	0	-11.509408653328649	-38.17655205322032	0.5366376973292674	15.03	235
2014-02-01_13:45:36_293589	831660.984375	4.05	-5.0	149.0	-208.0	0	0	0	0	0	0	-11.577623417540691	-38.185497612579645	0.5335417775196958	14.57	235
2014-02-01_13:45:36_374677	839710.59375	4.1	85.0	164.0	-253.0	0	0	0	0	0	0	-11.637492053797596	-38.18809106223687	0.5276569172200313	14.92	235
2014-02-01_13:45:36_455888	847831.296875	4.15	-6.0	151.0	-204.0	0	0	0	0	0	0	-11.705512602661953	-38.19045836591695	0.5240522893004151	16.01	235
2014-02-01_13:45:36_536498	855924.796875	4.2	-7.0	148.0	-209.0	0	0	0	0	0	0	-11.770805845442041	-38.19055214992142	0.5202344693041671	15.89	235
2014-02-01_13:45:36_617610	864003.484375	4.25	41.0	152.0	-221.0	0	0	0	0	0	0	-11.825248407289392	-38.19396322216921	0.5054878605599017	16.25	236
2014-02-01_13:45:36_698443	872085.59375	4.3	46.0	120.0	-207.0	0	0	0	0	0	0	-11.899228774359962	-38.21528746042023	0.5123475858792588	16.44	236
2014-02-01_13:45:36_779941	880244.484375	4.35	68.0	161.0	-249.0	0	0	0	0	0	0	-11.958877875321345	-38.21131792374641	0.5059464696449565	14.98	236
2014-02-01_13:45:36_861033	888345.6875	4.4	45.0	127.0	-234.0	0	0	0	0	0	0	-12.027059309530628	-38.22028602465661	0.5028940520921481	14.99	236
2014-02-01_13:45:36_942197	896462.296875	4.45	40.0	132.0	-178.0	0	0	0	0	0	0	-12.092041977575226	-38.213812793098896	0.4985511379509572	14.98	236
2014-02-01_13:45:37_022534	904495.59375	4.5	88.0	183.0	-248.0	0	0	0	0	0	0	-12.152063384353687	-38.22302201795568	0.4932285556818024	15.18	237
2014-02-01_13:45:37_121608	914429.0	4.55	21.0	172.0	-210.0	0	0	0	0	0	0	-13.880525633340039	-38.27797775504242	0.4552752053405285	16.0	237
2014-02-01_13:45:37_202484	922490.5	4.6	56.0	170.0	-231.0	0	0	0	0	0	0	-13.94888656567939	-38.290876020192876	0.43718280789593966	15.89	237
2014-02-01_13:45:37_284136	930655.59375	4.65	24.0	166.0	-261.0	0	0	0	0	0	0	-14.010827178935363	-38.29696524028621	0.4406222272957565	16.15	237
2014-02-01_13:45:37_364760	938718.296875	4.7	64.0	176.0	-225.0	0	0	0	0	0	0	-14.075731680392028	-38.29875737611963	0.4436831551373113	16.18	237
2014-02-01_13:45:37_444823	946724.296875	4.75	34.0	158.0	-244.0	0	0	0	0	0	0	-14.135259887983482	-38.30148339177754	0.43788778628233904	15.42	238
2014-02-01_13:45:37_525454	954814.09375	4.8	30.0	125.0	-202.0	0	0	0	0	0	0	-14.19930741756604	-38.29509897467086	0.433489442534447	15.22	238
2014-02-01_13:45:37_610212	963264.203125	4.85	71.0	191.0	-213.0	0	0	0	0	0	0	-14.266836273453817	-38.29756998060028	0.42997562382267357	15.69	238
2014-02-01_13:45:37_691062	971347.78125	4.9	72.0	178.0	-203.0	0	0	0	0	0	0	-14.33168515766437	-38.29936187550951	0.43303993879737196	15.01	238
2014-02-01_13:45:37_771989	979441.40625	4.95	49.0	114.0	-221.0	0	0	0	0	0	0	-14.391408400997726	-38.30867347668798	0.42789530702295475	15.79	238
2014-02-01_13:45:37_852417	987483.6875	5.0	-23.0	151.0	-242.0	0	0	0	0	0	0	-14.46044173568402	-38.29477526865349	0.43169574804464883	15.01	238
2014-02-01_13:45:37_933200	995562.59375	5.05	61.0	161.0	-209.0	0	0	0	0	0	0	-14.51988221819249	-38.29752077920247	0.42590576722980056	15.71	239
2014-02-01_13:45:38_014182	1003660.703125	5.1	67.0	179.0	-208.0	0	0	0	0	0	0	-14.587331304152675	-38.30000286977231	0.4223983576747483	15.06	239
2014-02-01_13:45:38_094858	1011790.984375	5.15	27.0	141.0	-206.0	0	0	0	0	0	0	-14.647257556963872	-38.31589763905959	0.4179284226845203	16.0	239
2014-02-01_13:45:38_175989	1019841.0	5.2	35.0	178.0	-181.0	0	0	0	0	0	0	-14.705489751528699	-38.30156913819803	0.4260015195076987	14.93	239
2014-02-01_13:45:38_256368	1027878.78125	5.25	36.0	176.0	-266.0	0	0	0	0	0	0	56.541730256489835	-24.23768512918206	-19.478667752585483	15.35	239
2014-02-01_13:45:38_352822	1037525.296875	5.3	27.0	116.0	-212.0	0	0	0	0	0	0	-16.471179906309562	-38.33936629490085	0.3795796472521178	16.44	240
2014-02-01_13:45:38_433675	1045610.59375	5.35	86.0	145.0	-201.0	0	0	0	0	0	0	-16.531907325836496	-38.35682955714513	0.3821842405533773	14.75	240
2014-02-01_13:45:38_514881	1053730.609375	5.4	23.0	122.0	-233.0	0	0	0	0	0	0	-16.600009303414968	-38.349461095324685	0.38654974387571744	16.37	240
2014-02-01_13:45:38_595804	1061851.0	5.45	37.0	148.0	-266.0	0	0	0	0	0	0	-16.663674503952983	-38.33810517891806	0.3881634328738185	23.91	240
2014-02-01_13:45:38_677683	1070010.09375	5.5	10.0	153.0	-206.0	0	0	0	0	0	0	-16.72030101216783	-38.34672458345194	0.3897503917015095	25.02	240
2014-02-01_13:45:38_758468	1078090.5	5.55	-1.0	123.0	-157.0	0	0	0	0	0	0	-16.785422446672804	-38.33199496014649	0.39990678279424585	15.96	241
2014-02-01_13:45:38_839326	1086175.078125	5.6	7.0	150.0	-168.0	0	0	0	0	0	0	-16.84714856346493	-38.342198583453474	0.3883737017664284	15.64	241
2014-02-01_13:45:38_920179	1094260.40625	5.65	64.0	142.0	-233.0	0	0	0	0	0	0	-16.91072581820805	-38.330838675220576	0.38996434553616144	15.03	241
2014-02-01_13:45:39_001194	1102361.609375	5.7	67.0	183.0	-269.0	0	0	0	0	0	0	-16.980886494505278	-38.35386797441078	0.3822500481337538	25.5	241
2014-02-01_13:45:39_081729	1110415.5	5.75	58.0	179.0	-239.0	0	0	0	0	0	0	-17.03654656659155	-38.34281409479281	0.38155659351394866	15.56	241
2014-02-01_13:45:39_162702	1118568.984375	5.8	46.0	171.0	-216.0	0	0	0	0	0	0	-17.103516268152774	-38.35193309675374	0.3788858353880854	15.5	242
2014-02-01_13:45:39_243662	1126607.703125	5.85	32.0	136.0	-153.0	0	0	0	0	0	0	-17.165952357607168	-38.34566414715731	0.3743804281493662	14.96	242
2014-02-01_13:45:39_325661	1134835.09375	5.9	19.0	190.0	-251.0	0	0	0	0	0	0	-17.22215217124126	-38.34772679784075	0.3752236039119747	16.46	242
2014-02-01_13:45:39_406375	1142879.703125	5.95	59.0	166.0	-194.0	0	0	0	0	0	0	-17.294056970579778	-38.3491737925964	0.3806250557488694	16.27	242
2014-02-01_13:45:39_487260	1150967.78125	6.0	33.0	151.0	-287.0	0	0	0	0	0	0	32.48384931085987	-33.972443609370615	-13.344021665103774	15.47	242
2014-02-01_13:45:39_584332	1160702.984375	6.05	88.0	153.0	-219.0	0	0	0	0	0	0	-19.050229269845342	-38.355144815520056	0.38482813129288673	16.0	242
2014-02-01_13:45:39_665256	1168768.09375	6.1	37.0	143.0	-163.0	0	0	0	0	0	0	-19.109034496499106	-38.37117985681183	0.38088275541435507	16.1	243
2014-02-01_13:45:39_746188	1176860.78125	6.15	2.0	182.0	-249.0	0	0	0	0	0	0	-19.177029232170025	-38.35856037939763	0.39112802968735955	14.5	243
