datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	x2	mpu_y	y2	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real	
2014-02-01_17:09:17_624064	2340.40625	0.1	39	149	-206	-0.5361328125	-26.806640625	0.0778808594	3.8940429688	0.796875	-3.4045801527	3.0076335878	-0.4961832061	0	0	0	25.26	220	50
2014-02-01_17:09:17_737821	13669.796875	0.2	30	163	-221	-0.5581054688	-27.9052734375	0.0319824219	1.5991210938	0.8159179688	-3.1755725191	3.0076335878	-0.6183206107	0	0	0	24.94	220	
2014-02-01_17:09:17_852848	25145.59375	0.3	42	162	-219	-0.5395507813	-26.9775390625	0.1127929688	5.6396484375	0.8349609375	-3.4809160305	3.2977099237	-0.2290076336	0	0	0	25.18	221	
2014-02-01_17:09:17_965916	36451.5	0.4	51	144	-210	-0.5021972656	-25.1098632813	0.0139160156	0.6958007813	0.8371582031	-4.4122137405	2.3053435115	-0.6183206107	0	0	0	24.87	221	
2014-02-01_17:09:18_079519	47812.5	0.5	37	159	-190	-0.5546875	-27.734375	0.1252441406	6.2622070313	0.8610839844	-3.0229007634	4.4961832061	-0.7404580153	0	0	0	26.88	221	
2014-02-01_17:09:18_192277	59087.796875	0.6	66	174	-257	-0.5405273438	-27.0263671875	-0.0192871094	-0.9643554688	0.8562011719	-2.5572519084	2.572519084	-0.2900763359	0	0	0	24.72	222	
2014-02-01_17:09:18_305799	70440.71875	0.7	27	134	-180	-0.5615234375	-28.076171875	-0.0498046875	-2.490234375	0.9020996094	-3.106870229	1.8702290076	-0.3435114504	0	0	0	25.16	222	
2014-02-01_17:09:18_418680	81727.71875	0.8	25	143	-210	-0.4987792969	-24.9389648438	0.1413574219	7.0678710938	0.7551269531	-0.786259542	3.7251908397	-0.213740458	0	0	0	24.65	223	
2014-02-01_17:09:18_532494	93110.703125	0.9	35	131	-217	-0.4838867188	-24.1943359375	0.0739746094	3.6987304688	0.9489746094	-3.2977099237	3.1450381679	0.106870229	0	0	0	24.81	223	
2014-02-01_17:09:18_645200	104380.3125	1	24	141	-225	-0.4790039063	-23.9501953125	0.0822753906	4.1137695313	0.7924804688	-2.7328244275	3.0839694656	0.5114503817	0	0	0	25.13	223	
