datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:34:56_498583	303304.890625	18.0	50.0	105.0	-155.0	-3.7480916030534353	-0.07633587786259542	-0.6793893129770993	-0.185546875	0.2705078125	0.87158203125	0.0	0.0	0.0	0	0	0	0	0	0.01	1e-05	0.01	0	0
2014-02-01_23:34:56_566255	310024.28125	18.08	22.0	75.0	-174.0	-5.702290076335878	-1.465648854961832	-0.9389312977099237	-0.4871826171875	0.007568359375	1.1480712890625	0.0	0.0	-8.73	-0.544965194982795	-0.019014835833314554	0.544965194982795	0.03785818393710435	7.844725574687759	0.01	1e-05	0.01	0.069468994140625	0.08389728627854491
2014-02-01_23:34:56_633288	316750.390625	18.25	-8.0	60.0	-234.0	-7.267175572519084	1.5648854961832062	0.3053435114503817	-0.75732421875	-0.314208984375	1.114990234375	0.0	0.0	-6.95	-1.5235521707310025	-0.0531595314281578	1.5235521707310025	0.14005967042117007	14.588127457252979	0.01	1e-05	0.01	0.0670810546875	0.16111819687654402
2014-02-01_23:34:56_700039	323425.203125	18.28	37.0	21.0	-240.0	-0.9618320610687023	0.0916030534351145	0.007633587786259542	-0.2808837890625	0.1229248046875	1.1861572265625	0.0	0.0	-2.41	-1.6320081621260578	-0.05694376001835512	1.6320081621260578	0.24937473276115565	1.619182749379084	0.01	1e-05	0.01	0.06698193359375	0.03251440286237903
2014-02-01_23:34:56_767357	330134.078125	18.86	143.0	224.0	-354.0	-4.122137404580153	2.3053435114503817	-1.366412213740458	-0.250732421875	0.4466552734375	0.1253662109375	0.0	0.0	-31.83	-5.147094897701605	-0.1795915874983114	5.147094897701605	0.5922031709682001	52.77416627477353	0.01	1e-05	0.01	0.066606201171875	0.579218533756461
2014-02-01_23:34:56_834222	336846.90625	18.93	4.0	70.0	-189.0	-2.4427480916030535	-0.816793893129771	-1.5267175572519085	-0.3560791015625	-0.0123291015625	0.283447265625	0.0	0.0	-8.13	-5.268772762878645	-0.18383715153100647	5.268772762878645	0.9462490075116462	1.8107627762241434	0.01	1e-05	0.01	0.067197021484375	0.070804817881103
2014-02-01_23:34:56_901132	343511.890625	19.42	131.0	208.0	-319.0	-4.450381679389313	2.068702290076336	0.5114503816793893	-0.7667236328125	-0.2021484375	1.31884765625	0.0	0.0	-28.16	-8.003352066137458	-0.27925164222391685	8.003352066137458	1.4802402386646345	40.985318933978675	0.01	1e-05	0.01	0.066720947265625	0.48990151240354796
2014-02-01_23:34:56_968113	350209.6875	19.72	-68.0	90.0	-50.0	-6.213740458015267	5.190839694656488	1.2061068702290076	-0.3382568359375	0.251953125	1.3779296875	0.0	0.0	-10.55	-9.37448607495395	-0.32709302424821873	9.37448607495395	2.1053417727730017	20.562542197053197	0.01	1e-05	0.01	0.06668115234375	0.2993913361377992
2014-02-01_23:34:57_035350	356933.78125	19.88	68.0	93.0	-240.0	-4.305343511450381	1.366412213740458	-1.5419847328244274	-0.0523681640625	0.3741455078125	0.1014404296875	0.0	0.0	-10.92	-9.823925252171524	-0.3427747820017978	9.823925252171524	2.7619761984783278	6.724071583119105	0.01	1e-05	0.01	0.06684033203125	0.16550758811489108
2014-02-01_23:34:57_101723	363571.09375	19.94	-51.0	92.0	-106.0	-4.847328244274809	-1.5267175572519085	-0.6335877862595419	-0.720947265625	-0.082275390625	1.2755126953125	0.0	0.0	-10.8	-9.592004484236469	-0.33468264076191445	9.592004484236469	3.4042353678733983	-3.463687483225653	0.01	1e-05	0.01	0.066957763671875	0.06131721236378689
