datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real
2014-03-01_13:55:55_759317	1950.296875	0.1	0.0	0.0	0.0	0.0	0.093505859375	0.826171875	0.0	0.0	0.0	0	0	0	0.0	220
2014-03-01_13:55:55_821258	8133.796875	0.2	39.0	162.0	-220.0	-0.560302734375	0.09228515625	0.822021484375	-3.4427480916030535	2.7709923664122136	-0.6717557251908397	0	0	0	0.0	220
2014-03-01_13:55:55_882632	14264.796875	0.3	37.0	161.0	-218.0	-0.56591796875	0.091064453125	0.82666015625	-3.2519083969465647	2.900763358778626	-0.6717557251908397	0	0	0	0.0	221
2014-03-01_13:55:55_943848	20386.203125	0.4	40.0	162.0	-222.0	-0.56494140625	0.094482421875	0.81494140625	-3.4885496183206106	2.9389312977099236	-0.8854961832061069	0	0	0	0.0	221
2014-03-01_13:55:56_005047	26505.59375	0.5	41.0	160.0	-221.0	-0.56494140625	0.090087890625	0.8251953125	-3.50381679389313	2.9083969465648853	-0.5038167938931297	0	0	0	0.0	221
2014-03-01_13:55:56_065901	32590.984375	0.6	41.0	160.0	-223.0	-0.566650390625	0.08935546875	0.817138671875	-3.4427480916030535	2.786259541984733	-0.6412213740458015	0	0	0	0.0	222
2014-03-01_13:55:56_127401	38741.296875	0.7	39.0	163.0	-220.0	-0.562255859375	0.10400390625	0.836181640625	-3.3435114503816794	2.9160305343511452	-0.6412213740458015	0	0	0	0.0	222
2014-03-01_13:55:56_188529	44861.390625	0.8	40.0	161.0	-223.0	-0.56591796875	0.08740234375	0.82373046875	-3.435114503816794	2.7938931297709924	-0.6106870229007634	0	0	0	0.0	223
2014-03-01_13:55:56_249815	50982.40625	0.9	38.0	162.0	-221.0	-0.54931640625	0.086669921875	0.818359375	-3.3435114503816794	2.732824427480916	-0.6412213740458015	0	0	0	0.0	223
2014-03-01_13:55:56_311088	57110.09375	1.0	42.0	161.0	-219.0	-0.548095703125	0.091796875	0.820556640625	-3.3587786259541983	2.7480916030534353	-0.5572519083969466	0	0	0	0.0	223
2014-03-01_13:55:56_372286	63229.203125	1.1	41.0	160.0	-218.0	-0.567138671875	0.09521484375	0.824462890625	-3.5877862595419847	2.946564885496183	-0.6870229007633588	0	0	0	0.0	224
2014-03-01_13:55:56_433792	69380.40625	1.2	41.0	161.0	-220.0	-0.56884765625	0.0908203125	0.821533203125	-3.6106870229007635	2.633587786259542	-0.46564885496183206	0	0	0	0.0	224
2014-03-01_13:55:56_495106	75511.703125	1.3	-118.0	86.0	-202.0	-0.56591796875	0.078125	0.824462890625	-3.3587786259541983	2.7480916030534353	-0.42748091603053434	0	0	0	0.0	224
2014-03-01_13:55:56_556655	81665.796875	1.4	24.0	292.0	-220.0	-0.566650390625	0.09130859375	0.817138671875	-3.3893129770992365	2.595419847328244	-0.8396946564885496	0	0	0	0.0	225
2014-03-01_13:55:56_617883	87789.484375	1.5	64.0	109.0	-224.0	-0.563232421875	0.08935546875	0.823974609375	-3.5419847328244276	2.7404580152671754	-0.9083969465648855	0	0	0	0.0	225
2014-03-01_13:55:56_679072	93908.78125	1.6	17.0	137.0	-215.0	-0.565673828125	0.091796875	0.819091796875	-3.5801526717557253	2.7251908396946565	-0.40458015267175573	0	0	0	0.0	226
2014-03-01_13:55:56_740916	100092.890625	1.7	153.0	226.0	-214.0	-0.56201171875	0.09326171875	0.8134765625	-3.66412213740458	2.717557251908397	-0.3511450381679389	0	0	0	0.0	226
2014-03-01_13:55:56_801991	106200.203125	1.8	-76.0	157.0	-219.0	-0.5654296875	0.07958984375	0.81640625	-3.633587786259542	2.7480916030534353	-0.549618320610687	0	0	0	0.0	226
2014-03-01_13:55:56_863261	112326.890625	1.9	0.0	127.0	-213.0	-0.570556640625	0.0888671875	0.813720703125	-3.450381679389313	2.83206106870229	-0.7557251908396947	0	0	0	0.0	227
2014-03-01_13:55:56_924370	118437.890625	2.0	53.0	212.0	-231.0	-0.554931640625	0.104736328125	0.81884765625	-3.4732824427480917	2.877862595419847	-0.6946564885496184	0	0	0	0.0	227
