datetime	reltime	speed	adxl_x	adxl_y	adxl_z	mpu_x	mpu_y	mpu_z	gx	gy	gz	yaw	pitch	roll	d	speed_real
2014-03-01_14:02:39_951802	2084.40625	0.1	0.0	0.0	0.0	0.0	0.096435546875	0.8291015625	0.0	0.0	0.0	0	0	0	0.0	220
2014-03-01_14:02:40_013224	8208.921875	0.2	39.0	163.0	-220.0	-0.5634765625	0.102294921875	0.81396484375	-3.480916030534351	2.8396946564885495	-0.5954198473282443	0	0	0	0.0	220
2014-03-01_14:02:40_074745	14361.0	0.3	39.0	163.0	-220.0	-0.5615234375	0.095947265625	0.824951171875	-3.4580152671755724	2.9083969465648853	-0.6412213740458015	0	0	0	0.0	221
2014-03-01_14:02:40_136537	20540.625	0.4	40.0	162.0	-221.0	-0.567626953125	0.10693359375	0.817138671875	-3.6259541984732824	2.854961832061069	-0.5954198473282443	0	0	0	0.0	221
2014-03-01_14:02:40_197872	26674.015625	0.5	40.0	168.0	-219.0	-0.56103515625	0.09326171875	0.829833984375	-3.2213740458015265	2.83206106870229	-0.5954198473282443	0	0	0	0.0	221
2014-03-01_14:02:40_259553	32841.921875	0.6	39.0	162.0	-219.0	-0.567138671875	0.09765625	0.82373046875	-3.5419847328244276	2.8396946564885495	-0.7862595419847328	0	0	0	0.0	222
2014-03-01_14:02:40_382483	45142.609375	0.7	37.0	161.0	-221.0	-0.568603515625	0.094482421875	0.823486328125	-3.618320610687023	2.7404580152671754	-0.6564885496183206	0	0	0	0.0	222
2014-03-01_14:02:40_444289	51344.921875	0.8	39.0	164.0	-219.0	-0.5693359375	0.089599609375	0.8232421875	-3.3282442748091605	2.786259541984733	-0.8091603053435115	0	0	0	0.0	223
2014-03-01_14:02:40_506272	57514.71875	0.9	40.0	162.0	-218.0	-0.56884765625	0.094970703125	0.817138671875	-3.3435114503816794	3.0381679389312977	-0.648854961832061	0	0	0	0.0	223
2014-03-01_14:02:40_567873	63674.5	1.0	37.0	163.0	-220.0	-0.570068359375	0.095947265625	0.82568359375	-3.3969465648854964	2.8473282442748094	-0.549618320610687	0	0	0	0.0	223
2014-03-01_14:02:40_629265	69813.421875	1.1	40.0	161.0	-219.0	-0.572021484375	0.08203125	0.827880859375	-3.480916030534351	2.6717557251908395	-0.46564885496183206	0	0	0	0.0	224
2014-03-01_14:02:40_724035	79290.3125	1.2	-10.0	118.0	-213.0	-0.567626953125	0.093505859375	0.827392578125	-3.595419847328244	2.7786259541984735	-0.5648854961832062	0	0	0	0.0	224
2014-03-01_14:02:40_787351	85622.125	1.3	-17.0	147.0	-213.0	-0.572509765625	0.094482421875	0.82275390625	-3.519083969465649	2.7557251908396947	-0.5419847328244275	0	0	0	0.0	224
