datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-08_09:48:51_058979	1046208.0	75.0	91.0	-277.0	3.746946564885497	-38.02614503816794	-3.033969465648855	0.2466796875	-0.2236328125	-0.692626953125	0.0	0.0	0.0	0	-0.07677189126977804	0	0	0	0.005	0	0.0	0	0	220	220
2014-03-08_09:48:51_095690	1082500.0	140.0	-28.0	-223.0	2.86908396946565	-54.171183206106875	0.6377862595419846	0.5240234375	-0.913818359375	-0.716552734375	0.0	-32.12	0.0	-2.8016934169500116	-0.048895173070680836	2.8016934169500116	113.56160836321014	-54.171183206106875	0.005	0	0.0	40.533203125	0.014008467084750058	231	231
2014-03-08_09:48:51_145081	1131891.0	60.0	13.0	-293.0	1.9301526717557258	-59.507061068702285	2.4240458015267174	0.48740234375	-0.752197265625	-0.67333984375	0.0	-11.57	0.0	-0.07774774258163851	-0.001356854146276414	0.07774774258163851	117.42705301416112	-59.507061068702285	0.005	0	0.0	49.7177734375	0.00038873871290819257	231	231
2014-03-08_09:48:51_196574	1183387.0	33.0	67.0	-260.0	2.945419847328245	-68.57576335877863	4.645419847328244	0.31650390625	-0.28466796875	-0.735595703125	0.0	-7.23	0.0	3.1638682625984926	0.055215851005209295	-3.1638682625984926	-41.92114113446095	-68.57576335877863	0.005	0	0.0	50.364990234375	-0.015819341312992462	231	231
2014-03-08_09:48:51_247067	1233883.0	76.0	-14.0	-265.0	2.128625954198474	-72.20935114503817	4.133969465648855	0.058447265624999994	0.11181640625	-0.95068359375	0.0	-16.0	0.0	6.32648107814508	0.11040979193970471	-6.32648107814508	-358.9340648075481	-72.20935114503817	0.005	0	0.0	50.10888671875	-0.0316324053907254	231	231
2014-03-08_09:48:51_296975	1283791.0	85.0	-40.0	-255.0	1.464503816793894	-76.82003816793893	2.2103053435114504	-0.1693359375	0.302001953125	-1.028564453125	0.0	-18.44	0.0	9.596234282215605	0.1674735476826458	-9.596234282215605	-838.8512062969171	-76.82003816793893	0.005	0	0.0	50.010986328125	-0.04798117141107802	231	231
2014-03-08_09:48:51_347519	1334338.0	38.0	-99.0	-266.0	0.2583969465648863	-79.59103053435115	2.5538167938931298	-0.17373046875	0.060546875	-1.18359375	0.0	-8.13	0.0	13.1694204353824	0.22983281737142058	-13.1694204353824	-1502.0099758674987	-79.59103053435115	0.005	0	0.0	50.35595703125	-0.065847102176912	230	231
2014-03-08_09:48:51_397083	1383928.0	2.0	67.0	-257.0	-2.7339694656488542	-81.93454198473282	1.034732824427481	-0.029199218750000006	-0.418701171875	-1.145263671875	0.0	-0.45	0.0	16.88767657562179	0.2947238494872913	-16.88767657562179	-2341.297816306921	-81.93454198473282	0.005	0	0.0	49.6982421875	-0.08443838287810895	230	232
2014-03-08_09:48:51_446579	1433391.0	62.0	-66.0	-281.0	-2.64236641221374	-85.0337786259542	1.4393129770992366	0.116796875	-0.7578125	-0.891357421875	0.0	-12.44	0.0	20.44105949417842	0.35673751298740697	-20.44105949417842	-3356.813245132694	-85.0337786259542	0.005	0	0.0	49.68017578125	-0.10220529747089209	230	232
2014-03-08_09:48:51_496686	1483500.0	-101.0	51.0	-258.0	-0.4973282442748084	-85.04904580152672	2.820992366412214	0.16953125	-0.855712890625	-0.939453125	0.0	21.38	0.0	24.62265415356332	0.42971473217387995	-24.62265415356332	-4586.587378631489	-85.04904580152672	0.005	0	0.0	49.94482421875	-0.12311327076781661	229	233
