datetime	reltime		adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	pid_time	motors_time	curses_time	sum_time
2014-06-12_22:20:42_243575	1037494		-104	36	-225	1.183	7.36	1.284	-0.442	0.098	-1.121	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	242	246	0.06	0.069	-0.0145	0.0075	0.0068	0.0036	0.0051	0.023
2014-06-12_22:20:42_268074	1061825	0.024331	-140	-24	-248	1.817	4.642	2.1	-0.487	-0.104	-1.049	0	29.45	0.2407784527	-0.2407784527	-5.887550465	4.6420610687	0.08	0	0	-0.019	-0.019	0	0	0	0.08	0	0	0	0	-0.019	24.4521484375	242	246	0.06	0.069	-0.0141	0.0075	0.0069	0.0034	0.0052	0.023
2014-06-12_22:20:42_289630	1083386	0.021561	-109	-73	-219	0.817	0.841	0.268	-0.359	-0.131	-0.711	0	26.46	0.7476167758	-0.7476167758	-21.8534396812	0.8405343511	0.08	0	0	-0.06	-0.06	0	0	0	0.08	0	0	0	0	-0.06	21.3557128906	243	245	0.061	0.068	-0.0115	0.0075	0.0041	0.0036	0.005	0.0202
2014-06-12_22:20:42_311094	1104850	0.021464	-95	-39	-238	-0.45	6.169	-0.281	-0.383	0.046	-0.969	0	21.76	1.0377174219	-1.0377174219	-44.1988197132	6.168778626	0.08	0	0	-0.083	-0.083	0	0	0	0.08	0	0	0	0	-0.083	21.533203125	243	245	0.061	0.068	-0.0112	0.0075	0.0041	0.0034	0.005	0.02
2014-06-12_22:20:42_332723	1126520	0.02167	-102	-43	-249	0.481	0.436	1.604	-0.411	-0.338	-0.842	0	22.28	1.4534658718	-1.4534658718	-74.9802887198	0.4359541985	0.08	0	0	-0.117	-0.117	0	0	0	0.08	0	0	0	0	-0.117	21.1779785156	243	245	0.061	0.068	-0.0115	0.0075	0.0041	0.0036	0.005	0.0202
2014-06-12_22:20:42_354439	1148197	0.021677	-128	28	-237	2.199	6.383	2.009	-0.415	-0.487	-1.12	0	28.37	1.8572755067	-1.8572755067	-114.9529748259	6.382519084	0.08	0	0	-0.15	-0.15	0	0	0	0.08	0	0	0	0	-0.15	21.5222167969	243	245	0.061	0.067	-0.0114	0.0075	0.004	0.0036	0.0051	0.0202
2014-06-12_22:20:42_376006	1169756	0.021559	-120	51	-246	0.29	-1.182	3.2	-0.378	-0.249	-0.924	0	26.01	2.365304121	-2.365304121	-166.1263525819	-1.1823664122	0.08	0	0	-0.191	-0.191	0	0	0	0.08	0	0	0	0	-0.191	21.6350097656	243	245	0.062	0.067	-0.0113	0.0075	0.0042	0.0034	0.005	0.0201
2014-06-12_22:20:42_397851	1191606	0.02185	-116	-1	-253	1.908	6.016	0.123	-0.468	-0.351	-1.166	0	24.63	2.68368485	-2.68368485	-223.9245115271	6.0161068702	0.08	0	0	-0.217	-0.217	0	0	0	0.08	0	0	0	0	-0.217	21.5368652344	243	245	0.062	0.067	-0.0117	0.0075	0.0043	0.0034	0.0053	0.0205
2014-06-12_22:20:42_419419	1213178	0.021572	-108	-80	-227	-1.649	-5.266	3.047	-0.448	0.164	-0.812	0	25.45	3.2502985525	-3.2502985525	-294.06620822	-5.2663358779	0.08	0	0	-0.263	-0.263	0	0	0	0.08	0	0	0	0	-0.263	21.580078125	243	245	0.063	0.066	-0.0114	0.0075	0.0042	0.0034	0.0051	0.0202
2014-06-12_22:20:42_440965	1234720	0.021542	-111	-65	-219	4.473	6.963	2.475	-0.441	-0.985	-1.136	0	26.88	3.5762048072	-3.5762048072	-370.9476268003	6.9626717557	0.08	0	0	-0.29	-0.29	0	0	0	0.08	0	0	0	0	-0.29	21.498046875	243	244	0.063	0.066	-0.0113	0.0075	0.0042	0.0034	0.005	0.0201
2014-06-12_22:20:42_462739	1256495	0.021775	-119	-26	-230	-2.153	1.192	-1.319	-0.374	-0.604	-1.423	0	27.36	4.0266204937	-4.0266204937	-457.950548415	1.1916793893	0.08	0	0	-0.327	-0.327	0	0	0	0.08	0	0	0	0	-0.327	21.6069335938	244	244	0.063	0.065	-0.0115	0.0076	0.0043	0.0034	0.005	0.0203
2014-06-12_22:20:42_484460	1278255	0.02176	-116	-7	-233	-3.893	-8.312	0.688	-0.452	0.546	-0.563	0	26.47	4.6497308051	-4.6497308051	-557.4259538636	-8.3121374046	0.08	0	0	-0.378	-0.378	0	0	0	0.08	0	0	0	0	-0.378	21.3937988281	244	244	0.064	0.065	-0.0115	0.0075	0.0042	0.0034	0.0052	0.0203
2014-06-12_22:20:42_506360	1300117	0.021862	-111	-89	-229	4	4.505	0.65	-0.479	-0.989	-1.442	0	25.86	4.9786107088	-4.9786107088	-664.9790171405	4.5046564885	0.08	0	0	-0.405	-0.405	0	0	0	0.08	0	0	0	0	-0.405	21.6030273438	244	244	0.064	0.064	-0.0117	0.0075	0.0042	0.0036	0.0051	0.0204
2014-06-12_22:20:42_527763	1321521	0.021404	-103	-108	-239	-5.58	-3.526	-0.388	-0.404	-0.159	-1.22	0	23.32	5.4199723241	-5.4199723241	-782.0178677502	-3.5258778626	0.08	0	0	-0.441	-0.441	0	0	0	0.08	0	0	0	0	-0.441	21.5939941406	244	244	0.064	0.064	-0.0112	0.0075	0.0042	0.0033	0.005	0.02
2014-06-12_22:20:42_549489	1343243	0.021722	-117	-28	-260	-3.122	-2.694	2.925	-0.48	0.981	-0.465	0	24.23	5.8525812475	-5.8525812475	-907.0925014172	-2.6938167939	0.08	0	0	-0.477	-0.477	0	0	0	0.08	0	0	0	0	-0.477	21.3708496094	244	244	0.065	0.064	-0.0115	0.0076	0.0042	0.0035	0.005	0.0203
2014-06-12_22:20:42_570875	1364632	0.021389	-131	80	-209	4.176	8.36	2.902	-0.526	-1.065	-1.379	0	32.08	6.2019347652	-6.2019347652	-1000	8.3596183206	0.08	0	0	-0.506	-0.506	0	0	0	0.08	0	0	0	0	-0.506	21.3889160156	244	244	0.065	0.063	-0.0112	0.0076	0.004	0.0034	0.005	0.02
2014-06-12_22:20:42_592373	1386127	0.021495	-114	36	-226	-2.908	-4.037	-1.808	-0.409	-0.236	-1.231	0	26.77	6.6976963006	-6.6976963006	-1000	-4.0373282443	0.08	0	0	-0.546	-0.546	0	0	0	0.08	0	0	0	0	-0.546	21.3342285156	244	243	0.065	0.063	-0.0113	0.0075	0.0042	0.0035	0.0049	0.0201
2014-06-12_22:20:42_613780	1407532	0.021405	-124	-95	-220	-5.611	-13.022	1.184	-0.52	0.874	-0.551	0	29.41	7.4222851435	-7.4222851435	-1000	-13.0220610687	0.08	0	0	-0.604	-0.604	0	0	0	0.08	0	0	0	0	-0.604	21.1850585938	245	243	0.066	0.062	-0.0113	0.0075	0.0041	0.0035	0.005	0.0201
2014-06-12_22:20:42_635351	1429147	0.021615	-119	-85	-221	2.824	9.23	2.184	-0.496	1.141	-1.276	0	28.3	7.6469713937	-7.6469713937	-1000	9.2298473282	0.08	0	0	-0.622	-0.622	0	0	0	0.08	0	0	0	0	-0.622	21.3288574219	245	243	0.066	0.062	-0.0113	0.0075	0.004	0.0034	0.0052	0.0201
2014-06-12_22:20:42_657224	1450982	0.021835	-119	-38	-233	-3.809	1.741	-0.09	-0.411	-0.177	-1.554	0	27.06	7.998018502	-7.998018502	-1000	1.7412977099	0.08	0	0	-0.65	-0.65	0	0	0	0.08	0	0	0	0	-0.65	21.7690429688	245	243	0.066	0.062	-0.0117	0.008	0.0039	0.0034	0.0051	0.0204
2014-06-12_22:20:42_678508	1472257	0.021275	-109	-1	-226	-2.481	-4.404	2.719	-0.511	0.952	-0.569	0	25.75	8.4441002085	-8.4441002085	-1000	-4.403740458	0.08	0	0	-0.686	-0.686	0	0	0	0.08	0	0	0	0	-0.686	21.0959472656	245	243	0.067	0.061	-0.0109	0.0075	0.0037	0.0035	0.0051	0.0198
2014-06-12_22:20:42_699980	1493735	0.021478	-96	0	-241	3.237	8.726	1.192	-0.416	1.247	-1.356	0	21.72	8.5267136253	-8.5267136253	-1000	8.7260305344	0.08	0	0	-0.692	-0.692	0	0	0	0.08	0	0	0	0	-0.692	21.3908691406	245	243	0.067	0.061	-0.0113	0.0075	0.0041	0.0034	0.005	0.02
2014-06-12_22:20:42_720948	1514706	0.020971	-95	-90	-235	-3.473	-3.663	-1.251	-0.503	-0.161	-0.906	0	22.01	8.8715368094	-8.8715368094	-1000	-3.6632824427	0.08	0	0	-0.72	-0.72	0	0	0	0.08	0	0	0	0	-0.72	20.9189453125	245	243	0.067	0.061	-0.0108	0.0076	0.0036	0.0035	0.0049	0.0196
2014-06-12_22:20:42_742472	1536264	0.021558	-118	-111	-251	-0.756	-0.373	-0.701	-0.432	0.853	-0.699	0	25.18	9.2054835647	-9.2054835647	-1000	-0.3732061069	0.08	0	0	-0.746	-0.746	0	0	0	0.08	0	0	0	0	-0.746	21.2109375	245	242	0.067	0.06	-0.0113	0.0075	0.004	0.0035	0.005	0.02
2014-06-12_22:20:42_763683	1557444	0.02118	-121	-20	-243	-0.519	5.268	1.78	-0.464	1.029	-0.934	0	26.47	9.4414209024	-9.4414209024	-1000	5.2680152672	0.08	0	0	-0.765	-0.765	0	0	0	0.08	0	0	0	0	-0.765	21.1916503906	245	242	0.068	0.06	-0.0111	0.0075	0.0039	0.0034	0.005	0.0198
2014-06-12_22:20:42_784937	1578692	0.021248	-113	57	-239	-2.351	-3.022	1.268	-0.53	0.302	-0.874	0	25.31	9.8209818939	-9.8209818939	-1000	-3.0220610687	0.08	0	0	-0.796	-0.796	0	0	0	0.08	0	0	0	0	-0.796	21.0200195313	245	242	0.068	0.06	-0.0109	0.0074	0.004	0.0034	0.005	0.0198
2014-06-12_22:20:42_806562	1600320	0.021628	-108	102	-228	-1.557	-0.602	-0.388	-0.59	1.122	-0.583	0	25.35	10.1441444717	-10.1441444717	-1000	-0.6022137405	0.08	0	0	-0.822	-0.822	0	0	0	0.08	0	0	0	0	-0.822	21.3859863281	245	242	0.068	0.06	-0.0113	0.0075	0.0041	0.0034	0.0051	0.0201
2014-06-12_22:20:42_827997	1621746	0.021426	-126	43	-246	-0.992	6.405	0.528	-0.444	1.004	-1.056	0	27.12	10.3503408681	-10.3503408681	-1000	6.4054198473	0.08	0	0	-0.838	-0.838	0	0	0	0.08	0	0	0	0	-0.838	21.2490234375	245	242	0.068	0.059	-0.0112	0.0076	0.0039	0.0034	0.0051	0.02
2014-06-12_22:20:42_849401	1643157	0.021411	-118	-71	-229	-3.389	-5.846	0.23	-0.568	0.116	-0.782	0	27.26	10.8108880809	-10.8108880809	-1000	-5.8464885496	0.08	0	0	-0.875	-0.875	0	0	0	0.08	0	0	0	0	-0.875	21.3432617188	246	242	0.069	0.059	-0.0113	0.0075	0.004	0.0035	0.0049	0.0199
2014-06-12_22:20:42_871010	1664808	0.021651	-114	-34	-247	0.046	6.841	1.299	-0.607	-0.746	-0.922	0	24.78	10.946508374	-10.946508374	-1000	6.8405343511	0.08	0	0	-0.886	-0.886	0	0	0	0.08	0	0	0	0	-0.886	21.4360351563	246	242	0.069	0.059	-0.0113	0.0076	0.0041	0.0034	0.005	0.0201
2014-06-12_22:20:42_892365	1686117	0.021309	-88	18	-265	-1.336	6.398	-2.564	-0.517	1.032	-1.043	0	18.37	10.9623313082	-10.9623313082	-1000	6.3977862595	0.08	0	0	-0.887	-0.887	0	0	0	0.08	0	0	0	0	-0.887	21.1608886719	246	242	0.069	0.059	-0.0111	0.0075	0.0039	0.0034	0.005	0.0198
2014-06-12_22:20:42_913185	1706939	0.020822	-113	-24	-251	0.702	-6.488	0.81	-0.582	-0.009	-0.607	0	24.24	11.3596793789	-11.3596793789	-1000	-6.4877099237	0.08	0	0	-0.919	-0.919	0	0	0	0.08	0	0	0	0	-0.919	20.7321777344	246	242	0.069	0.058	-0.0108	0.0075	0.0036	0.0035	0.0049	0.0195
2014-06-12_22:20:42_934936	1728695	0.021756	-107	-89	-245	-1.137	6.573	-4.327	-0.516	-0.905	-1.063	0	23.59	11.4671010148	-11.4671010148	-1000	6.5733587786	0.08	0	0	-0.927	-0.927	0	0	0	0.08	0	0	0	0	-0.927	21.3090820313	246	242	0.069	0.058	-0.0114	0.0074	0.004	0.0036	0.0051	0.0201
2014-06-12_22:20:42_956533	1750291	0.021596	-116	-71	-250	-4.298	0.375	-4.503	-0.482	0.402	-1.089	0	24.89	11.7277396927	-11.7277396927	-1000	0.3748854962	0.08	0	0	-0.948	-0.948	0	0	0	0.08	0	0	0	0	-0.948	21.4541015625	246	242	0.069	0.058	-0.0114	0.0074	0.0041	0.0035	0.0052	0.0202
2014-06-12_22:20:42_977710	1771462	0.021171	-129	-12	-253	1.794	-1.587	0.826	-0.703	-0.595	-0.986	0	27.02	12.0664656637	-12.0664656637	-1000	-1.5869465649	0.08	0	0	-0.975	-0.975	0	0	0	0.08	0	0	0	0	-0.975	21.1657714844	246	241	0.07	0.058	-0.0111	0.0075	0.0037	0.0035	0.0051	0.0198
2014-06-12_22:20:42_999121	1792910	0.021448	-96	93	-230	1.763	6.795	-4.495	-0.648	-0.785	-0.759	0	22.66	12.1366602713	-12.1366602713	-1000	6.7947328244	0.08	0	0	-0.981	-0.981	0	0	0	0.08	0	0	0	0	-0.981	21.2670898438	246	241	0.07	0.058	-0.0112	0.0075	0.0039	0.0034	0.0051	0.0199
