datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:06_712961	1035898.0	0.0	0.0	0.0	1.036	9.833	1.259	-0.005	0.217	-1.072	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0	0	0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	242.0	246.0	0.06	0.069	-0.0133	0.0064	0.0066	0.0001	0.0037	0.0053
2014-06-12_22:45:06_736406	1059174.0	0.0	0.0	0.0	-0.124	8.642	2.869	0.125	-0.016	-1.08	0.0	-89.99	-2.209	2.209	51.514	8.642	0.08	0.0	0.0	0.177	0.177	0	0	0	0.08	0.0	0.0	0.0	0.0	0.177	23.317	242.0	246.0	0.058	0.071	-0.0133	0.0063	0.0064	0.0002	0.0036	0.0053
2014-06-12_22:45:06_757038	1079813.0	0.0	0.0	0.0	0.38	7.817	0.785	0.172	-0.162	-0.926	0.0	-90.0	-4.122	4.122	136.115	7.817	0.08	0.0	0.0	0.331	0.331	0	0	0	0.08	0.0	0.0	0.0	0.0	0.331	20.523	241.0	247.0	0.057	0.073	-0.0104	0.0062	0.0038	0.0002	0.0035	0.0053
2014-06-12_22:45:06_777703	1100467.0	0.0	0.0	0.0	0.983	10.504	1.724	0.231	-0.208	-0.9	0.0	-90.0	-6.05	6.05	259.863	10.504	0.08	0.0	0.0	0.487	0.487	0	0	0	0.08	0.0	0.0	0.0	0.0	0.487	20.453	240.0	248.0	0.055	0.075	-0.0104	0.0063	0.0037	0.0002	0.0036	0.0053
2014-06-12_22:45:06_798401	1121168.0	0.0	0.0	0.0	2.273	9.947	1.885	0.246	-0.271	-1.165	0.0	-90.0	-7.929	7.929	422.315	9.947	0.08	0.0	0.0	0.639	0.639	0	0	0	0.08	0.0	0.0	0.0	0.0	0.639	20.488	240.0	249.0	0.054	0.076	-0.0105	0.0063	0.0037	0.0002	0.0036	0.0054
2014-06-12_22:45:06_819088	1141882.0	0.0	0.0	0.0	1.051	3.611	-0.352	0.127	-0.081	-1.106	0.0	-89.99	-9.643	9.643	621.006	3.611	0.08	0.0	0.0	0.778	0.778	0	0	0	0.08	0.0	0.0	0.0	0.0	0.778	20.604	239.0	249.0	0.052	0.078	-0.0106	0.0064	0.0036	0.0002	0.0036	0.0053
2014-06-12_22:45:06_839876	1162645.0	0.0	0.0	0.0	-0.888	1.703	1.266	0.013	0.191	-0.957	0.0	-89.9	-11.283	11.283	853.091	1.703	0.08	0.0	0.0	0.911	0.911	0	0	0	0.08	0.0	0.0	0.0	0.0	0.911	20.57	239.0	250.0	0.051	0.079	-0.0105	0.0063	0.0037	0.0002	0.0036	0.0053
2014-06-12_22:45:06_860544	1183310.0	0.0	0.0	0.0	-1.361	3.069	0.373	0.01	0.333	-0.937	0.0	-89.87	-12.916	12.916	1000.0	3.069	0.08	0.0	0.0	1.043	1.043	0	0	0	0.08	0.0	0.0	0.0	0.0	1.043	20.48	238.0	250.0	0.05	0.081	-0.0104	0.0063	0.0036	0.0002	0.0036	0.0054
2014-06-12_22:45:06_881109	1203873.0	0.0	0.0	0.0	1.731	8.008	-0.505	0.042	-0.285	-0.974	0.0	-89.97	-14.619	14.619	1000.0	8.008	0.08	0.0	0.0	1.179	1.179	0	0	0	0.08	0.0	0.0	0.0	0.0	1.179	20.56	238.0	251.0	0.048	0.083	-0.0104	0.0064	0.0036	0.0002	0.0036	0.0052
2014-06-12_22:45:06_901623	1224388.0	0.0	0.0	0.0	0.28	4.1	-0.337	-0.013	-0.118	-1.042	0.0	89.89	-12.61	12.61	1000.0	4.1	0.08	0.0	0.0	1.019	1.019	0	0	0	0.08	0.0	0.0	0.0	0.0	1.019	20.252	238.0	250.0	0.05	0.081	-0.0102	0.0063	0.0034	0.0002	0.0037	0.0053
2014-06-12_22:45:06_921921	1244684.0	0.0	0.0	0.0	-1.269	1.054	-1.131	0.182	0.185	-0.964	0.0	-90.0	-14.178	14.178	1000.0	1.054	0.08	0.0	0.0	1.144	1.144	0	0	0	0.08	0.0	0.0	0.0	0.0	1.144	20.253	238.0	251.0	0.049	0.082	-0.0101	0.0064	0.0034	0.0002	0.0036	0.0052
2014-06-12_22:45:06_942435	1265234.0	0.0	0.0	0.0	-0.956	-3.068	-1.108	0.149	0.289	-0.969	0.0	-90.0	-15.634	15.634	1000.0	-3.068	0.08	0.0	0.0	1.261	1.261	0	0	0	0.08	0.0	0.0	0.0	0.0	1.261	20.174	238.0	251.0	0.047	0.083	-0.0103	0.0063	0.0034	0.0002	0.0036	0.0053
2014-06-12_22:45:06_962794	1285560.0	0.0	0.0	0.0	-2.094	4.26	0.801	0.163	0.236	-1.028	0.0	-90.0	-17.206	17.206	1000.0	4.26	0.08	0.0	0.0	1.386	1.386	0	0	0	0.08	0.0	0.0	0.0	0.0	1.386	20.264	237.0	252.0	0.046	0.085	-0.0102	0.0063	0.0033	0.0002	0.0037	0.0053
2014-06-12_22:45:06_983477	1306240.0	0.0	0.0	0.0	-1.72	5.191	1.297	0.147	0.199	-1.12	0.0	-90.0	-18.766	18.766	1000.0	5.191	0.08	0.0	0.0	1.511	1.511	0	0	0	0.08	0.0	0.0	0.0	0.0	1.511	20.424	237.0	252.0	0.045	0.086	-0.0103	0.0063	0.0035	0.0002	0.0036	0.0054
