datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_15:45:02_160112	301767.796875	20.5	26.0	98.0	-292.0	0.0	0	0	0	0	0
2014-01-12_15:45:02_180763	303763.984375	22.0	-61.0	67.0	-78.0	0.0	82.5	1938.427734375	3.511221945137157	23.49609375	3.5194913294145005
2014-01-12_15:45:02_198319	305520.203125	22.0	-23.0	147.0	-308.0	0.0	104.0	3979.732421875	1.0953778794964923	19.6279296875	1.105817676820711
2014-01-12_15:45:02_216587	307350.578125	20.08	36.0	-5.0	-296.0	0.0	69.66666666666667	5222.9150390625	-1.9240044510115104	17.8447265625	-1.916985555194453
2014-01-12_15:45:02_234472	309136.078125	21.15	53.0	124.0	-326.0	0.0	88.66666666666667	6816.079264322917	1.0574344062937349	17.968017578125	1.0663692337530448
2014-01-12_15:45:02_252602	310949.296875	20.18	-26.0	95.0	-272.0	0.0	71.33333333333333	8085.6767578125	-0.9738869608555901	17.798095703125	-0.9666727707546786
2014-01-12_15:45:02_270574	312746.28125	22.0	-8.0	113.0	-351.0	0.0	110.66666666666667	10086.51171875	2.175536200571648	18.079833984375	2.186703732355502
2014-01-12_15:45:02_288828	314571.28125	21.56	33.0	100.0	-330.0	0.0	102.66666666666667	11928.245442708334	-0.4459566128637143	17.93896484375	-0.43557066374262055
2014-01-12_15:45:02_306839	316372.671875	21.12	55.0	70.0	-334.0	0.0	94.33333333333333	13646.166910807293	-0.4575943229704312	18.211181640625	-0.44802452796798975
2014-01-12_15:45:02_324941	318187.6875	21.78	-12.0	148.0	-309.0	0.0	106.0	15550.233317057293	0.6494871516074084	17.962890625	0.660242653940579
2014-01-12_15:45:02_343421	320031.1875	22.0	-5.0	141.0	-351.0	0.0	119.66666666666667	17724.216715494793	0.7522800981920481	18.1669921875	0.7644240070258698
2014-01-12_15:45:02_361280	321816.484375	22.0	-121.0	155.0	-70.0	0.0	148.0	20440.934488932293	1.5435292448605917	18.356201171875	1.558533654205481
2014-01-12_15:45:02_379246	323612.78125	21.04	68.0	96.0	-285.0	0.0	130.66666666666666	22757.237223307293	-0.9778034862528525	17.726806640625	-0.9645092472139528
2014-01-12_15:45:02_397380	325426.09375	21.4	-4.0	160.0	-299.0	0.0	137.0	25221.564860026043	0.35209062859107704	17.98779296875	0.3660428442396773
2014-01-12_15:45:02_415295	327224.6875	20.14	-115.0	86.0	-71.0	0.0	114.0	27277.572672526043	-1.275286982889322	18.03515625	-1.2636142071625969
2014-01-12_15:45:02_449771	330665.6875	20.23	61.0	104.0	-229.0	0.0	116.66666666666667	31345.040934244793	0.07648765548809679	34.864013671875	0.0884677725641059
2014-01-12_15:45:02_467847	332473.578125	19.62	-139.0	128.0	-125.0	0.0	106.0	33188.83536783855	-0.6132281593143106	17.394287109375	-0.6022962709606322
2014-01-12_15:45:02_485889	334277.578125	20.43	-19.0	129.0	-266.0	0.0	120.33333333333333	35357.8319498698	0.7951961713847123	18.02490234375	0.8075830830375443
2014-01-12_15:45:02_504097	336098.28125	21.56	49.0	164.0	-280.0	0.0	140.33333333333334	37883.8319498698	1.1111111111111118	18.0	1.1255232827639439
2014-01-12_15:45:02_522142	337902.78125	21.08	-55.0	101.0	-55.0	0.0	131.33333333333334	40275.95190429688	-0.49412237785671204	18.214111328125	-0.48058628500433576
2014-01-12_15:45:02_540346	339722.671875	21.44	-8.0	148.0	-271.0	0.0	137.66666666666666	42746.92740885417	0.3528520971902944	17.948974609375	0.3670462331310496
2014-01-12_15:45:02_558485	341537.1875	20.92	33.0	135.0	-229.0	0.0	128.0	45068.58365885417	-0.5329528578286868	18.137939453125	-0.5197021719920983
2014-01-12_15:45:02_576490	343338.078125	20.79	17.0	93.0	-108.0	0.0	125.33333333333333	47335.752278645836	-0.147418334615506	18.089111328125	-0.1344116437593862
2014-01-12_15:45:02_595487	345244.28125	21.12	-1.0	165.0	-248.0	0.0	131.0	49690.234212239586	0.31528521104440066	17.97314453125	0.32888211338652307
2014-01-12_15:45:02_613516	347039.796875	20.57	-32.0	103.0	-318.0	0.0	120.33333333333333	51976.21500651042	-0.5614900872187668	18.9970703125	-0.5489369917353684
