datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	avgy	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_22:41:50_385673	303298.375	18.0	42.0	91.0	69.0	6.8320610687022905	-0.732824427480916	-1.5725190839694656	-0.461181640625	0.427734375	0.963623046875	0.0	0.0	0	0	0	0	0	0.1	0.01	5	0	0
2014-02-01_22:41:50_423191	307008.28125	10.0	131.0	48.0	-467.0	-58.83969465648855	-16.908396946564885	5.511450381679389	0.65576171875	0.318603515625	0.349609375	0.0	-2.94	1.856928712929596	0.06479165083494752	-1.856928712929596	-0.07324849342694037	-47.07515586435453	0.1	0.01	5	0.039446044921875	-235.5622046779999
2014-02-01_22:41:50_460193	310707.875	10.0	146.0	-39.0	-375.0	-17.12213740458015	0.3511450381679389	2.8625954198473282	0.50390625	0.059814453125	-1.9130859375	0.0	2.97	1.926532780983824	0.06722026451443908	-1.926532780983824	-0.14420472764061704	-1.889820116333806	0.1	0.01	5	0.0368310546875	-9.643195907043818
2014-02-01_22:41:50_497031	314416.09375	10.0	214.0	137.0	-341.0	38.29770992366412	-29.984732824427482	12.83206106870229	0.498291015625	0.177490234375	1.3212890625	0.0	-10.95	4.1940544886510605	0.14633825850143267	-4.1940544886510605	-0.2984283846161164	-61.66440209407242	0.1	0.01	5	0.03677197265625	-308.7444002030734
2014-02-01_22:41:50_533996	318110.796875	25.0	-9.0	214.0	-232.0	47.29007633587786	12.977099236641221	1.7709923664122138	-0.572021484375	-0.41064453125	-0.156005859375	0.0	-21.35	0.10107980600280334	0.003526859944270877	-0.10107980600280334	-0.30214440008181814	111.33352127164775	0.1	0.01	5	0.03676318359375	556.6544769336377
2014-02-01_22:41:50_570786	321790.6875	25.0	92.0	20.0	-194.0	20.732824427480917	31.519083969465647	-5.748091603053435	-0.934326171875	-0.370849609375	0.8017578125	0.0	-2.94	-3.920321822089267	-0.13678722338064433	3.920321822089267	-0.15876169219032674	109.95181211060236	0.1	0.01	5	0.03657421875	550.1495051182987
2014-02-01_22:41:50_607568	325446.390625	25.0	64.0	94.0	-254.0	26.931297709923665	36.25954198473283	-14.931297709923664	-0.13671875	-0.478515625	1.99993896484375	0.0	-10.16	-8.821624987077012	-0.3078026862204121	8.821624987077012	0.16400295797161404	133.95970856102736	0.1	0.01	5	0.036587890625	670.6823453334242
2014-02-01_22:41:50_644455	329133.796875	25.0	117.0	495.0	-302.0	-47.3587786259542	24.862595419847327	-11.32824427480916	-0.93017578125	-0.16455078125	0.6787109375	0.0	-29.32	-13.809951055499683	-0.48185453787507615	13.809951055499683	0.6702475773403477	136.07757241882678	0.1	0.01	5	0.036657958984375	681.7755596754572
2014-02-01_22:41:50_681156	332805.296875	25.0	-79.0	226.0	-286.0	-38.961832061068705	50.099236641221374	-5.7251908396946565	-0.4462890625	0.020751953125	1.126708984375	0.0	-19.17	-20.273963886766797	-0.7073958090288485	20.273963886766797	1.4143208608379045	176.12668753364397	0.1	0.01	5	0.036700927734375	882.6749772655048
2014-02-01_22:41:50_717972	336486.703125	25.0	37.0	254.0	-79.0	36.20610687022901	62.36641221374046	-6.419847328244275	-0.62939453125	0.400634765625	1.988037109375	0.0	-36.38	-29.242561653651762	-1.0203266452774515	29.242561653651762	2.4843944334593875	245.0904123371973	0.1	0.01	5	0.036593017578125	1228.4011617956862
2014-02-01_22:41:50_754694	340161.984375	25.0	151.0	-68.0	-297.0	-8.351145038167939	54.70229007633588	-0.7099236641221374	-0.464111328125	-0.222900390625	-0.0107421875	0.0	6.45	-32.1422718892392	-1.1215028572658479	32.1422718892392	3.6633079912562803	79.05861644889028	0.1	0.01	5	0.036677978515625	398.5439425132879
2014-02-01_22:41:50_791482	343838.1875	25.0	-37.0	53.0	-512.0	-84.45801526717557	40.50381679389313	10.633587786259541	-1.620849609375	-1.674072265625	0.10888671875	0.0	-2.96	-34.01163054210567	-1.1867282115179927	34.01163054210567	4.910271021075262	50.98782749093419	0.1	0.01	5	0.036662841796875	258.3894032190923
2014-02-01_22:41:50_828382	347527.484375	10.0	-76.0	218.0	191.0	-95.81679389312977	-0.33587786259541985	10.48091603053435	-0.14794921875	0.896484375	1.99993896484375	0.0	24.4	-28.13095937217492	-0.981540801541344	28.13095937217492	5.9397844663408295	-160.68650926629633	0.1	0.01	5	0.03659716796875	-800.5600525496008
2014-02-01_22:41:50_865104	351199.578125	10.0	-237.0	27.0	421.0	80.54198473282443	-25.96946564885496	0.549618320610687	-0.140625	0.699462890625	1.96875	0.0	1.84	-22.052311917812514	-0.7694456356529139	22.052311917812514	6.75148290537623	-165.14535849214622	0.1	0.01	5	0.036807861328125	-823.454046439896
2014-02-01_22:41:50_901843	354873.484375	10.0	509.0	221.0	-512.0	59.282442748091604	-71.42748091603053	1.9541984732824427	-0.625732421875	0.671630859375	-2.0	0.0	-11.68	-12.592441344852919	-0.4393733895622093	12.592441344852919	7.212010866454423	-258.66586914940456	0.1	0.01	5	0.03657177734375	-1291.9979815038728
2014-02-01_22:41:50_938672	358556.796875	10.0	222.0	131.0	-447.0	2.6717557251908395	-52.23664122137404	4.015267175572519	0.58056640625	0.92529296875	-2.0	0.0	-8.17	-5.983276715228949	-0.20876750576514128	5.983276715228949	7.431092867234845	-180.50072892650775	0.1	0.01	5	0.03661572265625	-901.8310060323435
2014-02-01_22:41:50_975741	362263.390625	10.0	150.0	148.0	-500.0	43.86259541984733	-33.0763358778626	3.6106870229007635	-0.637451171875	0.8037109375	-1.35498046875	0.0	-8.25	-2.297849314698558	-0.08017617985689317	2.297849314698558	7.515380067011916	-100.47263225113967	0.1	0.01	5	0.036680908203125	-502.05822252355836
2014-02-01_22:41:51_012712	365960.484375	25.0	166.0	-97.0	-384.0	-73.86259541984732	22.6793893129771	-14.603053435114504	-0.724853515625	0.052978515625	1.170166015625	0.0	7.09	-4.056633292728245	-0.14154338076511672	4.056633292728245	7.665037746910394	47.67374213493215	0.1	0.01	5	0.03689208984375	238.85102438140268
2014-02-01_22:41:51_049398	369629.875	25.0	258.0	60.0	-432.0	40.81679389312977	8.709923664122137	0.31297709923664124	-0.02880859375	0.115478515625	0.543212890625	0.0	-3.96	-5.081574863082992	-0.17730547324085807	5.081574863082992	7.8523339766661655	27.80791330842582	0.1	0.01	5	0.03685791015625	139.62624736820408
2014-02-01_22:41:51_086015	373291.390625	25.0	16.0	13.0	-420.0	-8.450381679389313	40.43511450381679	3.312977099236641	-0.02783203125	-0.20751953125	0.94677734375	0.0	-0.89	-9.428540106360071	-0.3289790686099118	9.428540106360071	8.197041955408212	118.89929640375902	0.1	0.01	5	0.03656005859375	595.5213064489852
2014-02-01_22:41:51_122785	376990.484375	25.0	93.0	-127.0	-194.0	-35.31297709923664	35.11450381679389	-5.145038167938932	-0.2275390625	0.0498046875	0.91552734375	0.0	16.61	-10.957254144979972	-0.3823187070823438	10.957254144979972	8.597013833030484	41.87921494814678	0.1	0.01	5	0.0365029296875	210.57777029356222
2014-02-01_22:41:51_159677	380657.1875	10.0	56.0	-270.0	-231.0	4.931297709923665	4.977099236641221	-7.580152671755725	0.238525390625	-0.225830078125	-0.215087890625	0.0	24.74	-7.976413507190572	-0.27831170646163894	7.976413507190572	8.889523872114488	-81.28410771986432	0.1	0.01	5	0.036671875	-405.5340020098814
2014-02-01_22:41:51_196520	384340.96875	25.0	7.0	170.0	-256.0	3.8625954198473282	29.27480916030534	1.2900763358778626	0.181640625	0.056884765625	1.14208984375	0.0	-16.8	-12.319302260763543	-0.4298430656232918	12.319302260763543	9.341172471380132	118.45793239949448	0.1	0.01	5	0.036661865234375	593.6150039482626
2014-02-01_22:41:51_233294	388021.890625	25.0	99.0	348.0	-190.0	8.80916030534351	-3.2213740458015265	-3.9236641221374047	-0.05810546875	-0.017822265625	1.298095703125	0.0	-30.7	-13.774958732577979	-0.48063359150655893	13.774958732577979	9.847839398316834	39.57552143631224	0.1	0.01	5	0.03678173828125	199.35358144880217
2014-02-01_22:41:51_269987	391688.390625	10.0	215.0	98.0	-303.0	41.534351145038165	-11.404580152671755	-7.061068702290076	-0.299560546875	0.09326171875	-0.1875	0.0	-8.97	-11.944771319338933	-0.4167749936964038	11.944771319338933	10.286118603969854	-49.87955130132296	0.1	0.01	5	0.036692138671875	-248.10041818864124
2014-02-01_22:41:51_307115	395400.96875	10.0	303.0	168.0	-340.0	-31.33587786259542	-36.396946564885496	-4.312977099236641	-0.0888671875	0.23388671875	-1.650390625	0.0	-13.15	-7.7806917792672845	-0.2714826161642458	7.7806917792672845	10.570214531809668	-114.04394174885478	0.1	0.01	5	0.036512939453125	-569.3359374210291
2014-02-01_22:41:51_343686	399057.296875	10.0	-9.0	96.0	-512.0	-54.091603053435115	-55.18320610687023	2.946564885496183	-0.247314453125	-1.38134765625	0.51556396484375	0.0	-5.31	-0.950798845643332	-0.03317511673563615	0.950798845643332	10.605393160583974	-184.59657307337417	0.1	0.01	5	0.0369990234375	-922.7817315507007
2014-02-01_22:41:51_380512	402744.296875	10.0	-86.0	-52.0	-55.0	-61.06870229007634	-54.82442748091603	14.358778625954198	0.86328125	-1.814208984375	1.65618896484375	0.0	21.71	7.755610766066722	0.27060749358223035	-7.755610766066722	10.322809454053376	-238.95052176709225	0.1	0.01	5	0.03643603515625	-1195.4249418175273
2014-02-01_22:41:51_417747	406464.484375	25.0	35.0	78.0	-52.0	25.236641221374047	-28.83969465648855	-0.9083969465648855	-0.235107421875	0.27734375	-1.99365234375	0.0	-28.17	7.5953913876487045	0.26501714541691224	-7.5953913876487045	10.04247164287336	4.340937392099429	0.1	0.01	5	0.036908935546875	21.045572538161004
2014-02-01_22:41:51_454487	410137.578125	25.0	227.0	248.0	-512.0	14.053435114503817	1.2366412213740459	1.0610687022900764	0.0859375	1.188720703125	1.99993896484375	0.0	-12.93	5.3960133177994285	0.1882768080181238	-5.3960133177994285	9.84343436940663	59.62638629978247	0.1	0.01	5	0.036885986328125	297.69076451082645
2014-02-01_22:41:51_491444	413834.1875	25.0	126.0	51.0	-283.0	39.0763358778626	19.480916030534353	-4.0458015267175576	-0.412109375	0.006591796875	-0.04150390625	0.0	-5.11	2.0450816408460826	0.07135665180900497	-2.0450816408460826	9.768537747898232	91.49850439513426	0.1	0.01	5	0.036622802734375	457.3856991890657
2014-02-01_22:41:51_528350	417524.484375	25.0	230.0	-6.0	-317.0	-23.389312977099237	20.709923664122137	-12.244274809160306	-0.39697265625	0.3212890625	-0.70654296875	0.0	0.54	-0.5605975924298999	-0.019560278870547797	0.5605975924298999	9.789152027238224	70.86046913050515	0.1	0.01	5	0.03677197265625	354.45629693204114
2014-02-01_22:41:51_565247	421213.703125	25.0	242.0	511.0	-470.0	6.534351145038168	0.19083969465648856	-1.3893129770992367	0.217529296875	0.13818359375	1.99993896484375	0.0	-23.71	-2.8978521336959764	-0.10111137940320922	2.8978521336959764	9.895827793943045	63.491627654666004	0.1	0.01	5	0.03681201171875	317.846881764639
2014-02-01_22:41:51_601712	424860.875	25.0	201.0	82.0	-446.0	44.12213740458015	11.549618320610687	0.11450381679389313	0.205322265625	0.26123046875	1.987548828125	0.0	-5.21	-4.4900801099163505	-0.15666713572632068	4.4900801099163505	10.059918516983394	43.56877118959077	0.1	0.01	5	0.036545166015625	218.39346314411532
2014-02-01_22:41:51_638373	428527.09375	25.0	208.0	177.0	-321.0	35.68702290076336	3.6717557251908395	-0.015267175572519083	0.153564453125	0.0341796875	1.3466796875	0.0	-14.44	-5.918668986226706	-0.20651322352500717	5.918668986226706	10.276577059575402	39.02613104994875	0.1	0.01	5	0.03660595703125	195.8252879189622
2014-02-01_22:41:51_675420	432234.6875	10.0	119.0	147.0	-512.0	17.03053435114504	-48.16030534351145	-3.519083969465649	0.440673828125	0.30224609375	-2.0	0.0	-8.01	-0.43957767630288935	-0.015337671887749106	0.43957767630288935	10.292680455445666	-149.56387122762746	0.1	0.01	5	0.0366337890625	-747.6724715659526
2014-02-01_22:41:51_712138	435902.875	10.0	16.0	-23.0	-367.0	-45.41984732824427	-57.02290076335878	5.557251908396947	0.536376953125	-0.1123046875	-1.379638671875	0.0	1.79	6.537731710489417	0.22811345814687428	-6.537731710489417	10.052516178765439	-189.93572842085828	0.1	0.01	5	0.036735107421875	-950.2318901135527
2014-02-01_22:41:51_748656	439554.875	10.0	74.0	-35.0	-349.0	31.00763358778626	-49.31297709923664	11.954198473282442	0.208740234375	-0.415771484375	0.616455078125	0.0	2.86	11.993389950219779	0.4184713869581221	-11.993389950219779	9.613281696428386	-148.96789604511468	0.1	0.01	5	0.036623046875	-745.9426864036311
2014-02-01_22:41:51_785589	443248.203125	10.0	132.0	-11.0	-237.0	26.206106870229007	-50.9236641221374	6.961832061068702	0.309326171875	0.10107421875	1.03759765625	0.0	1.33	16.891714171078824	0.589382908969952	-16.891714171078824	8.999637392557164	-134.8355914559049	0.1	0.01	5	0.036328125	-675.7771323227068
2014-02-01_22:41:51_822436	446975.6875	10.0	-46.0	69.0	15.0	-30.66412213740458	-20.53435114503817	11.618320610687023	1.26171875	0.92333984375	-1.21881103515625	0.0	38.88	21.528467212297922	0.7511677324598018	-21.528467212297922	8.207041853702838	-125.94341114220535	0.1	0.01	5	0.036816162109375	-631.7878320137195
2014-02-01_22:41:51_859584	450648.28125	10.0	150.0	211.0	-512.0	-13.618320610687023	-47.23664122137404	4.511450381679389	0.524658203125	-0.80078125	1.99993896484375	0.0	-11.2	23.883023745975066	0.8333225312622144	-23.883023745975066	7.324541969186952	-63.72117502984177	0.1	0.01	5	0.036950927734375	-320.92093210411446
2014-02-01_22:41:51_896478	454336.59375	25.0	109.0	-21.0	-153.0	-80.95419847328245	24.893129770992367	5.778625954198473	0.11474609375	0.207763671875	1.99993896484375	0.0	3.91	18.935642825730746	0.660699330974555	-18.935642825730746	6.628564636147862	134.60472573080173	0.1	0.01	5	0.0367548828125	671.196350017797
2014-02-01_22:41:51_933262	458015.796875	25.0	114.0	-9.0	-178.0	29.66412213740458	40.29770992366412	-10.648854961832061	-0.1845703125	0.03515625	0.916015625	0.0	1.45	12.40597827586698	0.4328673508676546	-12.40597827586698	6.172075519491229	177.45631516389756	0.1	0.01	5	0.0367958984375	886.102698747096
2014-02-01_22:41:51_969913	461702.984375	25.0	121.0	83.0	-287.0	3.6946564885496183	56.35114503816794	-11.412213740458014	-0.37939453125	-0.211181640625	1.0732421875	0.0	-8.07	3.701041872462399	0.12913614349136074	-3.701041872462399	6.036461610684981	237.566591876292	0.1	0.01	5	0.03664208984375	1187.5232198103206
