datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-22_17:04:25_711237	1048297.0	-175.0	66.0	-214.0	3.735114503816793	5.912595419847328	1.826145038167939	-0.5189453125	-0.401123046875	-0.7939453125	0.0	0.0	0.0	0	-0.08499651732932877	0	0	0	0.005	0	0.0	0	0	220	220
2014-03-22_17:04:25_754519	1091445.0	-198.0	-26.0	-165.0	-0.18854961832061123	-5.736259541984733	-2.288358778625954	-0.537255859375	-0.1962890625	-1.001953125	0.0	50.2	0.0	-3.5141292759243807	-0.06132860865487576	3.5141292759243807	159.28202755151779	-5.736259541984733	0.005	0	0.0	45.326171875	0.017570646379621906	231	231
2014-03-22_17:04:25_804982	1141873.0	-164.0	28.0	-210.0	-4.36412213740458	11.645419847328244	-5.219656488549618	-0.711328125	-0.09716796875	-0.685302734375	0.0	37.99	0.0	-3.248582207744878	-0.05669427936727536	3.248582207744878	319.98294930822556	11.645419847328244	0.005	0	0.0	49.468017578125	0.01624291103872439	231	231
2014-03-22_17:04:25_854200	1191095.0	-184.0	16.0	-193.0	-4.409923664122138	-3.9194656488549615	-5.68530534351145	-0.823876953125	0.079833984375	-0.830810546875	0.0	43.64	0.0	-2.122282122440094	-0.03703808241605749	2.122282122440094	424.1970533445399	-3.9194656488549615	0.005	0	0.0	49.104736328125	0.010611410612200469	231	231
2014-03-22_17:04:25_904635	1241523.0	-171.0	-6.0	-207.0	-3.6007633587786265	2.988931297709924	-4.242557251908397	-0.70205078125	0.169921875	-0.31103515625	0.0	39.56	0.0	-1.434840093372988	-0.025040839325881116	1.434840093372988	495.83992233290985	2.988931297709924	0.005	0	0.0	49.930908203125	0.0071742004668649394	231	231
2014-03-22_17:04:25_954479	1291372.0	-203.0	-4.0	-148.0	4.612977099236641	-10.217175572519084	2.2307251908396943	-1.002099609375	0.0068359375	-0.410400390625	0.0	53.91	0.0	0.17715500367414666	0.003091710360805352	-0.17715500367414666	486.9031530594289	-10.217175572519084	0.005	0	0.0	50.446044921875	-0.0008857750183707333	231	231
2014-03-22_17:04:26_004025	1340921.0	-161.0	19.0	-195.0	5.689312977099236	-1.4232824427480915	3.6505725190839695	-0.906884765625	-0.052978515625	-0.691650390625	0.0	39.55	0.0	1.0337414128529672	0.018040862353454926	-1.0337414128529672	435.6304875437104	-1.4232824427480915	0.005	0	0.0	49.59912109375	-0.005168707064264836	231	231
2014-03-22_17:04:26_056094	1392992.0	-192.0	21.0	-197.0	0.95648854961832	3.202671755725191	1.337595419847328	-0.881005859375	0.089599609375	-0.6533203125	0.0	44.27	0.0	1.7412972233007304	0.030389131296696868	-1.7412972233007304	348.4682735798126	3.202671755725191	0.005	0	0.0	50.055908203125	-0.008706486116503652	231	231
2014-03-22_17:04:26_104946	1441840.0	-169.0	-16.0	-231.0	0.6129770992366406	1.9354961832061073	1.3299618320610684	-0.81142578125	0.137451171875	-0.77490234375	0.0	36.19	0.0	2.3356678943544504	0.04076209239711083	-2.3356678943544504	231.92779744680564	1.9354961832061073	0.005	0	0.0	49.89599609375	-0.011678339471772253	231	231
2014-03-22_17:04:26_155589	1492484.0	-207.0	-30.0	-158.0	-5.486259541984733	-1.9499999999999997	-1.5860687022900763	-0.7103515625	0.337890625	-0.608642578125	0.0	52.65	0.0	3.4380456598283935	0.06000079685564387	-3.4380456598283935	59.04933108078137	-1.9499999999999997	0.005	0	0.0	50.283935546875	-0.017190228299141967	231	231
2014-03-22_17:04:26_205616	1542510.0	-155.0	19.0	-218.0	-2.677099236641222	0.08053435114503849	-1.3036259541984734	-0.432275390625	0.15234375	-1.185546875	0.0	35.42	0.0	4.073677224658135	0.07109384336227112	-4.073677224658135	-143.44902642854322	0.08053435114503849	0.005	0	0.0	49.708984375	-0.020368386123290675	231	231
2014-03-22_17:04:26_256795	1593691.0	-181.0	22.0	-194.0	2.735114503816793	-0.3164122137404579	3.2994274809160307	-0.804345703125	0.06494140625	-0.870849609375	0.0	43.02	0.0	4.868170334023075	0.08495934265310777	-4.868170334023075	-388.5571240812724	-0.3164122137404579	0.005	0	0.0	50.34912109375	-0.024340851670115377	231	231
2014-03-22_17:04:26_305907	1642800.0	-167.0	-46.0	-207.0	2.383969465648854	-0.9194656488549615	0.871946564885496	-0.64638671875	-0.37109375	-0.567138671875	0.0	38.9	0.0	5.593627897779145	0.09762003312005489	-5.593627897779145	-667.0190097630234	-0.9194656488549615	0.005	0	0.0	49.781982421875	-0.027968139488895725	231	231
2014-03-22_17:04:26_356291	1693183.0	-200.0	9.0	-160.0	2.1091603053435106	16.195038167938932	0.6429389312977098	-0.860986328125	-0.27490234375	-1.037841796875	0.0	51.34	0.0	5.710823421546169	0.09966533021895584	-5.710823421546169	-954.0910607516741	16.195038167938932	0.005	0	0.0	50.26806640625	-0.028554117107730845	231	231
2014-03-22_17:04:26_406308	1743257.0	-146.0	29.0	-221.0	0.5748091603053429	0.30954198473282446	0.5131679389312976	-0.94521484375	-0.260986328125	-0.439697265625	0.0	33.45	0.0	6.250545360368864	0.10908456126298192	-6.250545360368864	-1265.4860278283709	0.30954198473282446	0.005	0	0.0	49.81884765625	-0.03125272680184432	230	231
2014-03-22_17:04:26_456594	1793490.0	-162.0	-16.0	-185.0	-5.066412213740458	3.3629770992366415	-1.1356870229007634	-0.761376953125	0.0849609375	-0.7763671875	0.0	41.21	0.0	6.783993379593131	0.11839429981837925	-6.783993379593131	-1606.6881011039084	3.3629770992366415	0.005	0	0.0	50.295166015625	-0.033919966897965656	230	232
2014-03-22_17:04:26_507101	1844001.0	-184.0	-66.0	-182.0	-4.012977099236641	1.4393129770992368	0.7956106870229006	-0.8060546875	0.325927734375	-0.702392578125	0.0	45.32	0.0	7.484348496135201	0.13061690220131242	-7.484348496135201	-1979.670316051443	1.4393129770992368	0.005	0	0.0	49.8349609375	-0.03742174248067601	230	232
2014-03-22_17:04:26_557169	1894056.0	-181.0	46.0	-202.0	2.742748091603053	-2.179007633587786	2.3986641221374043	-1.080224609375	0.18603515625	-0.363037109375	0.0	41.86	0.0	8.278854271188372	0.1444826225338285	-8.278854271188372	-2394.108224751594	-2.179007633587786	0.005	0	0.0	50.059814453125	-0.04139427135594186	230	232
2014-03-22_17:04:26_607195	1944092.0	-163.0	0.0	-221.0	4.551908396946565	-3.972900763358778	1.8566793893129772	-0.96865234375	0.17236328125	-0.349365234375	0.0	36.41	0.0	9.036402940709745	0.15770336720261338	-9.036402940709745	-2846.351953174927	-3.972900763358778	0.005	0	0.0	50.046875	-0.045182014703548726	230	232
2014-03-22_17:04:26_657251	1994144.0	-126.0	8.0	-218.0	0.6511450381679382	6.912595419847328	-0.8532442748091603	-0.67470703125	-0.036865234375	-0.44091796875	0.0	30.03	0.0	9.116214698246207	0.15909624255228982	-9.116214698246207	-3303.952101323905	6.912595419847328	0.005	0	0.0	50.1962890625	-0.045581073491231035	230	232
2014-03-22_17:04:26_707834	2044721.0	-173.0	-6.0	-180.0	0.31526717557251827	0.301908396946565	0.5666030534351144	-0.50576171875	-0.0966796875	-0.904296875	0.0	43.87	0.0	9.796380566086425	0.1709665020259411	-9.796380566086425	-3795.770586208609	0.301908396946565	0.005	0	0.0	50.2041015625	-0.04898190283043213	229	232
2014-03-22_17:04:26_758078	2094974.0	-172.0	37.0	-188.0	3.2618320610687017	7.3248091603053425	0.8566793893129769	-0.68154296875	-0.09228515625	-0.856689453125	0.0	42.46	0.0	10.090151721377998	0.17609339827884815	-10.090151721377998	-4301.054148301004	7.3248091603053425	0.005	0	0.0	50.076904296875	-0.05045075860688999	229	233
2014-03-22_17:04:26_808516	2145413.0	-184.0	-26.0	-161.0	-0.020610687022901253	-0.6904580152671753	-0.7463740458015268	-0.67666015625	-0.1572265625	-0.737548828125	0.0	48.82	0.0	10.89835199742994	0.19019811513839335	-10.89835199742994	-4843.0316410052255	-0.6904580152671753	0.005	0	0.0	49.730224609375	-0.054491759987149696	229	233
2014-03-22_17:04:26_858963	2195848.0	-151.0	55.0	-192.0	-2.661832061068703	3.21793893129771	-0.1356870229007635	-0.469140625	-0.22265625	-0.711669921875	0.0	38.19	0.0	11.284888490074152	0.1969439527063552	-11.284888490074152	-5412.80555066508	3.21793893129771	0.005	0	0.0	50.489990234375	-0.05642444245037076	229	233
2014-03-22_17:04:26_907739	2244632.0	-203.0	-56.0	-179.0	-0.9213740458015276	16.92786259541985	0.23835877862595412	-0.734033203125	-0.138427734375	-0.93798828125	0.0	48.6	0.0	11.211417533938839	0.19566173706699547	-11.211417533938839	-5966.80723740073	16.92786259541985	0.005	0	0.0	49.4140625	-0.056057087669694194	229	233
2014-03-22_17:04:26_958477	2295374.0	-156.0	11.0	-193.0	-2.4938931297709934	2.7064885496183204	-3.2730916030534347	-0.766015625	0.005615234375	-1.017822265625	0.0	38.95	0.0	11.63159629461119	0.20299469973143439	-11.63159629461119	-6557.147666039706	2.7064885496183204	0.005	0	0.0	50.753173828125	-0.05815798147305595	228	233
2014-03-22_17:04:27_008854	2345745.0	-199.0	2.0	-189.0	-8.814503816793893	0.9583969465648856	-4.944847328244275	-0.63271484375	0.089599609375	-0.826171875	0.0	46.48	0.0	12.281839069361114	0.21434274117558663	-12.281839069361114	-7168.097195839624	0.9583969465648856	0.005	0	0.0	49.744140625	-0.06140919534680557	228	234
