datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pitch_offset_force	dt	Motor0	Motor1
2014-04-20_16:51:33_901086	1041194.0	-112.0	110.0	-257.0	-0.3135496183206108	-30.273091603053437	3.241412213740458	-0.45134765625	0.755869140625	-1.055419921875	0.0	0.0	0	0	0	0	0.5	0	0.0	0	0	0	0	0.0005	0	0.0	0	0	220	220
2014-04-20_16:51:33_943216	1082938.0	-13.0	-10.0	-278.0	2.3276717557251905	-34.02881679389313	0.0734732824427482	-0.389580078125	0.23755859375	-1.044677734375	0.0	2.68	-0.12479576102854134	0.12479576102854134	5.627021365439268	-34.02881679389313	0.5	0	0.0	0.06239788051427067	34.0912146744074	1537.1675429167367	34.0912146744074	0.0005	0	0.0	0.0170456073372037	45.08984375	242	241
2014-04-20_16:51:33_993015	1132736.0	-112.0	-25.0	-260.0	-0.01583969465648849	-38.792175572519085	0.1574427480916032	-0.6962207031250001	-0.005849609375	-0.603515625	0.0	23.31	2.2455213465639696	-2.2455213465639696	-106.70057892334931	-38.792175572519085	0.5	0	0.0	-1.1227606732819848	37.6694148992371	3421.5027715212987	3.5782002248297005	0.0005	0	0.0	0.01883470744961855	50.02294921875	242	241
2014-04-20_16:51:34_042896	1182614.0	-22.0	-97.0	-300.0	-1.5425572519083977	-38.76927480916031	-2.6517175572519083	-0.256279296875	-0.44701171875	-0.890625	0.0	4.19	4.178982191278	-4.178982191278	-315.07630274713745	-38.76927480916031	0.5	0	0.0	-2.089491095639	36.67978371352131	5250.4592329671395	-0.9896311857157869	0.0005	0	0.0	0.018339891856760656	49.86279296875	242	241
2014-04-20_16:51:34_093122	1232843.0	-74.0	24.0	-262.0	-5.0082061068702295	-38.1280534351145	-1.8272900763358777	-0.07244140625	-0.079091796875	-0.972412109375	0.0	15.77	6.2814108488136355	-6.2814108488136355	-629.5286985328764	-38.1280534351145	0.5	0	0.0	-3.1407054244068178	34.987348010707684	7001.95354992212	-1.6924357028136257	0.0005	0	0.0	0.017493674005353843	50.060791015625	242	241
2014-04-20_16:51:34_143140	1282854.0	-98.0	-24.0	-239.0	-0.6570610687022906	-39.01354961832061	3.0124045801526718	-0.32927734375	0.429697265625	-0.993408203125	0.0	22.3	8.511330159174896	-8.511330159174896	-1054.6359770079353	-39.01354961832061	0.5	0	0.0	-4.255665079587448	34.757884538733165	8737.972412483032	-0.229463471974519	0.0005	0	0.0	0.017378942269366583	49.946044921875	242	241
2014-04-20_16:51:34_193480	1333227.0	-94.0	57.0	-252.0	-1.7104961832061072	-43.58606870229008	-0.10973282442748078	-0.0748828125	-0.6496484375	-0.98681640625	0.0	20.46	10.885727055101544	-10.885727055101544	-1598.858546206049	-43.58606870229008	0.5	0	0.0	-5.442863527550772	38.14320517473931	10644.909175877176	3.385320636006142	0.0005	0	0.0	0.019071602587369653	49.994140625	242	241
2014-04-20_16:51:34_243494	1383209.0	-143.0	70.0	-221.0	2.724618320610687	-46.21202290076336	5.760496183206107	-0.5787890625000001	-0.97875	-0.852783203125	0.0	32.91	13.590643424217207	-13.590643424217207	-2278.417261642347	-46.21202290076336	0.5	0	0.0	-6.795321712108604	39.416701188654756	12615.821221054422	1.273496013915448	0.0005	0	0.0	0.01970835059432738	50.001953125	242	241
2014-04-20_16:51:34_293712	1433429.0	-105.0	-93.0	-259.0	-0.9242366412213743	-51.540267175572524	0.8902671755725192	-0.5524218750000001	0.099619140625	-0.840576171875	0.0	22.07	16.28488027646417	-16.28488027646417	-3092.398872609538	-51.540267175572524	0.5	0	0.0	-8.142440138232084	43.39782703734044	14785.013291528754	3.9811258486856858	0.0005	0	0.0	0.02169891351867022	49.98388671875	242	241
2014-04-20_16:51:34_344143	1483858.0	-161.0	-32.0	-236.0	-5.1456106870229	-53.89904580152672	-4.575381679389313	-0.6947558593750001	0.57935546875	-0.446044921875	0.0	34.3	19.287060327326323	-19.287060327326323	-4057.0202880087295	-53.89904580152672	0.5	0	0.0	-9.643530163663161	44.25551563786355	16998.404933869042	0.8576886005231117	0.0005	0	0.0	0.022127757818931778	50.013916015625	242	241
2014-04-20_16:51:34_394549	1534267.0	-122.0	-1.0	-265.0	-1.1227099236641225	-54.166221374045804	0.21851145038167952	-0.5878222656250001	1.4206640625	-1.142333984375	0.0	24.72	22.053042086270693	-22.053042086270693	-5160.975330843963	-54.166221374045804	0.5	0	0.0	-11.026521043135347	43.13970033091046	19157.93873153763	-1.1158153069530954	0.0005	0	0.0	0.02156985016545523	50.05908203125	242	241
2014-04-20_16:51:34_444465	1584186.0	-111.0	-1.0	-251.0	-1.618893129770993	-61.03645038167939	2.54675572519084	-0.5731738281250001	0.1999609375	-1.2900390625	0.0	23.86	25.077961065122448	-25.077961065122448	-6414.0468399731835	-61.03645038167939	0.5	0	0.0	-12.538980532561224	48.49746984911816	21581.213796642554	5.357769518207704	0.0005	0	0.0	0.02424873492455908	49.967041015625	242	241
2014-04-20_16:51:34_494723	1634437.0	-124.0	-81.0	-198.0	-6.305916030534352	-66.69293893129772	0.8902671755725192	-0.6180957031250001	-0.367421875	-0.798583984375	0.0	32.06	28.486587786390647	-28.486587786390647	-7838.828286960224	-66.69293893129772	0.5	0	0.0	-14.243293893195323	52.449645038102396	24204.528379340514	3.952175188984235	0.0005	0	0.0	0.0262248225190512	50.015869140625	242	241
2014-04-20_16:51:34_544930	1684648.0	-117.0	-36.0	-236.0	-2.2601145038167942	-64.05935114503816	0.493320610687023	-0.6144335937500001	-0.98509765625	-0.992431640625	0.0	26.37	31.57441554445466	-31.57441554445466	-9413.12432919211	-64.05935114503816	0.5	0	0.0	-15.78720777222733	48.27214337281083	26611.37084820176	-4.177501665291565	0.0005	0	0.0	0.024136071686405417	49.85986328125	242	241
2014-04-20_16:51:34_595004	1734728.0	-197.0	85.0	-154.0	4.678816793893129	-57.45629770992367	5.630725190839695	-0.9244921875000001	1.488779296875	-0.58203125	0.0	51.99	34.81072380884072	-34.81072380884072	-11161.49633197588	-57.45629770992367	0.5	0	0.0	-17.40536190442036	40.05093580550331	28622.933010257366	-8.221207567307523	0.0005	0	0.0	0.020025467902751653	50.22509765625	242	241
2014-04-20_16:51:34_645477	1785193.0	-147.0	22.0	-233.0	-2.7715648854961836	22.98645038167939	-5.315839694656488	-0.5128710937500001	0.245859375	-0.717529296875	0.0	32.25	33.63502627254563	-33.63502627254563	-12840.488522354242	22.98645038167939	0.5	0	0.0	-16.817513136272815	-39.803963517952205	26636.000003242087	-79.85489932345551	0.0005	0	0.0	-0.019901981758976103	49.91796875	242	241
2014-04-20_16:51:34_695704	1835428.0	-199.0	-68.0	-159.0	-1.611259541984733	9.17729007633588	1.6841603053435117	-0.9244921875000001	0.10181640625	-0.70068359375	0.0	51.38	33.54074322613126	-33.54074322613126	-14515.576783053428	9.17729007633588	0.5	0	0.0	-16.77037161306563	-25.94766168940151	25340.12461981744	13.856301828550695	0.0005	0	0.0	-0.012973830844700756	49.94189453125	242	241
